row_name	accdelay_value	accimpulse_value	accuracy_value	ammo_value	ammodelay_value	ammoregen_value	critdamage_add	damage_value	damageradius_value	firerate_value	heatimpulse_value	impactforce_value	modereturn_scale	modeswitch_scale	projectilespershot_value	spread_value	sway_scale
JAK_Rockets	1.000000	0.500000	5.000000	5.000000	10.000000			45.000000	150.000000	6.000000	0.500000	30000.000000				3.000000	
JAK_KnifeLauncher		1.000000	3.000000		30.000000		0.650000	250.000000		1.000000	0.300000	60000.000000				1.250000	
JAK_Vial	0.850000	0.650000	3.000000	4.000000				40.000000	500.000000	1.750000	0.150000					3.000000	
JAK_Atlas		1.000000	2.000000		8.000000					4.000000	0.200000				4.000000	3.000000	
JAK_Atlas_Ball		1.500000	2.000000		10.000000				350.000000	4.000000	0.200000	10000.000000				2.000000	
JAK_AmmoSwitcher														1.250000			
--																	
TED_Drone			3.000000		30.000000			45.000000	300.000000	2.000000	0.350000					2.750000	
TED_Rockets		0.350000	2.500000	6.000000	24.000000			60.000000	150.000000	3.000000	0.150000	30000.000000				5.000000	
TED_Shotgun		0.750000	3.000000	3.000000	12.000000	3.000000		20.000000		5.000000	0.250000	7500.000000			4.000000	8.000000	
TED_Atlas		1.000000	2.000000		8.000000					4.000000	0.200000		1.100000	1.100000	4.000000	4.000000	
TED_Atlas_Ball		1.500000	2.000000		10.000000				350.000000	4.000000	0.200000	10000.000000	1.100000	1.100000		2.000000	
TED_AmmoSwitcher																	
TED_MalElement																	
---																	
ORD_EnergyBurst			3.000000		24.000000			280.000000	500.000000	2.500000	0.400000	90000.000000				2.000000	
ORD_GravityWell			3.000000		40.000000			20.000000	350.000000	1.000000	0.400000	60000.000000				2.000000	
ORD_Rockets		0.300000	2.000000	6.000000				30.000000	100.000000	8.000000	0.150000					7.000000	
ORD_Atlas		1.000000	2.000000		8.000000					4.000000	0.200000				4.000000	4.000000	
ORD_Atlas_Ball		1.500000	2.000000		10.000000				350.000000	4.000000	0.200000	10000.000000				2.000000	
ORD_AmmoSwitcher													1.300000	1.300000			
----																	
DAD_Taser			5.000000					16.000000	50.000000	1.000000	0.300000					5.000000	
DAD_KnifeLauncher			5.000000	8.000000	30.000000	4.000000		80.000000		2.000000	0.100000	60000.000000	1.300000	1.600000		2.000000	0.500000
DAD_Semtex			2.000000	3.000000	40.000000			50.000000	350.000000	1.000000	0.250000	60000.000000	1.250000	1.250000	3.000000	6.000000	
DAD_Atlas		1.000000	2.000000		8.000000					4.000000	0.200000			1.750000	3.000000	4.000000	
DAD_Atlas_Ball		1.500000	2.000000		10.000000				350.000000	4.000000	0.200000	10000.000000		1.750000		2.000000	
DAD_AmmoSwitcher													1.200000	1.200000			
DAD_MalElement													0.900000	0.900000			
-----																	
TOR_Missiles	0.850000	0.350000	5.000000	2.000000	30.000000	2.000000		125.000000	350.000000	10.000000	0.400000	30000.000000				3.000000	
TOR_Exhaust	1.000000	0.500000	5.000000		24.000000			115.000000	500.000000	1.425000	0.300000	100000.000000	0.800000	0.900000		3.000000	
TOR_Cleaver		1.000000	3.000000				0.650000	250.000000	50.000000	3.500000	0.300000	60000.000000				0.500000	
TOR_Atlas		1.000000	2.000000		8.000000					4.000000	0.200000		0.800000		5.000000	3.000000	
TOR_Atlas_Ball		1.500000	2.000000		10.000000				350.000000	4.000000	0.200000	10000.000000	0.800000			2.000000	
TOR_AmmoSwitcher													0.800000				
TOR_MalElement																	
