row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	damage_scale	damageradius_value	firerate_value	impact_force_value	part_value	projectilespershot_value	recoil_scale	spread_value	statusdamage_scale	sway_scale
JAK_Barrel_01	0.750000	1.300000		4.500000	1.475000		1.500000	5000.000000	1	6.000000		4.500000		
JAK_Barrel_02	0.900000	1.700000	-5.000000	5.750000	1.500000		1.300000	3000.000000	2	10.000000	0.850000	8.750000		
--														
MAL_Barrel_01	1.250000	0.800000	-4.000000	3.500000	9.200000	150.000000	0.800000	30000.000000	1			4.000000	1.500000	
MAL_Barrel_02	0.850000	1.400000		4.000000	4.800000	35.000000	1.100000	15000.000000	2	2.000000		4.000000	1.500000	0.900000
---														
TED_Barrel_01	0.750000	1.000000		5.000000	0.825000		1.250000	3750.000000	1	8.000000		7.000000		
TED_Barrel_02	0.700000	1.200000		6.000000	0.577500		1.500000	3000.000000	2	10.000000		8.000000		
----														
TOR_Barrel_01	0.900000	0.900000		5.000000	2.662500	135.000000	1.200000	10000.000000	1	4.000000		6.000000		
TOR_Barrel_02	1.000000	1.500000		6.000000	3.000000	135.000000	0.950000	7500.000000	2	4.000000		5.000000		
-----														
BOR_Barrel_01		0.500000	-6.000000	4.000000	0.675000	50.000000	4.500000	7500.000000	1	4.000000		7.000000		
BOR_Barrel_02	0.700000	0.700000	-7.000000	4.000000	0.562500	75.000000	3.000000	5000.000000	2	6.000000	1.200000	5.500000		
------														
DAD_Barrel_01		0.750000		5.000000	0.475000		4.200000	5000.000000	1	6.000000		8.500000		1.200000
DAD_Barrel_02		0.600000		4.250000	0.775000		3.500000	7500.000000	2	4.000000		6.500000		
