row_name	accuracy_scale	damage_scale	firerate_scale	heatimpulse_value	maxloadedammo_value	recoil_scale	reloadtime_value	spread_scale	sway_scale	thrownreloadtime_value
JAK_Mag_01_B01		1.500000		0.200000	1.000000		1.700000			
JAK_Mag_01_B02				0.200000	2.000000		1.700000			
JAK_Mag_02		0.900000		0.160000	6.000000		2.150000			
JAK_Mag_02_B02		0.900000		0.160000	6.000000		4.300000			
JAK_Mag_03	0.900000	0.900000	0.650000	0.125000	12.000000	1.250000	2.300000	0.900000		
JAK_Mag_04		0.750000		0.170000		1.200000	3.000000	1.200000	1.200000	3.000000
JAK_Mag_05		0.687500	1.250000	0.100000	8.000000		2.500000			3.000000
--										
DAD_Mag_01				0.150000	8.000000		2.000000			
DAD_Mag_02		0.987500		0.125000	10.000000		2.400000			
DAD_Mag_03		1.400000	0.850000	0.100000	6.000000		2.200000			
DAD_Mag_04		1.062500		0.100000		1.200000	3.500000	1.200000		3.000000
DAD_Mag_05		0.987500	1.250000	0.115000	12.000000		2.100000			3.000000
---										
BOR_Mag_01				0.100000	15.000000		2.400000			
BOR_Mag_02		0.950000		0.050000	20.000000		2.600000			
BOR_Mag_03		1.437500	0.875000	0.100000	10.000000		2.600000			
BOR_Mag_04		0.995000		0.050000		1.200000	3.200000	1.200000		3.000000
----										
MAL_Mag_01		1.050000		0.250000	6.000000		2.400000			1.650000
MAL_Mag_02				0.200000	8.000000		2.000000	1.250000		1.650000
MAL_Mag_03		1.380000	0.825000	0.350000	4.000000		2.200000			1.650000
MAL_Mag_04		1.062500		0.125000		1.200000	3.500000	1.200000		3.000000
MAL_Mag_05		0.937500	1.250000	0.150000	10.000000		2.750000			2.500000
-----										
TED_Mag_01		1.025000		0.080000	9.000000		2.000000			
TED_Mag_02		0.975000		0.050000	11.000000		2.000000			
TED_Mag_03		1.362500	0.800000	0.100000	7.000000		2.000000			
TED_Mag_04		1.037500		0.115000		1.200000	3.000000	1.200000	1.200000	3.000000
TED_Mag_05			1.250000	0.060000	13.000000		2.600000			3.000000
------										
TOR_Mag_01				0.250000	8.000000		2.000000			
TOR_Mag_02		0.900000		0.170000	12.000000		2.400000			
TOR_Mag_04		0.925000		0.125000		1.200000	3.250000	1.200000	1.200000	3.000000
TOR_Mag_05		0.890000	1.250000	0.100000	10.000000		2.400000			3.000000
