row_name	accimpulse_value	accuracy_value	ammo_value	ammodelay_value	ammoregen_value	damage_value	damageradius_value	firerate_value	heatimpulse_value	impactforce_value	modereturn_scale	modeswitch_scale	projectilespershot_value	recoil_scale	spread_value	sway_scale
JAK_Knifelauncher	1.000000	4.000000		16.000000		250.000000		2.000000	0.200000	60000.000000	1.200000	1.200000			2.000000	
JAK_Meathook	0.650000	6.000000		32.000000		20.000000	500.000000	2.000000	0.200000	30000.000000	1.500000	1.500000		1.250000	2.500000	
JAK_Grenade				24.000000		180.000000	300.000000	2.000000	0.400000	60000.000000	1.200000	1.700000	5.000000		3.000000	
JAK_Atlas	1.000000	2.000000		8.000000				4.000000	0.200000		1.500000	1.275000	4.000000		4.000000	
JAK_Atlas_Ball	1.500000	2.000000		10.000000			350.000000	4.000000	0.200000	10000.000000	1.500000	1.275000			2.000000	
JAK_AmmoSwitcher											1.250000	1.500000				
--																
DAD_Microrocket		3.500000	12.000000	30.000000	12.000000	35.000000		8.000000	0.060000	30000.000000					8.000000	
DAD_Grapple		5.000000		24.000000		20.000000	500.000000	2.000000	0.300000		1.500000	1.500000			3.000000	
DAD_Mine		2.000000	3.000000			100.000000	450.000000	1.500000	0.200000	60000.000000	1.500000	1.500000			3.000000	
DAD_Atlas	1.500000	2.000000		8.000000				2.000000	0.200000		1.500000	1.500000	5.000000		3.000000	
DAD_Atlas_Ball	1.500000	2.000000		10.000000			350.000000	2.000000	0.200000	10000.000000	1.500000	1.500000			1.000000	
DAD_AmmoSwitcher											1.125000	1.125000				
DAD_MalElement											1.275000	1.275000				
---																
BOR_Beam		4.000000	20.000000	30.000000	20.000000	18.000000		6.000000	0.040000	5000.000000					2.000000	
BOR_Gauss	0.500000	4.000000	4.000000	16.000000		110.000000		1.250000	0.200000	30000.000000	1.500000	2.000000			3.000000	0.500000
BOR_Discharge		4.000000		36.000000		180.000000	600.000000	1.000000	0.200000	60000.000000	1.250000	1.250000			3.000000	
BOR_Atlas								2.000000	0.200000		1.650000	1.750000	5.000000		2.000000	
BOR_Atlas_Ball							350.000000	2.000000	0.200000	10000.000000	1.650000	1.750000			2.000000	
BOR_AmmoSwitcher											1.500000	1.500000				
BOR_MalElement																
----																
TED_AutoTurret		3.000000		24.000000			100.000000	2.000000	0.200000						4.000000	
TED_StickyMine	0.300000	5.000000	2.000000	36.000000		120.000000	250.000000	1.500000	0.300000	30000.000000			3.000000		8.000000	
TED_Shield		10.000000		30.000000		100.000000	30.000000	2.000000	0.300000		1.100000	1.100000			4.000000	
TED_Atlas		2.000000						2.000000	0.200000				4.000000		4.000000	
TED_Atlas_Ball		2.000000					350.000000	2.000000	0.200000	10000.000000	1.500000	1.500000			4.000000	
TED_AmmoSwitcher											0.900000	0.900000				
TED_MalElement																
-----																
TOR_Seeker			2.000000			90.000000	400.000000	1.150000	0.350000	30000.000000			2.000000		4.000000	
TOR_Flameblast	0.000000	4.000000	60.000000	16.000000	15.000000	12.000000		8.000000	0.015000	10000.000000						
TOR_BounceGrenade	0.800000	5.000000	2.000000	30.000000		80.000000	300.000000	1.750000	0.300000	60000.000000	1.100000	1.250000			5.000000	
TOR_Atlas								2.000000	0.200000			1.250000	5.000000		2.000000	
TOR_Atlas_Ball							350.000000	2.000000	0.200000	10000.000000		1.250000			2.000000	
TOR_AmmoSwitcher											2.000000	2.000000				
TOR_MalElement											0.900000	0.900000				
------																
MAL_Blowback	0.500000	3.000000		16.000000		120.000000	650.000000	2.000000	0.350000	120000.000000	1.100000	1.100000			3.000000	
MAL_EnergyDisc	0.500000	4.000000	2.000000			75.000000	250.000000	2.000000	0.200000		1.200000	1.200000			3.000000	
MAL_Beam_Tosser	1.000000	3.000000	3.000000	26.000000	3.000000	150.000000	250.000000	2.000000	0.300000	60000.000000	1.100000	1.100000		2.000000	5.000000	
MAL_Atlas	0.500000	3.000000						2.000000	0.200000			1.100000	4.000000		5.000000	
MAL_Atlas_Ball	0.500000	3.500000					350.000000	2.000000	0.200000	10000.000000		1.250000			4.000000	
MAL_AmmoSwitcher											1.125000	1.125000				
MAL_MalElement																
