row_name	accuracy_scale	damage_scale	firerate_scale	heatimpulse_value	maxloadedammo_value	recoil_scale	reloadtime_value	spread_scale	sway_scale	thrownreloadtime_value
VLA_Mag_01				0.028571	30.000000		2.400000			1.600000
VLA_Mag_02		1.150000		0.022500	35.000000		3.500000			1.600000
VLA_Mag_03		1.300000	0.750000	0.045000	25.000000	1.200000	2.200000	0.900000		1.600000
VLA_Mag_04		1.090000		0.025000		1.100000	4.350000	1.400000	1.350000	3.000000
VLA_Mag_05			1.150000	0.038000	40.000000		2.250000			2.500000
--										
DAD_Mag_01				0.050000	22.000000		2.250000			1.600000
DAD_Mag_02		0.950000		0.035000	28.000000		2.600000			1.600000
DAD_Mag_03	0.900000	1.340000	0.900000	0.060000	18.000000	1.250000	2.800000	0.900000		1.600000
DAD_Mag_04	1.150000	1.040000		0.030000		1.400000	4.000000	1.400000	1.050000	3.000000
DAD_Mag_05_B01		1.075000	0.837500	0.060000	32.000000		3.300000			3.000000
DAD_Mag_05_B02		1.075000	0.850000	0.060000	32.000000		3.300000			3.000000
---										
BOR_Mag_01				0.030000	25.000000		2.100000			
BOR_Mag_02				0.030000	30.000000		2.650000			
BOR_Mag_03		1.287500	0.850000	0.040000	20.000000		2.400000			
BOR_Mag_04		1.062500		0.040000		1.400000	3.100000	1.400000		3.000000
----										
MAL_Mag_01				0.080000	28.000000		2.200000			
MAL_Mag_02		0.975000		0.065000	36.000000		2.700000			
MAL_Mag_03		1.300000	0.800000	0.080000	24.000000		2.400000			
MAL_Mag_04		1.025000		0.027500		1.150000	3.400000	1.400000		3.000000
MAL_Mag_05		0.912500	1.200000	0.030000	40.000000	1.150000	2.000000	1.250000		3.000000
