row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	ammo_value	ammodelay_value	ammoregen_value	damage_value	damageradius_value	firerate_value	heatimpulse_value	impactforce_value	modereturn_scale	modeswitch_scale	projectilespershot_value	recoil_scale	spread_value	sway_scale
DAD_Launcher		1.000000		2.000000		14.000000		150.000000	300.000000	2.000000	0.400000	30000.000000	0.800000	1.450000			2.000000	
DAD_Shotgun		1.750000		3.000000	8.000000	22.000000	8.000000	12.000000		1.500000	0.100000	6000.000000			5.000000		10.000000	1.250000
DAD_SecondBarrel		0.300000		1.500000	0.000000	0.500000	0.000000	12.000000		16.000000	0.900000	12500.000000	0.900000	0.900000		1.350000	7.000000	1.250000
DAD_Atlas		1.000000		2.000000		8.000000				4.000000	0.200000			1.100000	4.000000		4.000000	
DAD_Atlas_Ball		1.500000		2.000000		10.000000			350.000000	4.000000	0.200000			1.100000			2.000000	
DAD_AmmoSwitcher													1.100000	1.100000				
DAD_MalElement	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000					0.800000	0.800000	0.000000	0.000000		0.000000
--	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000			1.000000					0.000000		0.000000
VLA_Microrockets	0.750000	0.250000		3.000000	20.000000	24.000000	100.000000	26.000000	150.000000	5.000000	0.050000			0.850000			5.000000	1.250000
VLA_Taser		1.000000		3.000000		22.000000		18.000000	5.000000	3.000000	0.200000	10000.000000	1.100000	1.100000			3.000000	
VLA_Flamethrower	1.000000	0.050000			64.000000	16.000000	8.000000	5.000000		8.000000	0.020000	5000.000000				0.500000	4.000000	1.500000
VLA_SecondBarrel_Scale	0.000000	0.000000	0.000000	1.500000	0.000000	0.000000	0.000000			1.750000						0.850000	2.000000	1.300000
VLA_Atlas		1.000000		2.000000		8.000000				4.000000	0.200000		0.900000		5.000000		4.000000	
VLA_Atlas_Ball		1.500000		2.000000		10.000000			350.000000	4.000000	0.200000	10000.000000	0.900000				2.000000	
VLA_AmmoSwitcher													1.800000	1.800000				
VLA_MalElement														1.160000				
---	0.000000	-8.000000	1.000000	0.500000		0.200000												0.000000
BOR_ShrapnelCannon		2.000000		4.000000	3.000000	15.000000		30.000000		1.500000	0.250000	7500.000000	1.200000	1.200000	8.000000		8.000000	
BOR_DrunkRocket				3.000000	12.000000	24.000000	24.000000	50.000000	400.000000	4.500000	0.150000	30000.000000		1.200000			5.000000	
BOR_GasTrap				6.000000	3.000000	21.000000		25.000000	400.000000	1.500000	0.200000		1.200000	1.200000			2.000000	
BOR_Atlas		1.000000		2.000000		8.000000				4.000000			1.300000	1.300000	5.000000		4.000000	
BOR_Atlas_Ball		1.500000		2.000000		10.000000			350.000000	4.000000		10000.000000	1.300000	1.300000			2.000000	
BOR_AmmoSwitcher													1.200000	1.200000				
BOR_MalElement													1.200000	1.200000				
----																		
MAL_Cutsman		0.350000		2.000000	4.000000	24.000000		64.000000	50.000000	2.000000	0.150000			1.100000			4.000000	
MAL_Overcharge				2.250000		16.000000		115.000000	1200.000000	1.000000	0.500000	60000.000000	0.850000				3.750000	
MAL_Railgun		0.500000		4.500000	2.000000		2.000000	155.000000	100.000000	1.000000	0.300000	30000.000000		1.100000			2.500000	
MAL_Atlas		1.000000		2.000000		8.000000				4.000000	0.200000			1.100000	4.000000		4.000000	
MAL_Atlas_Ball		1.500000		2.000000		10.000000			350.000000	4.000000	0.200000	10000.000000		1.100000			2.000000	
MAL_AmmoSwitcher													0.900000	0.900000				
MAL_MalElement													0.800000	0.800000				
