row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	damage_scale	damageradius_value	firerate_value	part_value	recoil_scale	spread_value	statusdamage_scale	sway_scale
JAK_Barrel_01	0.850000	1.250000		3.250000	9.700000		1.100000	1	1.150000	1.250000		1.250000
JAK_Barrel_02	1.250000	1.100000	-7.500000	4.000000	11.700000		0.800000	2		0.950000		
--												
MAL_Barrel_01	0.800000	0.650000	-4.000000	3.750000	5.300000	20.000000	6.600000	1		1.500000	1.500000	0.300000
MAL_Barrel_02	0.600000	0.300000		3.250000	5.900000	40.000000	3.000000	2	0.600000	1.300000	1.500000	0.900000
---												
BOR_Barrel_01		0.600000		4.000000	4.800000		2.250000	1		1.500000		
BOR_Barrel_02	0.600000	1.100000	-7.500000	6.000000	5.650000		1.500000	2	1.100000	1.400000		0.900000
----												
VLA_Barrel_01	0.350000	1.000000		5.000000	2.900000		4.000000	1		1.750000		
VLA_Barrel_02		1.300000		5.500000	3.800000		2.500000	2	1.250000	1.600000		0.850000
-----												
ORD_Barrel_01	0.750000	1.000000	-6.000000	4.500000	5.400000		1.900000	1		1.200000		
ORD_Barrel_02	0.900000	0.700000	-6.000000	5.500000	6.500000		1.500000	2	1.200000	0.950000		
