row_name	accuracy_scale	damage_scale	firerate_scale	heatimpulse_value	maxloadedammo_value	recoil_scale	reloadtime_value	spread_scale	sway_scale	thrownreloadtime_value
JAK_Mag_01		0.950000		0.180000	6.000000		3.500000		1.200000	
JAK_Mag_02				0.150000	4.000000		2.800000			
JAK_Mag_03		0.987500	0.850000	0.100000	10.000000	1.300000	3.000000	0.900000		
JAK_Mag_04	1.300000	0.862500		0.111100			4.000000	1.300000	1.250000	3.000000
JAK_Mag_05		0.825000	1.300000	0.150000	8.000000		3.100000			3.000000
--										
MAL_Mag_01				0.200000	8.000000		2.650000			
MAL_Mag_02				0.166000	10.000000		3.150000			
MAL_Mag_03		1.262500	0.800000	0.200000	6.000000		2.200000			
MAL_Mag_04	1.400000	0.982500		0.100000		0.950000	3.750000	1.400000	0.950000	3.000000
MAL_Mag_05_B01	1.150000	0.900000	0.350000	0.200000	12.000000		2.400000	1.150000		3.000000
MAL_Mag_05_B02	1.150000	0.900000	1.200000	0.200000	12.000000		2.400000	1.150000		3.000000
---										
BOR_Mag_01				0.125000	10.000000		2.870000			1.600000
BOR_Mag_02		0.900000		0.100000	15.000000		3.100000			1.600000
BOR_Mag_03		1.250000	0.800000	0.200000	8.000000		2.300000			1.600000
BOR_Mag_04		0.925000		0.067500			4.000000			3.000000
----										
VLA_Mag_01				0.080000	12.000000		3.000000			
VLA_Mag_02				0.067000	15.000000		3.600000			
VLA_Mag_03		1.287500	0.825000	0.100000	9.000000		2.850000			
VLA_Mag_04	1.300000			0.072500		1.400000	4.250000	1.300000		3.000000
VLA_Mag_05		0.987500	1.250000	0.067000	18.000000		3.600000			3.000000
-----										
ORD_Mag_01				0.200000	12.000000		2.300000			1.600000
ORD_Mag_02		0.975000		0.150000	15.000000		2.700000			1.600000
ORD_Mag_03		1.275000	0.800000	0.200000	9.000000		2.100000			1.600000
ORD_Mag_04				0.050000			3.700000			3.000000
ORD_Mag_05		0.900000	1.200000	0.100000	18.000000		2.100000			3.000000
