row_name	accimpulse_value	accuracy_value	ammo_value	ammodelay_value	ammoregen_value	damage_value	damageradius_value	firerate_value	heatimpulse_value	impactforce_value	modereturn_scale	modeswitch_scale	projectilespershot_value	recoil_scale	spread_value	sway_scale
JAK_Shotgun	1.000000	3.000000	3.000000	16.000000	3.000000	15.000000		1.250000	0.250000	3750.000000			8.000000		8.000000	
JAK_Rocket		2.000000		30.000000		165.000000	400.000000	2.000000	0.500000	60000.000000		1.100000			2.000000	
JAK_Crank		3.000000	24.000000	24.000000	24.000000	24.000000		6.000000	0.040000		0.960000	0.900000			5.000000	
JAK_Atlas	1.000000	2.000000		8.000000				2.000000	0.200000				4.000000		4.000000	
JAK_Atlas_Ball	1.500000	2.000000		10.000000			350.000000	2.000000	0.200000	10000.000000					2.000000	
JAK_AmmoSwitcher											1.167000	1.350000				
--																
MAL_Singularity	1.000000	2.000000		40.000000		10.000000	350.000000	2.000000	0.300000	60000.000000					5.000000	
MAL_Multitaser		3.000000	2.000000			20.000000	350.000000	2.000000	0.350000						2.500000	
MAL_RocketPod	0.300000	3.000000	16.000000	16.000000	4.000000	26.000000	100.000000	1.500000	0.100000	30000.000000		1.100000	4.000000		5.000000	
MAL_Atlas								1.000000	0.200000		1.250000	1.250000	7.000000		4.000000	
MAL_Atlas_Ball							350.000000	1.000000	0.200000	10000.000000	1.250000	1.250000			4.000000	
MAL_AmmoSwitcher											1.125000	1.125000				
MAL_MalElement																
---																
BOR_GravTrap		2.000000		36.000000		60.000000	600.000000	2.000000	0.400000	60000.000000	1.100000	1.200000			3.000000	
BOR_Seeker	0.600000	5.000000	12.000000	15.000000	4.000000	12.000000	100.000000	2.000000	0.100000	30000.000000	1.500000	1.500000	4.000000		8.000000	
BOR_Marked		5.000000				50.000000	200.000000	2.000000	0.200000	5000.000000	1.500000	1.500000			2.000000	
BOR_Atlas		3.000000						1.000000	0.200000		1.500000	1.500000	3.000000		4.000000	
BOR_Atlas_Ball		3.000000					350.000000	1.000000	0.200000	10000.000000	1.500000	1.500000			2.000000	
BOR_AmmoSwitcher											1.125000	1.125000				
BOR_MalElement											1.300000	1.300000				
----																
VLA_Shotgun		3.000000	6.000000	12.000000		10.000000		3.000000	0.200000	5000.000000	1.050000	1.050000	6.000000		5.000000	
VLA_Rocket	0.350000	4.000000		30.000000		165.000000	600.000000	2.000000	0.400000	100000.000000		1.200000			4.500000	
VLA_Bipod	0.250000	0.750000						2.000000			0.900000			0.250000	0.750000	0.250000
VLA_ExtraBarrel		0.500000						0.667000			1.200000	1.200000			0.250000	
VLA_Atlas		2.000000						1.000000	0.200000			1.125000	5.000000		4.000000	
VLA_Atlas_Ball		2.500000					350.000000	1.000000	0.200000	10000.000000		1.125000			2.000000	
VLA_AmmoSwitcher											1.125000	1.125000				
VLA_MalElement																
-----																
ORD_Spear		3.000000	2.000000	36.000000	2.000000	120.000000	350.000000	2.000000	0.200000		1.125000	1.125000			3.000000	
ORD_Tether_Snare		3.000000	3.000000	24.000000	3.000000	12.000000	50.000000	2.000000	0.200000	30000.000000	1.125000	1.125000			3.000000	
ORD_Railgun		2.000000	3.000000	24.000000	3.000000	70.000000	150.000000	1.000000	0.200000	30000.000000	1.125000	1.125000	2.000000		3.000000	
ORD_Atlas		3.000000			6.000000			2.000000	0.200000			1.200000	6.000000	0.100000	3.000000	
ORD_Atlas_Ball		2.500000					350.000000	2.000000	0.200000	10000.000000		1.200000			3.500000	
ORD_AmmoSwitcher											1.125000	1.125000				
