progression	level	xp	maxlevel	multiplier	offset	power	basemultiplier	basevalue	source_file
oak2_characterxp_progression	1	60	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	2	417	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	3	1300	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	4	2910	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	5	5435	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	6	9056	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	7	13945	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	8	20267	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	9	28185	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	10	37857	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	11	49436	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	12	63075	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	13	78921	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	14	97120	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	15	117816	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	16	141152	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	17	167266	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	18	196297	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	19	228381	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	20	263654	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	21	302249	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	22	344298	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	23	389932	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	24	439281	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	25	492473	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	26	549637	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	27	610899	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	28	676384	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	29	746217	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	30	820523	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	31	899423	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	32	983039	50	60	7.33	2.8			xp_progression.bin
oak2_characterxp_progression	33	1071495	50	60	7.33	2.8			xp_progression.bin
