index	name
0	Armor_Shield.part_ra_armor_segment_primary0
1	Armor_Shield.part_ra_armor_segment_secondary
2	Armor_Shield.part_ra_armor_strength_primary
3	Armor_Shield.part_ra_armor_strength_secondary
4	Armor_Shield.part_ra_bladed_primary
5	Armor_Shield.part_ra_bladed_secondary
6	Armor_Shield.part_ra_boxer_primary
7	Armor_Shield.part_ra_boxer_secondary
8	Armor_Shield.part_ra_flanking_primary
9	Armor_Shield.part_ra_flanking_secondary
10	Armor_Shield.part_ra_heavy_plating_primary
11	Armor_Shield.part_ra_heavy_plating_secondary
12	Armor_Shield.part_ra_knockback_primary
13	Armor_Shield.part_ra_knockback_secondary
14	Armor_Shield.part_ra_missile_swarm_primary
15	Armor_Shield.part_ra_missile_swarm_secondary
16	Armor_Shield.part_ra_nova_segment_primary
17	Armor_Shield.part_ra_nova_segment_secondary
18	Armor_Shield.part_ra_positive_reinforcement_primary
19	Armor_Shield.part_ra_positive_reinforcement_secondary
20	Armor_Shield.part_ra_reinforced_primary
21	Armor_Shield.part_ra_reinforced_secondary
22	Armor_Shield.part_ra_scavenger_primary
23	Armor_Shield.part_ra_scavenger_secondary
24	Armor_Shield.part_ra_spunky_primary
25	Armor_Shield.part_ra_spunky_secondary
