index	name
0	BOR_HW.part_barrel_01
1	BOR_HW.part_barrel_01_Streamer
2	BOR_HW.part_barrel_01_a
3	BOR_HW.part_barrel_01_aXd
4	BOR_HW.part_barrel_01_b
5	BOR_HW.part_barrel_01_c
6	BOR_HW.part_barrel_01_d
7	BOR_HW.part_barrel_01_dXa
8	BOR_HW.part_barrel_02
9	BOR_HW.part_barrel_02_DiscJockeyd
10	BOR_HW.part_barrel_02_a
11	BOR_HW.part_barrel_02_aXC
12	BOR_HW.part_barrel_02_aXD
13	BOR_HW.part_barrel_02_b
14	BOR_HW.part_barrel_02_c
15	BOR_HW.part_barrel_02_cXa
16	BOR_HW.part_barrel_02_cXd
17	BOR_HW.part_barrel_02_d
18	BOR_HW.part_barrel_02_dXa
19	BOR_HW.part_barrel_02_dXc
20	BOR_HW.part_barrel_02_jetset
21	BOR_HW.part_body
22	BOR_HW.part_body_al
23	BOR_HW.part_body_b
24	BOR_HW.part_body_c
25	BOR_HW.part_body_d
