index	name
0	BOR_REPAIR_KIT.part_augment_unique_augmenter
1	BOR_REPAIR_KIT.part_borg
0	BOR_TERMINAL_BARRIER.part_body
0	HYP_Enhancement.part_core_hyp_bulwark
1	HYP_Enhancement.part_core_hyp_shockguard
2	HYP_Enhancement.part_core_hyp_stabilizer
3	HYP_Enhancement.part_core_hyp_stimconverter
0	JAK_Enhancement.part_core_jak_bouncepassx
1	JAK_Enhancement.part_core_jak_leaper
2	JAK_Enhancement.part_core_jak_piercer
3	JAK_Enhancement.part_core_jak_sequencer
0	JAK_TERMINAL_COMBAT.part_body
0	ORD_Enhancement.part_core_ord_ammogenerator
1	ORD_Enhancement.part_core_ord_freecharger
2	ORD_Enhancement.part_core_ord_muzzlebrake
3	ORD_Enhancement.part_core_ord_powershot
0	TOR_TERMINAL_COMBAT.part_body
0	VLA_TERMINAL_BARRIER.part_body
0	Weapon_Brute_FaceLaser.part_body
1	Weapon_Brute_FaceLaser.part_body_badass
2	Weapon_Brute_FaceLaser.part_body_cannon
3	Weapon_Brute_FaceLaser.part_body_missile
0	Weapon_GunShip_MainGun.part_body
0	Weapon_Meathead_Chaingun.part_body
0	Weapon_Meathead_Flamethrower.part_body
0	Weapon_Meathead_Rocket.part_body
0	Weapon_MissionTurret_Chaingun.part_body
0	Weapon_OrderDrone.part_body
1	Weapon_OrderDrone.part_body_badass
2	Weapon_OrderDrone.part_body_cameraz
3	Weapon_OrderDrone.part_body_wideangle
0	Weapon_RipperTurret_Flamethrower.part_bodyb
0	Weapon_Soldier_Sprayer.part_body_lp
0	Weapon_SpliceArm_Launcher.part_body
0	apon_SpliceSpiderJumbo_RocketGun.part_body
0	classmod_gravitar.part_grav_asm_legendaryGravitar
1	classmod_gravitar.part_grav_asm_skill_test
0	dad_shield.part_body_angelR
1	dad_shield.part_body_energy
2	dad_shield.part_unique_SuperSoldier
0	dad_turret_gadget.part_ele_control
0	jak_grenade_gadget.part_02_divider_02_seeker_jak
1	jak_grenade_gadget.part_02_divider_04_repeater_jak
2	jak_grenade_gadget.part_02_divider_jakH
3	jak_grenade_gadget.part_ShoKunaiH
4	jak_grenade_gadget.part_jak
5	jak_grenade_gadget.part_spinning_blade
0	jak_turret_gadget.part_ele_control
0	mal_repair_kit.part_augment_unique_BloodAnalyzer
1	mal_repair_kit.part_mal
0	mal_turret_gadget.part_ele_control
0	ord_repair_kit.part_augment_unique_TripleBypass
1	ord_repair_kit.part_ord
0	ord_turret_gadget.part_ele_controlv
1	ord_turret_gadget.part_unique_beam_anchor
0	ted_repair_kit.part_augment_unique_KillSpring
1	ted_repair_kit.part_ted
0	terminal_gadget_combat.part_hot_off_the_press
1	terminal_gadget_combat.part_me_layhem
2	terminal_gadget_combat.part_nova_bomb_active
0	turret_weapon_basic.part_body
1	turret_weapon_basic.part_normal
0	turret_weapon_beam.part_body
1	turret_weapon_beam.part_body_anchor
2	turret_weapon_beam.part_normal
0	turret_weapon_longrifle.part_body
1	turret_weapon_longrifle.part_normal
