index	name
0	BOR_SG.part_barrel_01
1	BOR_SG.part_barrel_01_a
2	BOR_SG.part_barrel_01_b
3	BOR_SG.part_barrel_01_c
4	BOR_SG.part_barrel_01_d
5	BOR_SG.part_barrel_02
6	BOR_SG.part_barrel_02_GoreMaster
7	BOR_SG.part_barrel_02_a
8	BOR_SG.part_barrel_02_b
9	BOR_SG.part_barrel_02_c
10	BOR_SG.part_barrel_02_d
11	BOR_SG.part_barrel_GoldenGod
12	BOR_SG.part_barrel_licensed_hyp
13	BOR_SG.part_barrel_licensed_jak
14	BOR_SG.part_barrel_licensed_ted
15	BOR_SG.part_barrel_licensed_ted_combo
16	BOR_SG.part_barrel_licensed_ted_mirvJ
17	BOR_SG.part_barrel_licensed_ted_shooting8
18	BOR_SG.part_body
19	BOR_SG.part_body_at
20	BOR_SG.part_body_b
21	BOR_SG.part_body_c
22	BOR_SG.part_body_d
23	BOR_SG.part_foregrip_01
24	BOR_SG.part_foregrip_02
25	BOR_SG.part_foregrip_03
26	BOR_SG.part_grip_01
27	BOR_SG.part_grip_02
28	BOR_SG.part_grip_03
29	BOR_SG.part_grip_04_hyp
30	BOR_SG.part_grip_05a_ted_legs
31	BOR_SG.part_grip_05b_ted_homing
32	BOR_SG.part_grip_05c_ted_javn
33	BOR_SG.part_mag_01
34	BOR_SG.part_mag_02
35	BOR_SG.part_mag_03_tor
36	BOR_SG.part_mag_04_cov
37	BOR_SG.part_mag_GoldenGod
38	BOR_SG.part_mag_ted_thrown_01
39	BOR_SG.part_mag_ted_thrown_02
40	BOR_SG.part_mag_ted_thrown_03_tor
41	BOR_SG.part_mag_ted_thrown_04_cov
42	BOR_SG.part_mag_torgue_normal
43	BOR_SG.part_mag_torgue_sticky
44	BOR_SG.part_scope_01_lens_01
45	BOR_SG.part_scope_01_lens_02
46	BOR_SG.part_scope_02_lens_01
47	BOR_SG.part_scope_02_lens_02
48	BOR_SG.part_scope_acc_S01_L01_a
49	BOR_SG.part_scope_acc_S01_L01_b
50	BOR_SG.part_scope_acc_S01_L02_a
51	BOR_SG.part_scope_acc_S01_L02_b
52	BOR_SG.part_scope_acc_S02_L01_a
53	BOR_SG.part_scope_acc_S02_L01_b
54	BOR_SG.part_scope_acc_S02_L02_a
55	BOR_SG.part_scope_acc_S02_L02_b
56	BOR_SG.part_scope_ironsight
57	BOR_SG.part_secondary_ammo_ar
58	BOR_SG.part_secondary_ammo_ps
59	BOR_SG.part_secondary_ammo_smg
60	BOR_SG.part_secondary_ammo_sr
61	BOR_SG.part_shield_ammo
62	BOR_SG.part_shield_amp
63	BOR_SG.part_shield_default
64	BOR_SG.part_shield_ricochet
65	BOR_SG.part_underbarrel_01_beam
66	BOR_SG.part_underbarrel_02_gauss
67	BOR_SG.part_underbarrel_03_discharge
68	BOR_SG.part_underbarrel_04_atlasF
69	BOR_SG.part_underbarrel_04_atlas_ball
70	BOR_SG.part_underbarrel_05_ammoswitcher
71	BOR_SG.part_underbarrel_06_malswitch
72	BOR_SG.part_unique_barrel_02_convergence
