index	name
0	BOR_SM.part_barrel_01
1	BOR_SM.part_barrel_01_Roil
2	BOR_SM.part_barrel_01_a
3	BOR_SM.part_barrel_01_b
4	BOR_SM.part_barrel_01_c
5	BOR_SM.part_barrel_01_d
6	BOR_SM.part_barrel_01_hellfire
7	BOR_SM.part_barrel_02
8	BOR_SM.part_barrel_02_a
9	BOR_SM.part_barrel_02_b
10	BOR_SM.part_barrel_02_c
11	BOR_SM.part_barrel_02_d
12	BOR_SM.part_barrel_02_prince
13	BOR_SM.part_barrel_licensed_hyp
14	BOR_SM.part_barrel_licensed_jak
15	BOR_SM.part_barrel_licensed_ted
16	BOR_SM.part_barrel_licensed_ted_combo
17	BOR_SM.part_barrel_licensed_ted_mirv
18	BOR_SM.part_barrel_licensed_ted_shooting
19	BOR_SM.part_body
20	BOR_SM.part_body_a
21	BOR_SM.part_body_bH
22	BOR_SM.part_body_c
23	BOR_SM.part_body_d
24	BOR_SM.part_foregrip_01
25	BOR_SM.part_foregrip_02
26	BOR_SM.part_foregrip_03
27	BOR_SM.part_grip_01
28	BOR_SM.part_grip_02
29	BOR_SM.part_grip_03
30	BOR_SM.part_grip_04_hyp
31	BOR_SM.part_grip_05a_ted_legs
32	BOR_SM.part_grip_05b_ted_homing
33	BOR_SM.part_grip_05c_ted_jav
34	BOR_SM.part_mag_01
35	BOR_SM.part_mag_02
36	BOR_SM.part_mag_03_tor
37	BOR_SM.part_mag_04_cov
38	BOR_SM.part_mag_ted_thrown_01
39	BOR_SM.part_mag_ted_thrown_02
40	BOR_SM.part_mag_ted_thrown_03_tor
41	BOR_SM.part_mag_ted_thrown_04_cov
42	BOR_SM.part_mag_torgue_normal
43	BOR_SM.part_mag_torgue_sticky
44	BOR_SM.part_scope_01_lens_01d
45	BOR_SM.part_scope_01_lens_02v
46	BOR_SM.part_scope_02_lens_01
47	BOR_SM.part_scope_02_lens_02R
48	BOR_SM.part_scope_acc_S01_L01_a
49	BOR_SM.part_scope_acc_S01_L01_b
50	BOR_SM.part_scope_acc_S01_L02_a
51	BOR_SM.part_scope_acc_S01_L02_b
52	BOR_SM.part_scope_acc_S02_L01_a
53	BOR_SM.part_scope_acc_S02_L01_b
54	BOR_SM.part_scope_acc_S02_L02_a
55	BOR_SM.part_scope_acc_S02_L02_b
56	BOR_SM.part_scope_ironsight
57	BOR_SM.part_secondary_ammo_ar
58	BOR_SM.part_secondary_ammo_ps
59	BOR_SM.part_secondary_ammo_sg
60	BOR_SM.part_secondary_ammo_sr
61	BOR_SM.part_shield_ammo
62	BOR_SM.part_shield_amp
63	BOR_SM.part_shield_default
64	BOR_SM.part_shield_ricochet
65	BOR_SM.part_underbarrel_01_shrapnel
66	BOR_SM.part_underbarrel_02_drunkrocket
67	BOR_SM.part_underbarrel_03_gastrap
68	BOR_SM.part_underbarrel_04_atlas
69	BOR_SM.part_underbarrel_04_atlas_ball
70	BOR_SM.part_underbarrel_05_Roil
71	BOR_SM.part_underbarrel_05_ammoswitcher
72	BOR_SM.part_underbarrel_06_malswitch
