index	name
0	bor_turret_gadget.part_ele_control
0	borg_grenade_gadget.part_02_divider_02_seeker_borg
1	borg_grenade_gadget.part_02_divider_04_repeater_borg
2	borg_grenade_gadget.part_02_divider_borg
3	borg_grenade_gadget.part_borg
4	borg_grenade_gadget.part_payload_unique_buoy
5	borg_grenade_gadget.part_payload_unique_rubber
6	borg_grenade_gadget.part_payload_unique_transmission
0	dad_grenade_gadget.part_dad
1	dad_grenade_gadget.part_payload_Axe
2	dad_grenade_gadget.part_payload_fuse
0	grenade_gadget.part_01_mirv
1	grenade_gadget.part_01_mirv_01_children
2	grenade_gadget.part_01_mirv_02_bouncerB
3	grenade_gadget.part_01_mirv_03_micro_mirv
4	grenade_gadget.part_01_mirv_04_spring
5	grenade_gadget.part_02_divider
6	grenade_gadget.part_02_divider_01_children
7	grenade_gadget.part_02_divider_02_seekerr
8	grenade_gadget.part_02_divider_03_singularity
9	grenade_gadget.part_02_divider_04_repeater8
10	grenade_gadget.part_02_divider_05_spring
11	grenade_gadget.part_03_spring
12	grenade_gadget.part_03_spring_01_additional_bounceH
13	grenade_gadget.part_03_spring_02_apex
14	grenade_gadget.part_03_spring_03_compound
15	grenade_gadget.part_03_spring_04_bouncer
16	grenade_gadget.part_03_spring_05_spawning
17	grenade_gadget.part_04_artillery
18	grenade_gadget.part_04_artillery_01_duration
19	grenade_gadget.part_04_artillery_02_ricochet
20	grenade_gadget.part_04_artillery_03_micro_missilesz
21	grenade_gadget.part_04_artillery_04_maglock
22	grenade_gadget.part_04_artillery_05_mortar_strike
23	grenade_gadget.part_05_singularityH
24	grenade_gadget.part_05_singularity_01_duration
25	grenade_gadget.part_05_singularity_02_lingering
26	grenade_gadget.part_05_singularity_03_collapsing
27	grenade_gadget.part_05_singularity_04_repulsorR
28	grenade_gadget.part_06_lingering_01_duration_bursts
29	grenade_gadget.part_06_lingering_01_duration_bursts_cryo
30	grenade_gadget.part_06_lingering_02_pulse
31	grenade_gadget.part_06_lingering_03_splat_pack4
32	grenade_gadget.part_06_lingering_04_fracture
33	grenade_gadget.part_06_lingering_05_alchemic
34	grenade_gadget.part_06_lingering_corrosive
35	grenade_gadget.part_06_lingering_cryo
36	grenade_gadget.part_06_lingering_fire
37	grenade_gadget.part_06_lingering_radiation2
38	grenade_gadget.part_06_lingering_shock
39	grenade_gadget.part_07_damage_amp
40	grenade_gadget.part_07_damage_amp_01_bouncing
41	grenade_gadget.part_07_damage_amp_02_suppressor
42	grenade_gadget.part_07_damage_amp_03_penetrator
43	grenade_gadget.part_corrosive
44	grenade_gadget.part_cryoZ
45	grenade_gadget.part_fireZ
46	grenade_gadget.part_firmware_action_fist
47	grenade_gadget.part_firmware_airstrikeD
48	grenade_gadget.part_firmware_atlas_ex
49	grenade_gadget.part_firmware_atlas_infinum
50	grenade_gadget.part_firmware_baker
51	grenade_gadget.part_firmware_bullets_to_spare
52	grenade_gadget.part_firmware_daeddy_o
53	grenade_gadget.part_firmware_deadeye
54	grenade_gadget.part_firmware_gadget_ahoyv
55	grenade_gadget.part_firmware_get_throwinX
56	grenade_gadget.part_firmware_god_killer
57	grenade_gadget.part_firmware_goojfc
58	grenade_gadget.part_firmware_heating_up
