index	name
0	DAD_AR.part_barrel_01
1	DAD_AR.part_barrel_01_FirstImpression
2	DAD_AR.part_barrel_01_a
3	DAD_AR.part_barrel_01_b
4	DAD_AR.part_barrel_01_c
5	DAD_AR.part_barrel_01_d
6	DAD_AR.part_barrel_02
7	DAD_AR.part_barrel_02_Lumberjack
8	DAD_AR.part_barrel_02_a
9	DAD_AR.part_barrel_02_b
10	DAD_AR.part_barrel_02_c
11	DAD_AR.part_barrel_02_d
12	DAD_AR.part_barrel_02_star_helix
13	DAD_AR.part_barrel_licensed_hyp
14	DAD_AR.part_barrel_licensed_jak
15	DAD_AR.part_barrel_licensed_ted
16	DAD_AR.part_barrel_licensed_ted_combo
17	DAD_AR.part_barrel_licensed_ted_mirv
18	DAD_AR.part_barrel_licensed_ted_shooting
19	DAD_AR.part_barrel_unique_OM
20	DAD_AR.part_body
21	DAD_AR.part_body_a
22	DAD_AR.part_body_b
23	DAD_AR.part_body_bolt
24	DAD_AR.part_body_cd
25	DAD_AR.part_body_dF
26	DAD_AR.part_body_mag_PS
27	DAD_AR.part_body_mag_SG
28	DAD_AR.part_body_mag_SMG
29	DAD_AR.part_body_mag_SR
30	DAD_AR.part_foregrip_01
31	DAD_AR.part_foregrip_02
32	DAD_AR.part_foregrip_03
33	DAD_AR.part_grip_01
34	DAD_AR.part_grip_02
35	DAD_AR.part_grip_03
36	DAD_AR.part_grip_04_hyp
37	DAD_AR.part_grip_05a_ted_legs
38	DAD_AR.part_grip_05b_ted_homing
39	DAD_AR.part_grip_05c_ted_jav
40	DAD_AR.part_mag_01
41	DAD_AR.part_mag_02
42	DAD_AR.part_mag_03_tor
43	DAD_AR.part_mag_04_cov
44	DAD_AR.part_mag_05_borg
45	DAD_AR.part_mag_ted_thrown_01
46	DAD_AR.part_mag_ted_thrown_02
47	DAD_AR.part_mag_ted_thrown_03_tor
48	DAD_AR.part_mag_ted_thrown_04_cov
49	DAD_AR.part_mag_ted_thrown_05_bor
50	DAD_AR.part_mag_torgue_normal
51	DAD_AR.part_mag_torgue_sticky
52	DAD_AR.part_scope_01_lens_01
53	DAD_AR.part_scope_01_lens_02B
54	DAD_AR.part_scope_02_lens_01
55	DAD_AR.part_scope_02_lens_02
56	DAD_AR.part_scope_acc_S01_L01_a
57	DAD_AR.part_scope_acc_S01_L01_b
58	DAD_AR.part_scope_acc_S01_L02_a
59	DAD_AR.part_scope_acc_S01_L02_b
60	DAD_AR.part_scope_acc_S02_L01_a
61	DAD_AR.part_scope_acc_S02_L01_b
62	DAD_AR.part_scope_acc_S02_L02_a
63	DAD_AR.part_scope_acc_S02_L02_b
64	DAD_AR.part_scope_ironsight
65	DAD_AR.part_shield_ammo
66	DAD_AR.part_shield_amp4
67	DAD_AR.part_shield_default
68	DAD_AR.part_shield_ricochet
69	DAD_AR.part_underbarrel_01_grenade
70	DAD_AR.part_underbarrel_01_grenade_OM
71	DAD_AR.part_underbarrel_02_shotgun
72	DAD_AR.part_underbarrel_03_microrocket
73	DAD_AR.part_underbarrel_04_atlas_ball
74	DAD_AR.part_underbarrel_04_atlasj
75	DAD_AR.part_underbarrel_06_malswitch
76	DAD_AR.part_underbarrel_06_star_helix
77	DAD_AR.part_underbarrel_OM_SpaceLaser
