index	name
0	DAD_PS.part_barrel_01
1	DAD_PS.part_barrel_01_ZipgunT
2	DAD_PS.part_barrel_01_a
3	DAD_PS.part_barrel_01_b
4	DAD_PS.part_barrel_01_c
5	DAD_PS.part_barrel_01_d
6	DAD_PS.part_barrel_02
7	DAD_PS.part_barrel_02_a
8	DAD_PS.part_barrel_02_b
9	DAD_PS.part_barrel_02_c
10	DAD_PS.part_barrel_02_d
11	DAD_PS.part_barrel_02_rangefinder
12	DAD_PS.part_barrel_licensed_hyp
13	DAD_PS.part_barrel_licensed_jak
14	DAD_PS.part_barrel_licensed_ted
15	DAD_PS.part_barrel_licensed_ted_combo
16	DAD_PS.part_barrel_licensed_ted_mirvB
17	DAD_PS.part_barrel_licensed_ted_shooting
18	DAD_PS.part_body
19	DAD_PS.part_body_a
20	DAD_PS.part_body_b
21	DAD_PS.part_body_c
22	DAD_PS.part_body_d
23	DAD_PS.part_body_mag_AR
24	DAD_PS.part_body_mag_SG
25	DAD_PS.part_body_mag_SMG
26	DAD_PS.part_body_mag_SR
27	DAD_PS.part_foregrip_01
28	DAD_PS.part_foregrip_02
29	DAD_PS.part_foregrip_03
30	DAD_PS.part_grip_01
31	DAD_PS.part_grip_02
32	DAD_PS.part_grip_03
33	DAD_PS.part_grip_04_hyp
34	DAD_PS.part_grip_05a_ted_legs
35	DAD_PS.part_grip_05b_ted_homing
36	DAD_PS.part_grip_05c_ted_jav
37	DAD_PS.part_mag_01p
38	DAD_PS.part_mag_02
39	DAD_PS.part_mag_03_tor0
40	DAD_PS.part_mag_04_cov
41	DAD_PS.part_mag_05_borg
42	DAD_PS.part_mag_05_borg_barrel_01
43	DAD_PS.part_mag_05_borg_barrel_02
44	DAD_PS.part_mag_ted_thrown_01
45	DAD_PS.part_mag_ted_thrown_02
46	DAD_PS.part_mag_ted_thrown_03_tor
47	DAD_PS.part_mag_ted_thrown_04_cov
48	DAD_PS.part_mag_ted_thrown_05_bor
49	DAD_PS.part_mag_torgue_normal
50	DAD_PS.part_mag_torgue_sticky
51	DAD_PS.part_scope_01_lens_01
52	DAD_PS.part_scope_01_lens_020
53	DAD_PS.part_scope_02_lens_01R
54	DAD_PS.part_scope_02_lens_02
55	DAD_PS.part_scope_acc_S01_L01_a
56	DAD_PS.part_scope_acc_S01_L01_b
57	DAD_PS.part_scope_acc_S01_L02_a
58	DAD_PS.part_scope_acc_S01_L02_b
59	DAD_PS.part_scope_acc_S02_L01_a
60	DAD_PS.part_scope_acc_S02_L01_b
61	DAD_PS.part_scope_acc_S02_L02_a
62	DAD_PS.part_scope_acc_S02_L02_b
63	DAD_PS.part_scope_ironsight
64	DAD_PS.part_shield_ammo
65	DAD_PS.part_shield_amp
66	DAD_PS.part_shield_default
67	DAD_PS.part_shield_ricochet
68	DAD_PS.part_underbarrel_01_taser
69	DAD_PS.part_underbarrel_02_knifelauncherf
70	DAD_PS.part_underbarrel_03_semtex
71	DAD_PS.part_underbarrel_04_atlas
72	DAD_PS.part_underbarrel_04_atlas_ball
73	DAD_PS.part_underbarrel_06_malswitch
