index	name
0	dad_repair_kit.part_augment_unique_healthraiser
1	dad_repair_kit.part_augment_unique_pacemaker
2	dad_repair_kit.part_dad
0	jak_repair_kit.part_augment_unique_Defibrillator8
1	jak_repair_kit.part_jak
0	repair_kit.part_aug_D_Dmg_Reduction_On_Use
1	repair_kit.part_aug_D_Dmg_Reduction_On_Use_secn
2	repair_kit.part_aug_D_Elemental_ImmunityT
3	repair_kit.part_aug_D_Elemental_Immunity_sec6
4	repair_kit.part_aug_D_Elemental_Resist
5	repair_kit.part_aug_D_Elemental_Resist_Corrosive
6	repair_kit.part_aug_D_Elemental_Resist_Corrosive_sec
7	repair_kit.part_aug_D_Elemental_Resist_Cryo
8	repair_kit.part_aug_D_Elemental_Resist_Cryo_sec
9	repair_kit.part_aug_D_Elemental_Resist_Fire
10	repair_kit.part_aug_D_Elemental_Resist_Fire_sec
11	repair_kit.part_aug_D_Elemental_Resist_Radiation
12	repair_kit.part_aug_D_Elemental_Resist_Radiation_sec
13	repair_kit.part_aug_D_Elemental_Resist_Shock
14	repair_kit.part_aug_D_Elemental_Resist_Shock_sec4
15	repair_kit.part_aug_D_Elemental_Resist_secb
16	repair_kit.part_aug_D_ShieldChargeR
17	repair_kit.part_aug_D_ShieldCharge_secn
18	repair_kit.part_aug_d_AoE_Heal
19	repair_kit.part_aug_d_AoE_Heal_sec
20	repair_kit.part_aug_d_HealthBurst
21	repair_kit.part_aug_d_HealthBurst_sec
22	repair_kit.part_aug_d_Lifesteal
23	repair_kit.part_aug_d_Lifesteal_sec
24	repair_kit.part_aug_d_OvershieldL
25	repair_kit.part_aug_d_Overshield_sec
26	repair_kit.part_aug_d_increased_healing
27	repair_kit.part_aug_d_increased_healing_sec
28	repair_kit.part_aug_ele_immunity_corrosive
29	repair_kit.part_aug_ele_immunity_corrosive_sec
30	repair_kit.part_aug_ele_immunity_cryo
31	repair_kit.part_aug_ele_immunity_cryo_sec
32	repair_kit.part_aug_ele_immunity_fire
33	repair_kit.part_aug_ele_immunity_fire_sec
34	repair_kit.part_aug_ele_immunity_radiation
35	repair_kit.part_aug_ele_immunity_radiation_sec6
36	repair_kit.part_aug_ele_immunity_shock
37	repair_kit.part_aug_ele_immunity_shock_sec
38	repair_kit.part_aug_ele_nova_Corrosive
39	repair_kit.part_aug_ele_nova_Cryo
40	repair_kit.part_aug_ele_nova_Fire
41	repair_kit.part_aug_ele_nova_Radiation
42	repair_kit.part_aug_ele_nova_Shock
43	repair_kit.part_aug_ele_splat_corrosive
44	repair_kit.part_aug_ele_splat_cryo
45	repair_kit.part_aug_ele_splat_firev
46	repair_kit.part_aug_ele_splat_radiation
47	repair_kit.part_aug_ele_splat_shock
48	repair_kit.part_aug_o_SplashDmg_on_use
49	repair_kit.part_aug_o_SplashDmg_on_use_sec
50	repair_kit.part_aug_o_amp_next_shot
51	repair_kit.part_aug_o_amp_next_shot_sec
52	repair_kit.part_aug_o_elemental_dmg_on_use
53	repair_kit.part_aug_o_elemental_dmg_on_use_sec
54	repair_kit.part_aug_o_elemental_ground_splat
55	repair_kit.part_aug_o_elemental_ground_splat_sec
56	repair_kit.part_aug_o_fire_rate_on_use
57	repair_kit.part_aug_o_fire_rate_on_use_secn
58	repair_kit.part_aug_o_melee_boost_on_use
59	repair_kit.part_aug_o_melee_boost_on_use_sec
60	repair_kit.part_aug_o_nova_blast_on_use
61	repair_kit.part_aug_o_nova_blast_on_use_sec
62	repair_kit.part_aug_o_reload_speed_on_use
63	repair_kit.part_aug_o_reload_speed_on_use_sec
64	repair_kit.part_aug_u_AllDmg_on_use
65	repair_kit.part_aug_u_AllDmg_on_use_sec
66	repair_kit.part_aug_u_askill_cooldown_on_use
67	repair_kit.part_aug_u_askill_cooldown_on_use_secx
68	repair_kit.part_aug_u_gadget_cooldown_on_use
69	repair_kit.part_aug_u_gadget_cooldown_on_use_sec
70	repair_kit.part_aug_u_move_speed_on_use
71	repair_kit.part_aug_u_move_speed_on_use_sec
72	repair_kit.part_aug_u_rep_kit_cd_reduction
73	repair_kit.part_aug_u_rep_kit_cd_reduction_sec
74	repair_kit.part_aug_u_rep_kit_duration
75	repair_kit.part_aug_u_rep_kit_duration_sec
76	repair_kit.part_aug_u_rep_kit_duration_sec_JAK_VLA
77	repair_kit.part_element_corrosive
78	repair_kit.part_element_cryof
79	repair_kit.part_element_fire
80	repair_kit.part_element_radiation
81	repair_kit.part_element_shock
82	repair_kit.part_firmware_action_fist
83	repair_kit.part_firmware_airstrike
84	repair_kit.part_firmware_atlas_ex
85	repair_kit.part_firmware_atlas_infinum
86	repair_kit.part_firmware_baker
87	repair_kit.part_firmware_bullets_to_spare
88	repair_kit.part_firmware_daeddy_o
89	repair_kit.part_firmware_deadeye
90	repair_kit.part_firmware_gadget_ahoy
91	repair_kit.part_firmware_get_throwin
92	repair_kit.part_firmware_god_killer
93	repair_kit.part_firmware_goojfc
94	repair_kit.part_firmware_heating_up
95	repair_kit.part_firmware_high_caliber
96	repair_kit.part_firmware_jacked
97	repair_kit.part_firmware_lifeblood0
98	repair_kit.part_firmware_oscar_mike
99	repair_kit.part_firmware_reel_big_fistp
100	repair_kit.part_firmware_risky_boots
101	repair_kit.part_firmware_rubberband_man
102	repair_kit.part_firmware_skillcraft
103	repair_kit.part_firmware_trickshot
104	repair_kit.part_payload_huge
105	repair_kit.part_payload_large
106	repair_kit.part_payload_medium
107	repair_kit.part_payload_small
0	tor_repair_kit.part_augment_unique_ShinyWarPaintD
1	tor_repair_kit.part_tor
0	vla_repair_kit.part_augment_unique_AdrenalinePump
1	vla_repair_kit.part_vla
