index	name
0	DAD_SG.part_barrel_01
1	DAD_SG.part_barrel_01_a
2	DAD_SG.part_barrel_01_b
3	DAD_SG.part_barrel_01_bod
4	DAD_SG.part_barrel_01_c
5	DAD_SG.part_barrel_01_d
6	DAD_SG.part_barrel_02
7	DAD_SG.part_barrel_02_a
8	DAD_SG.part_barrel_02_b
9	DAD_SG.part_barrel_02_c
10	DAD_SG.part_barrel_02_d
11	DAD_SG.part_barrel_HeartGun
12	DAD_SG.part_barrel_licensed_hyp
13	DAD_SG.part_barrel_licensed_jak
14	DAD_SG.part_barrel_licensed_ted
15	DAD_SG.part_barrel_licensed_ted_combo
16	DAD_SG.part_barrel_licensed_ted_mirv
17	DAD_SG.part_barrel_licensed_ted_shooting
18	DAD_SG.part_barrel_misslaser
19	DAD_SG.part_body
20	DAD_SG.part_body_a
21	DAD_SG.part_body_bD
22	DAD_SG.part_body_cJ
23	DAD_SG.part_body_d
24	DAD_SG.part_body_mag_AR
25	DAD_SG.part_body_mag_PS
26	DAD_SG.part_body_mag_SMGz
27	DAD_SG.part_body_mag_SR
28	DAD_SG.part_foregrip_01
29	DAD_SG.part_foregrip_02
30	DAD_SG.part_foregrip_03
31	DAD_SG.part_grip_01
32	DAD_SG.part_grip_02
33	DAD_SG.part_grip_03
34	DAD_SG.part_grip_04_hyp
35	DAD_SG.part_grip_05a_ted_legs
36	DAD_SG.part_grip_05b_ted_homing
37	DAD_SG.part_grip_05c_ted_jav
38	DAD_SG.part_mag_01
39	DAD_SG.part_mag_02
40	DAD_SG.part_mag_03_tor
41	DAD_SG.part_mag_04_cov
42	DAD_SG.part_mag_05_borg
43	DAD_SG.part_mag_ted_thrown_01
44	DAD_SG.part_mag_ted_thrown_02
45	DAD_SG.part_mag_ted_thrown_03_tor
46	DAD_SG.part_mag_ted_thrown_04_cov
47	DAD_SG.part_mag_ted_thrown_05_bor
48	DAD_SG.part_mag_torgue_normal
49	DAD_SG.part_mag_torgue_sticky
50	DAD_SG.part_scope_01_lens_01
51	DAD_SG.part_scope_01_lens_02
52	DAD_SG.part_scope_02_lens_01
53	DAD_SG.part_scope_02_lens_02
54	DAD_SG.part_scope_acc_S01_L01_a
55	DAD_SG.part_scope_acc_S01_L01_b
56	DAD_SG.part_scope_acc_S01_L02_a
57	DAD_SG.part_scope_acc_S01_L02_b
58	DAD_SG.part_scope_acc_S02_L01_a
59	DAD_SG.part_scope_acc_S02_L01_b
60	DAD_SG.part_scope_acc_S02_L02_a
61	DAD_SG.part_scope_acc_S02_L02_b
62	DAD_SG.part_scope_ironsight
63	DAD_SG.part_shield_ammo
64	DAD_SG.part_shield_amp
65	DAD_SG.part_shield_default
66	DAD_SG.part_shield_ricochet
67	DAD_SG.part_underbarrel_01_microrocketZ
68	DAD_SG.part_underbarrel_01_misslaser
69	DAD_SG.part_underbarrel_02_Singularity
70	DAD_SG.part_underbarrel_03_mine
71	DAD_SG.part_underbarrel_04_atlas
72	DAD_SG.part_underbarrel_04_atlas_ball
73	DAD_SG.part_underbarrel_06_malswitch
