index	name
0	DAD_SM.part_barrel_01
1	DAD_SM.part_barrel_01_Bloodstarved
2	DAD_SM.part_barrel_01_Loarmaster
3	DAD_SM.part_barrel_01_Luty
4	DAD_SM.part_barrel_01_a
5	DAD_SM.part_barrel_01_b
6	DAD_SM.part_barrel_01_c
7	DAD_SM.part_barrel_01_d
8	DAD_SM.part_barrel_02
9	DAD_SM.part_barrel_02_a
10	DAD_SM.part_barrel_02_b
11	DAD_SM.part_barrel_02_c
12	DAD_SM.part_barrel_02_d
13	DAD_SM.part_barrel_licensed_hyp
14	DAD_SM.part_barrel_licensed_jak
15	DAD_SM.part_barrel_licensed_ted
16	DAD_SM.part_barrel_licensed_ted_combo
17	DAD_SM.part_barrel_licensed_ted_mirv
18	DAD_SM.part_barrel_licensed_ted_shooting
19	DAD_SM.part_body
20	DAD_SM.part_body_a
21	DAD_SM.part_body_b
22	DAD_SM.part_body_c
23	DAD_SM.part_body_dX
24	DAD_SM.part_body_mag_AR
25	DAD_SM.part_body_mag_PS
26	DAD_SM.part_body_mag_SG
27	DAD_SM.part_body_mag_SR
28	DAD_SM.part_foregrip_01
29	DAD_SM.part_foregrip_02
30	DAD_SM.part_foregrip_03
31	DAD_SM.part_grip_01
32	DAD_SM.part_grip_02
33	DAD_SM.part_grip_03
34	DAD_SM.part_grip_04_hyp
35	DAD_SM.part_grip_05a_ted_legs
36	DAD_SM.part_grip_05b_ted_homing
37	DAD_SM.part_grip_05c_ted_javZ
38	DAD_SM.part_mag_01
39	DAD_SM.part_mag_02
40	DAD_SM.part_mag_03_torN
41	DAD_SM.part_mag_04_covp
42	DAD_SM.part_mag_05_borg
43	DAD_SM.part_mag_borg_barrel_01
44	DAD_SM.part_mag_borg_barrel_02
45	DAD_SM.part_mag_ted_thrown_01
46	DAD_SM.part_mag_ted_thrown_02
47	DAD_SM.part_mag_ted_thrown_03_tor
48	DAD_SM.part_mag_ted_thrown_04_cov
49	DAD_SM.part_mag_ted_thrown_05_bor
50	DAD_SM.part_mag_torgue_normal
51	DAD_SM.part_mag_torgue_sticky
52	DAD_SM.part_scope_01_lens_01
53	DAD_SM.part_scope_01_lens_02
54	DAD_SM.part_scope_02_lens_01B
55	DAD_SM.part_scope_02_lens_02
56	DAD_SM.part_scope_acc_S01_L01_a
57	DAD_SM.part_scope_acc_S01_L01_b
58	DAD_SM.part_scope_acc_S01_L02_a
59	DAD_SM.part_scope_acc_S01_L02_b
60	DAD_SM.part_scope_acc_S02_L01_a
61	DAD_SM.part_scope_acc_S02_L01_b
62	DAD_SM.part_scope_acc_S02_L02_a
63	DAD_SM.part_scope_acc_S02_L02_b
64	DAD_SM.part_scope_acc_S02_LB_a
65	DAD_SM.part_scope_acc_S02_LB_b
66	DAD_SM.part_scope_ironsight
67	DAD_SM.part_shield_ammo
68	DAD_SM.part_shield_amp
69	DAD_SM.part_shield_default
70	DAD_SM.part_shield_ricochet
71	DAD_SM.part_underbarrel_01_stungrenadex
72	DAD_SM.part_underbarrel_02_shotgun
73	DAD_SM.part_underbarrel_03_overcharge
74	DAD_SM.part_underbarrel_04_atlas
75	DAD_SM.part_underbarrel_04_atlas_ball
76	DAD_SM.part_underbarrel_06_malswitchx
