index	name
0	DAD_TERMINAL_COMBAT.part_body
0	MAL_TERMINAL_HEALING.part_body
0	ORD_TERMINAL_HEALING.part_body
0	TED_TERMINAL_BARRIER.part_body
0	Terminal_Gadget.part_endgame_gadget_used_damage
1	Terminal_Gadget.part_enemy_corrosivet
2	Terminal_Gadget.part_enemy_cryo
3	Terminal_Gadget.part_primary_barrier_barred_aggression
4	Terminal_Gadget.part_primary_barrier_bullet_amp_gate
5	Terminal_Gadget.part_primary_barrier_dome
6	Terminal_Gadget.part_primary_barrier_elemental_field_corrosive
7	Terminal_Gadget.part_primary_barrier_elemental_field_cryo
8	Terminal_Gadget.part_primary_barrier_elemental_field_fire
9	Terminal_Gadget.part_primary_barrier_elemental_field_radiation
10	Terminal_Gadget.part_primary_barrier_elemental_field_shock
11	Terminal_Gadget.part_primary_barrier_elemental_field_sonic
12	Terminal_Gadget.part_primary_barrier_health
13	Terminal_Gadget.part_primary_barrier_reflection
14	Terminal_Gadget.part_primary_barrier_scopes_up
15	Terminal_Gadget.part_primary_barrier_speed_gate
16	Terminal_Gadget.part_primary_combat_cold_shoulder
17	Terminal_Gadget.part_primary_combat_contamination
18	Terminal_Gadget.part_primary_combat_kill_clip
19	Terminal_Gadget.part_primary_combat_orbiting
20	Terminal_Gadget.part_primary_combat_potency
21	Terminal_Gadget.part_primary_combat_radius
22	Terminal_Gadget.part_primary_combat_reverb
23	Terminal_Gadget.part_primary_combat_to_the_nth
24	Terminal_Gadget.part_primary_healing_iron_skin
25	Terminal_Gadget.part_primary_healing_leech_seed
26	Terminal_Gadget.part_primary_healing_life_steal
27	Terminal_Gadget.part_primary_healing_overshield
28	Terminal_Gadget.part_primary_healing_potencyv
29	Terminal_Gadget.part_primary_healing_radius
30	Terminal_Gadget.part_primary_healing_shield_recharger
31	Terminal_Gadget.part_primary_healing_thorns
32	Terminal_Gadget.part_secondary_barrier_barred_aggression
33	Terminal_Gadget.part_secondary_barrier_bullet_amp_gate
34	Terminal_Gadget.part_secondary_barrier_dome
35	Terminal_Gadget.part_secondary_barrier_elemental_field_corrosive
36	Terminal_Gadget.part_secondary_barrier_elemental_field_cryo
37	Terminal_Gadget.part_secondary_barrier_elemental_field_fire
38	Terminal_Gadget.part_secondary_barrier_elemental_field_radiation
39	Terminal_Gadget.part_secondary_barrier_elemental_field_shock
40	Terminal_Gadget.part_secondary_barrier_elemental_field_sonic
41	Terminal_Gadget.part_secondary_barrier_health
42	Terminal_Gadget.part_secondary_barrier_reflection
43	Terminal_Gadget.part_secondary_barrier_scopes_up
44	Terminal_Gadget.part_secondary_barrier_speed_gate
45	Terminal_Gadget.part_secondary_combat_cold_shoulder
46	Terminal_Gadget.part_secondary_combat_contamination
47	Terminal_Gadget.part_secondary_combat_kill_clip
48	Terminal_Gadget.part_secondary_combat_orbiting
49	Terminal_Gadget.part_secondary_combat_potency
50	Terminal_Gadget.part_secondary_combat_radius
51	Terminal_Gadget.part_secondary_combat_reverb
52	Terminal_Gadget.part_secondary_combat_to_the_nthJ
53	Terminal_Gadget.part_secondary_healing_iron_skin
54	Terminal_Gadget.part_secondary_healing_leech_seed
55	Terminal_Gadget.part_secondary_healing_life_steal
56	Terminal_Gadget.part_secondary_healing_overshield
57	Terminal_Gadget.part_secondary_healing_potency
58	Terminal_Gadget.part_secondary_healing_radius
59	Terminal_Gadget.part_secondary_healing_shield_recharge
60	Terminal_Gadget.part_secondary_healing_thorns
