index	name
0	energy_shield.part_eng_amp_primaryL
1	energy_shield.part_eng_amp_secondary
2	energy_shield.part_eng_berserker_primary
3	energy_shield.part_eng_berserker_secondary
4	energy_shield.part_eng_brimming_primary
5	energy_shield.part_eng_brimming_secondary
6	energy_shield.part_eng_fleeting_primary
7	energy_shield.part_eng_fleeting_secondary
8	energy_shield.part_eng_nova_primary
9	energy_shield.part_eng_nova_secondary
10	energy_shield.part_eng_recharge_delay_primary
11	energy_shield.part_eng_recharge_delay_secondary
12	energy_shield.part_eng_recharge_rate_primary
13	energy_shield.part_eng_recharge_rate_secondary
14	energy_shield.part_eng_shield_booster_primary
15	energy_shield.part_eng_shield_booster_secondary
16	energy_shield.part_eng_siphon_primary
17	energy_shield.part_eng_siphon_secondary
18	energy_shield.part_eng_trigger_happy_primary
19	energy_shield.part_eng_trigger_happy_secondaryv
20	energy_shield.part_eng_vagabond_primary
21	energy_shield.part_eng_vagabond_secondary
0	vla_shield.part_body_armor_HeavyWeight
1	vla_shield.part_body_armor_Hoarder
2	vla_shield.part_body_armor_undershield
3	vla_shield.part_body_armorf
