index	name
0	JAK_PS.part_barrel_01
1	JAK_PS.part_barrel_01_a
2	JAK_PS.part_barrel_01_b
3	JAK_PS.part_barrel_01_c
4	JAK_PS.part_barrel_01_d
5	JAK_PS.part_barrel_01_phantom_flame
6	JAK_PS.part_barrel_01_seventh_Sense
7	JAK_PS.part_barrel_02
8	JAK_PS.part_barrel_02_a
9	JAK_PS.part_barrel_02_b
10	JAK_PS.part_barrel_02_c
11	JAK_PS.part_barrel_02_d
12	JAK_PS.part_barrel_02_kingsgambit
13	JAK_PS.part_barrel_QuickDraw
14	JAK_PS.part_barrel_licensed_hyp
15	JAK_PS.part_barrel_licensed_ted
16	JAK_PS.part_barrel_licensed_ted_combo
17	JAK_PS.part_barrel_licensed_ted_mirv
18	JAK_PS.part_barrel_licensed_ted_shooting
19	JAK_PS.part_body
20	JAK_PS.part_body_a
21	JAK_PS.part_body_b
22	JAK_PS.part_body_c
23	JAK_PS.part_body_d4
24	JAK_PS.part_foregrip_01
25	JAK_PS.part_foregrip_02
26	JAK_PS.part_foregrip_03
27	JAK_PS.part_grip_01
28	JAK_PS.part_grip_02
29	JAK_PS.part_grip_03
30	JAK_PS.part_grip_04_hyp
31	JAK_PS.part_grip_05a_ted_legs
32	JAK_PS.part_grip_05b_ted_homing
33	JAK_PS.part_grip_05c_ted_jav
34	JAK_PS.part_mag_018
35	JAK_PS.part_mag_02
36	JAK_PS.part_mag_03_torJ
37	JAK_PS.part_mag_04_cov
38	JAK_PS.part_mag_05_borg
39	JAK_PS.part_mag_ted_thrown_01
40	JAK_PS.part_mag_ted_thrown_02
41	JAK_PS.part_mag_ted_thrown_03_tor
42	JAK_PS.part_mag_ted_thrown_04_cov
43	JAK_PS.part_mag_ted_thrown_05_bor
44	JAK_PS.part_mag_torgue_normal
45	JAK_PS.part_mag_torgue_sticky
46	JAK_PS.part_scope_01_lens_01F
47	JAK_PS.part_scope_01_lens_02
48	JAK_PS.part_scope_02_lens_01
49	JAK_PS.part_scope_02_lens_02X
50	JAK_PS.part_scope_acc_S01_L01_a
51	JAK_PS.part_scope_acc_S01_L01_b
52	JAK_PS.part_scope_acc_S01_L02_a
53	JAK_PS.part_scope_acc_S01_L02_b
54	JAK_PS.part_scope_acc_S02_L01_a
55	JAK_PS.part_scope_acc_S02_L01_b
56	JAK_PS.part_scope_acc_S02_L02_a
57	JAK_PS.part_scope_acc_S02_L02_b
58	JAK_PS.part_scope_ironsight
59	JAK_PS.part_secondary_ammo_ar
60	JAK_PS.part_secondary_ammo_sg
61	JAK_PS.part_secondary_ammo_smg
62	JAK_PS.part_secondary_ammo_sr
63	JAK_PS.part_shield_ammo
64	JAK_PS.part_shield_amp
65	JAK_PS.part_shield_default
66	JAK_PS.part_shield_ricochet
67	JAK_PS.part_underbarrel_01_microrocket
68	JAK_PS.part_underbarrel_02_knifelauncher
69	JAK_PS.part_underbarrel_03_vial
70	JAK_PS.part_underbarrel_04_atlas
71	JAK_PS.part_underbarrel_04_atlas_ball
72	JAK_PS.part_underbarrel_05_ammoswitcher
