index	name
0	JAK_SR.part_barrel_01
1	JAK_SR.part_barrel_01_a
2	JAK_SR.part_barrel_01_b
3	JAK_SR.part_barrel_01_c
4	JAK_SR.part_barrel_01_d
5	JAK_SR.part_barrel_02
6	JAK_SR.part_barrel_02_Boomslang
7	JAK_SR.part_barrel_02_a
8	JAK_SR.part_barrel_02_b
9	JAK_SR.part_barrel_02_c
10	JAK_SR.part_barrel_02_d
11	JAK_SR.part_barrel_Truck
12	JAK_SR.part_barrel_ballista
13	JAK_SR.part_barrel_licensed_hyp
14	JAK_SR.part_barrel_licensed_ted
15	JAK_SR.part_barrel_licensed_ted_combo
16	JAK_SR.part_barrel_licensed_ted_mirv8
17	JAK_SR.part_barrel_licensed_ted_shooting
18	JAK_SR.part_body
19	JAK_SR.part_body_aZ
20	JAK_SR.part_body_b
21	JAK_SR.part_body_c
22	JAK_SR.part_body_d
23	JAK_SR.part_foregrip_01
24	JAK_SR.part_foregrip_02
25	JAK_SR.part_foregrip_03
26	JAK_SR.part_grip_01
27	JAK_SR.part_grip_02
28	JAK_SR.part_grip_03
29	JAK_SR.part_grip_04_hyp
30	JAK_SR.part_grip_05a_ted_legs
31	JAK_SR.part_grip_05b_ted_homing
32	JAK_SR.part_grip_05c_ted_jav
33	JAK_SR.part_mag_01
34	JAK_SR.part_mag_02
35	JAK_SR.part_mag_03_tor
36	JAK_SR.part_mag_04_cov
37	JAK_SR.part_mag_05_borg
38	JAK_SR.part_mag_ted_thrown_01
39	JAK_SR.part_mag_ted_thrown_02
40	JAK_SR.part_mag_ted_thrown_03_tor
41	JAK_SR.part_mag_ted_thrown_04_cov
42	JAK_SR.part_mag_ted_thrown_05_bor
43	JAK_SR.part_mag_torgue_normal
44	JAK_SR.part_mag_torgue_sticky
45	JAK_SR.part_scope_01_lens_01
46	JAK_SR.part_scope_01_lens_02
47	JAK_SR.part_scope_02_lens_01
48	JAK_SR.part_scope_02_lens_02
49	JAK_SR.part_scope_acc_S01_L01_a
50	JAK_SR.part_scope_acc_S01_L01_b
51	JAK_SR.part_scope_acc_S01_L02_a
52	JAK_SR.part_scope_acc_S01_L02_b
53	JAK_SR.part_scope_acc_S02_L01_a
54	JAK_SR.part_scope_acc_S02_L01_b
55	JAK_SR.part_scope_acc_S02_L02_a
56	JAK_SR.part_scope_acc_S02_L02_b
57	JAK_SR.part_scope_ironsight
58	JAK_SR.part_secondary_ammo_ar
59	JAK_SR.part_secondary_ammo_ps
60	JAK_SR.part_secondary_ammo_sg
61	JAK_SR.part_secondary_ammo_smg
62	JAK_SR.part_shield_ammo
63	JAK_SR.part_shield_ampv
64	JAK_SR.part_shield_default
65	JAK_SR.part_shield_ricochet
66	JAK_SR.part_underbarrel_01_shotgun
67	JAK_SR.part_underbarrel_02_rocket
68	JAK_SR.part_underbarrel_03_crank
69	JAK_SR.part_underbarrel_04_atlas
70	JAK_SR.part_underbarrel_04_atlas_ball
71	JAK_SR.part_underbarrel_05_ammoswitcher
