index	name
0	MAL_HW.part_barrel_01
1	MAL_HW.part_barrel_01_a
2	MAL_HW.part_barrel_01_b
3	MAL_HW.part_barrel_01_c
4	MAL_HW.part_barrel_01_d
5	MAL_HW.part_barrel_02
6	MAL_HW.part_barrel_02_BottledLightning
7	MAL_HW.part_barrel_02_GammaVoid
8	MAL_HW.part_barrel_02_a
9	MAL_HW.part_barrel_02_aXD
10	MAL_HW.part_barrel_02_b
11	MAL_HW.part_barrel_02_c
12	MAL_HW.part_barrel_02_d
13	MAL_HW.part_barrel_02_dXa
14	MAL_HW.part_body
15	MAL_HW.part_body_a
16	MAL_HW.part_body_b
17	MAL_HW.part_body_c
18	MAL_HW.part_body_d
