index	name
0	MAL_SG.part_barrel_01
1	MAL_SG.part_barrel_01_Kaleidosplode
2	MAL_SG.part_barrel_01_Kickballer
3	MAL_SG.part_barrel_01_a
4	MAL_SG.part_barrel_01_b
5	MAL_SG.part_barrel_01_c
6	MAL_SG.part_barrel_01_d
7	MAL_SG.part_barrel_02
8	MAL_SG.part_barrel_02_a
9	MAL_SG.part_barrel_02_b
10	MAL_SG.part_barrel_02_c
11	MAL_SG.part_barrel_02_d
12	MAL_SG.part_barrel_02_mantraB
13	MAL_SG.part_barrel_02_sweet_embrace
14	MAL_SG.part_barrel_licensed_hyp
15	MAL_SG.part_barrel_licensed_jak
16	MAL_SG.part_barrel_licensed_ted
17	MAL_SG.part_barrel_licensed_ted_combo
18	MAL_SG.part_barrel_licensed_ted_mirvR
19	MAL_SG.part_barrel_licensed_ted_shooting
20	MAL_SG.part_body
21	MAL_SG.part_body_a
22	MAL_SG.part_body_b
23	MAL_SG.part_body_c
24	MAL_SG.part_body_d
25	MAL_SG.part_foregrip_01
26	MAL_SG.part_foregrip_02
27	MAL_SG.part_foregrip_03
28	MAL_SG.part_foregrip_04
29	MAL_SG.part_grip_01
30	MAL_SG.part_grip_02
31	MAL_SG.part_grip_03
32	MAL_SG.part_grip_04_hyp
33	MAL_SG.part_grip_05a_ted_legs
34	MAL_SG.part_grip_05b_ted_homing
35	MAL_SG.part_grip_05c_ted_jav
36	MAL_SG.part_mag_01
37	MAL_SG.part_mag_02
38	MAL_SG.part_mag_03_tor
39	MAL_SG.part_mag_04_cov
40	MAL_SG.part_mag_05_borg
41	MAL_SG.part_mag_ted_thrown_01
42	MAL_SG.part_mag_ted_thrown_02
43	MAL_SG.part_mag_ted_thrown_03_tor
44	MAL_SG.part_mag_ted_thrown_04_cov
45	MAL_SG.part_mag_ted_thrown_05_bor
46	MAL_SG.part_mag_torgue_normal
47	MAL_SG.part_mag_torgue_sticky
48	MAL_SG.part_scope_01_lens_01
49	MAL_SG.part_scope_01_lens_02
50	MAL_SG.part_scope_02_lens_01
51	MAL_SG.part_scope_02_lens_02
52	MAL_SG.part_scope_acc_S01_L01_a
53	MAL_SG.part_scope_acc_S01_L01_b
54	MAL_SG.part_scope_acc_S01_L02_a
55	MAL_SG.part_scope_acc_S01_L02_b
56	MAL_SG.part_scope_acc_S02_L01_a
57	MAL_SG.part_scope_acc_S02_L01_b
58	MAL_SG.part_scope_acc_S02_L02_a
59	MAL_SG.part_scope_acc_S02_L02_b
60	MAL_SG.part_scope_ironsight
61	MAL_SG.part_secondary_ammo_ar
62	MAL_SG.part_secondary_ammo_ps
63	MAL_SG.part_secondary_ammo_smg2
64	MAL_SG.part_secondary_ammo_sr
65	MAL_SG.part_shield_ammo
66	MAL_SG.part_shield_amp
67	MAL_SG.part_shield_default
68	MAL_SG.part_shield_ricochet
69	MAL_SG.part_underbarrel_01_blowback
70	MAL_SG.part_underbarrel_02_energydisc
71	MAL_SG.part_underbarrel_03_beam_tosser
72	MAL_SG.part_underbarrel_04_atlas
73	MAL_SG.part_underbarrel_04_atlas_ball
74	MAL_SG.part_underbarrel_05_ammoswitcher
