index	name
0	MAL_SM.part_barrel_01
1	MAL_SM.part_barrel_01_OhmIGot
2	MAL_SM.part_barrel_01_a
3	MAL_SM.part_barrel_01_b
4	MAL_SM.part_barrel_01_c
5	MAL_SM.part_barrel_01_d
6	MAL_SM.part_barrel_02
7	MAL_SM.part_barrel_02_FireworkZ
8	MAL_SM.part_barrel_02_PlasmaCoil
9	MAL_SM.part_barrel_02_a
10	MAL_SM.part_barrel_02_b
11	MAL_SM.part_barrel_02_c
12	MAL_SM.part_barrel_02_d
13	MAL_SM.part_barrel_02_d_PlasmaCoil
14	MAL_SM.part_barrel_licensed_hyp
15	MAL_SM.part_barrel_licensed_jak
16	MAL_SM.part_barrel_licensed_ted
17	MAL_SM.part_barrel_licensed_ted_combo
18	MAL_SM.part_barrel_licensed_ted_mirv
19	MAL_SM.part_barrel_licensed_ted_shooting
20	MAL_SM.part_body
21	MAL_SM.part_body_a
22	MAL_SM.part_body_b
23	MAL_SM.part_body_c
24	MAL_SM.part_body_d
25	MAL_SM.part_foregrip_01
26	MAL_SM.part_foregrip_02
27	MAL_SM.part_foregrip_03
28	MAL_SM.part_grip_01
29	MAL_SM.part_grip_02
30	MAL_SM.part_grip_03
31	MAL_SM.part_grip_04_hyp
32	MAL_SM.part_grip_05a_ted_legs
33	MAL_SM.part_grip_05b_ted_homing
34	MAL_SM.part_grip_05c_ted_jav
35	MAL_SM.part_mag_01
36	MAL_SM.part_mag_02
37	MAL_SM.part_mag_03_tor
38	MAL_SM.part_mag_04_cov
39	MAL_SM.part_mag_05_borg
40	MAL_SM.part_mag_ted_thrown_01
41	MAL_SM.part_mag_ted_thrown_02
42	MAL_SM.part_mag_ted_thrown_03_tor
43	MAL_SM.part_mag_ted_thrown_04_cov
44	MAL_SM.part_mag_ted_thrown_05_bor
45	MAL_SM.part_mag_torgue_normal
46	MAL_SM.part_mag_torgue_sticky
47	MAL_SM.part_scope_01_lens_01R
48	MAL_SM.part_scope_01_lens_02
49	MAL_SM.part_scope_02_lens_01
50	MAL_SM.part_scope_02_lens_02
51	MAL_SM.part_scope_acc_S01_L01_a
52	MAL_SM.part_scope_acc_S01_L01_b
53	MAL_SM.part_scope_acc_S01_L02_a
54	MAL_SM.part_scope_acc_S01_L02_b
55	MAL_SM.part_scope_acc_S02_L01_a
56	MAL_SM.part_scope_acc_S02_L01_b
57	MAL_SM.part_scope_acc_S02_L02_a
58	MAL_SM.part_scope_acc_S02_L02_b
59	MAL_SM.part_scope_ironsight
60	MAL_SM.part_secondary_ammo_ar
61	MAL_SM.part_secondary_ammo_ps
62	MAL_SM.part_secondary_ammo_sg
63	MAL_SM.part_secondary_ammo_sr
64	MAL_SM.part_shield_ammo
65	MAL_SM.part_shield_amp
66	MAL_SM.part_shield_default
67	MAL_SM.part_shield_ricochet
68	MAL_SM.part_underbarrel_01_laserwire
69	MAL_SM.part_underbarrel_02_overcharge
70	MAL_SM.part_underbarrel_03_railgun
71	MAL_SM.part_underbarrel_04_atlas_ball
72	MAL_SM.part_underbarrel_04_atlasp
73	MAL_SM.part_underbarrel_05_ammoswitcher
