index	name
0	MAL_SR.part_barrel_01
1	MAL_SR.part_barrel_01_a
2	MAL_SR.part_barrel_01_asher
3	MAL_SR.part_barrel_01_b
4	MAL_SR.part_barrel_01_c
5	MAL_SR.part_barrel_01_complex_root
6	MAL_SR.part_barrel_01_d
7	MAL_SR.part_barrel_02
8	MAL_SR.part_barrel_02_a
9	MAL_SR.part_barrel_02_b
10	MAL_SR.part_barrel_02_c
11	MAL_SR.part_barrel_02_d
12	MAL_SR.part_barrel_02_katagawa
13	MAL_SR.part_barrel_licensed_hyp
14	MAL_SR.part_barrel_licensed_jak
15	MAL_SR.part_barrel_licensed_ted
16	MAL_SR.part_barrel_licensed_ted_combo
17	MAL_SR.part_barrel_licensed_ted_mirv
18	MAL_SR.part_barrel_licensed_ted_shooting
19	MAL_SR.part_body
20	MAL_SR.part_body_ah
21	MAL_SR.part_body_bP
22	MAL_SR.part_body_c
23	MAL_SR.part_body_d
24	MAL_SR.part_foregrip_01
25	MAL_SR.part_foregrip_02
26	MAL_SR.part_foregrip_03
27	MAL_SR.part_foregrip_04
28	MAL_SR.part_grip_01
29	MAL_SR.part_grip_02
30	MAL_SR.part_grip_03
31	MAL_SR.part_grip_04_hyp
32	MAL_SR.part_grip_05a_ted_legs
33	MAL_SR.part_grip_05b_ted_homing
34	MAL_SR.part_grip_05c_ted_jav
35	MAL_SR.part_mag_01
36	MAL_SR.part_mag_02L
37	MAL_SR.part_mag_03_tor
38	MAL_SR.part_mag_04_cov
39	MAL_SR.part_mag_05_borg
40	MAL_SR.part_mag_05_borg_barrel_01
41	MAL_SR.part_mag_05_borg_barrel_02
42	MAL_SR.part_mag_ted_thrown_01
43	MAL_SR.part_mag_ted_thrown_02
44	MAL_SR.part_mag_ted_thrown_03_tor
45	MAL_SR.part_mag_ted_thrown_04_cov
46	MAL_SR.part_mag_ted_thrown_05_bor
47	MAL_SR.part_mag_torgue_normal
48	MAL_SR.part_mag_torgue_sticky
49	MAL_SR.part_scope_01_lens_01
50	MAL_SR.part_scope_01_lens_02
51	MAL_SR.part_scope_02_lens_01
52	MAL_SR.part_scope_02_lens_02
53	MAL_SR.part_scope_acc_S01_L01_a
54	MAL_SR.part_scope_acc_S01_L01_b
55	MAL_SR.part_scope_acc_S01_L02_a
56	MAL_SR.part_scope_acc_S01_L02_b
57	MAL_SR.part_scope_acc_S02_L01_a
58	MAL_SR.part_scope_acc_S02_L01_b
59	MAL_SR.part_scope_acc_S02_L02_a
60	MAL_SR.part_scope_acc_S02_L02_b
61	MAL_SR.part_scope_ironsight
62	MAL_SR.part_secondary_ammo_ar
63	MAL_SR.part_secondary_ammo_ps
64	MAL_SR.part_secondary_ammo_sg
65	MAL_SR.part_secondary_ammo_smg
66	MAL_SR.part_shield_ammo
67	MAL_SR.part_shield_amp
68	MAL_SR.part_shield_default
69	MAL_SR.part_shield_ricochet
70	MAL_SR.part_underbarrel_01_singularity
71	MAL_SR.part_underbarrel_02_multitaser
72	MAL_SR.part_underbarrel_03_rocketpod
73	MAL_SR.part_underbarrel_04_atlasV
74	MAL_SR.part_underbarrel_04_atlas_ball
75	MAL_SR.part_underbarrel_05_ammoswitcher
