index	name
0	ORD_AR.part_barrel_01
1	ORD_AR.part_barrel_01_a
2	ORD_AR.part_barrel_01_b
3	ORD_AR.part_barrel_01_c
4	ORD_AR.part_barrel_01_d
5	ORD_AR.part_barrel_02
6	ORD_AR.part_barrel_02_GMR
7	ORD_AR.part_barrel_02_Goalkeeper
8	ORD_AR.part_barrel_02_a
9	ORD_AR.part_barrel_02_b
10	ORD_AR.part_barrel_02_c
11	ORD_AR.part_barrel_02_d
12	ORD_AR.part_barrel_licensed_hyp
13	ORD_AR.part_barrel_licensed_jak
14	ORD_AR.part_barrel_licensed_ted
15	ORD_AR.part_barrel_licensed_ted_combo
16	ORD_AR.part_barrel_licensed_ted_mirv
17	ORD_AR.part_barrel_licensed_ted_shooting
18	ORD_AR.part_body
19	ORD_AR.part_body_a
20	ORD_AR.part_body_b
21	ORD_AR.part_body_c
22	ORD_AR.part_body_d
23	ORD_AR.part_foregrip_01
24	ORD_AR.part_foregrip_02
25	ORD_AR.part_foregrip_03
26	ORD_AR.part_grip_01
27	ORD_AR.part_grip_02
28	ORD_AR.part_grip_03
29	ORD_AR.part_grip_04_hyp
30	ORD_AR.part_grip_05a_ted_legs
31	ORD_AR.part_grip_05b_ted_homing
32	ORD_AR.part_grip_05c_ted_jav
33	ORD_AR.part_mag_01
34	ORD_AR.part_mag_02
35	ORD_AR.part_mag_03_tor
36	ORD_AR.part_mag_04_cov
37	ORD_AR.part_mag_05_borg
38	ORD_AR.part_mag_ted_thrown_01
39	ORD_AR.part_mag_ted_thrown_02
40	ORD_AR.part_mag_ted_thrown_03_tor
41	ORD_AR.part_mag_ted_thrown_04_cov
42	ORD_AR.part_mag_ted_thrown_05_bor
43	ORD_AR.part_mag_torgue_normal
44	ORD_AR.part_mag_torgue_sticky
45	ORD_AR.part_scope_01_lens_01
46	ORD_AR.part_scope_01_lens_02
47	ORD_AR.part_scope_02_lens_01
48	ORD_AR.part_scope_02_lens_02
49	ORD_AR.part_scope_02_lens_02_GMR
50	ORD_AR.part_scope_acc_S01_L01_a
51	ORD_AR.part_scope_acc_S01_L01_b
52	ORD_AR.part_scope_acc_S01_L02_a
53	ORD_AR.part_scope_acc_S01_L02_b
54	ORD_AR.part_scope_acc_S02_L01_a
55	ORD_AR.part_scope_acc_S02_L01_b
56	ORD_AR.part_scope_acc_S02_L02_a
57	ORD_AR.part_scope_acc_S02_L02_b
58	ORD_AR.part_scope_ironsight
59	ORD_AR.part_secondary_ammo_ps
60	ORD_AR.part_secondary_ammo_sg
61	ORD_AR.part_secondary_ammo_sm
62	ORD_AR.part_secondary_ammo_sr
63	ORD_AR.part_shield_ammo
64	ORD_AR.part_shield_ampH
65	ORD_AR.part_shield_default
66	ORD_AR.part_shield_ricochet
67	ORD_AR.part_underbarrel_01_seeker
68	ORD_AR.part_underbarrel_02_deathsphere
69	ORD_AR.part_underbarrel_03_killdrone
70	ORD_AR.part_underbarrel_04_atlasF
71	ORD_AR.part_underbarrel_04_atlas_ball
72	ORD_AR.part_underbarrel_05_ammoswitcher
