index	name
0	ORD_PS.part_barrel_01
1	ORD_PS.part_barrel_01_a
2	ORD_PS.part_barrel_01_b
3	ORD_PS.part_barrel_01_c
4	ORD_PS.part_barrel_01_d
5	ORD_PS.part_barrel_02
6	ORD_PS.part_barrel_02_Bully
7	ORD_PS.part_barrel_02_RocketReload8
8	ORD_PS.part_barrel_02_a
9	ORD_PS.part_barrel_02_b
10	ORD_PS.part_barrel_02_c
11	ORD_PS.part_barrel_02_d
12	ORD_PS.part_barrel_NoisyCricket
13	ORD_PS.part_barrel_licensed_hyp
14	ORD_PS.part_barrel_licensed_jak
15	ORD_PS.part_barrel_licensed_ted
16	ORD_PS.part_barrel_licensed_ted_combo
17	ORD_PS.part_barrel_licensed_ted_mirv
18	ORD_PS.part_barrel_licensed_ted_shooting
19	ORD_PS.part_body
20	ORD_PS.part_body_a
21	ORD_PS.part_body_bt
22	ORD_PS.part_body_c
23	ORD_PS.part_body_d
24	ORD_PS.part_foregrip_01
25	ORD_PS.part_foregrip_02
26	ORD_PS.part_foregrip_03
27	ORD_PS.part_grip_01
28	ORD_PS.part_grip_02
29	ORD_PS.part_grip_03
30	ORD_PS.part_grip_04_hyp
31	ORD_PS.part_grip_05a_ted_legs
32	ORD_PS.part_grip_05b_ted_homing
33	ORD_PS.part_grip_05c_ted_jav
34	ORD_PS.part_mag_01
35	ORD_PS.part_mag_02
36	ORD_PS.part_mag_03_rocketreload
37	ORD_PS.part_mag_03_tor
38	ORD_PS.part_mag_04_cov
39	ORD_PS.part_mag_05_borg
40	ORD_PS.part_mag_NoisyCricket
41	ORD_PS.part_mag_ted_thrown_01
42	ORD_PS.part_mag_ted_thrown_02
43	ORD_PS.part_mag_ted_thrown_03_tor
44	ORD_PS.part_mag_ted_thrown_04_cov
45	ORD_PS.part_mag_ted_thrown_05_bor
46	ORD_PS.part_mag_torgue_normal
47	ORD_PS.part_mag_torgue_sticky
48	ORD_PS.part_scope_01_lens_01
49	ORD_PS.part_scope_01_lens_024
50	ORD_PS.part_scope_02_lens_01
51	ORD_PS.part_scope_02_lens_02
52	ORD_PS.part_scope_acc_S01_L01_a
53	ORD_PS.part_scope_acc_S01_L01_b
54	ORD_PS.part_scope_acc_S01_L02_a
55	ORD_PS.part_scope_acc_S01_L02_b
56	ORD_PS.part_scope_acc_S02_L01_a
57	ORD_PS.part_scope_acc_S02_L01_b
58	ORD_PS.part_scope_acc_S02_L02_a
59	ORD_PS.part_scope_acc_S02_L02_b
60	ORD_PS.part_scope_ironsight
61	ORD_PS.part_secondary_ammo_ar
62	ORD_PS.part_secondary_ammo_sg
63	ORD_PS.part_secondary_ammo_sm
64	ORD_PS.part_secondary_ammo_sr
65	ORD_PS.part_shield_ammo
66	ORD_PS.part_shield_amp
67	ORD_PS.part_shield_default
68	ORD_PS.part_shield_ricochet
69	ORD_PS.part_underbarrel_01_energyburst
70	ORD_PS.part_underbarrel_02_gravitywell
71	ORD_PS.part_underbarrel_03_rockets
72	ORD_PS.part_underbarrel_04_atlas
73	ORD_PS.part_underbarrel_04_atlas_ball
74	ORD_PS.part_underbarrel_05_ammoswitcher
