index	name
0	ORD_SR.part_barrel_01
1	ORD_SR.part_barrel_01_Fisheye
2	ORD_SR.part_barrel_01_Seamstress
3	ORD_SR.part_barrel_01_a
4	ORD_SR.part_barrel_01_b
5	ORD_SR.part_barrel_01_c
6	ORD_SR.part_barrel_01_d
7	ORD_SR.part_barrel_02
8	ORD_SR.part_barrel_02_a
9	ORD_SR.part_barrel_02_b
10	ORD_SR.part_barrel_02_c
11	ORD_SR.part_barrel_02_d
12	ORD_SR.part_barrel_02_symmetry
13	ORD_SR.part_barrel_licensed_hyp
14	ORD_SR.part_barrel_licensed_jak
15	ORD_SR.part_barrel_licensed_ted
16	ORD_SR.part_barrel_licensed_ted_combo
17	ORD_SR.part_barrel_licensed_ted_mirv
18	ORD_SR.part_barrel_licensed_ted_shootingR
19	ORD_SR.part_body
20	ORD_SR.part_body_a
21	ORD_SR.part_body_b
22	ORD_SR.part_body_cl
23	ORD_SR.part_body_d
24	ORD_SR.part_foregrip_01
25	ORD_SR.part_foregrip_02
26	ORD_SR.part_foregrip_03
27	ORD_SR.part_grip_01
28	ORD_SR.part_grip_02
29	ORD_SR.part_grip_03
30	ORD_SR.part_grip_04_hyp
31	ORD_SR.part_grip_05a_ted_legs
32	ORD_SR.part_grip_05b_ted_homing
33	ORD_SR.part_grip_05c_ted_jav
34	ORD_SR.part_mag_01
35	ORD_SR.part_mag_01_Fisheye
36	ORD_SR.part_mag_02
37	ORD_SR.part_mag_03_tor
38	ORD_SR.part_mag_04_cov
39	ORD_SR.part_mag_05_borg
40	ORD_SR.part_mag_ted_thrown_01
41	ORD_SR.part_mag_ted_thrown_02
42	ORD_SR.part_mag_ted_thrown_03_tor
43	ORD_SR.part_mag_ted_thrown_04_cov
44	ORD_SR.part_mag_ted_thrown_05_bor
45	ORD_SR.part_mag_torgue_normal
46	ORD_SR.part_mag_torgue_sticky
47	ORD_SR.part_scope_01_lens_01
48	ORD_SR.part_scope_01_lens_02Z
49	ORD_SR.part_scope_02_lens_01
50	ORD_SR.part_scope_02_lens_02
51	ORD_SR.part_scope_acc_S01_L01_a
52	ORD_SR.part_scope_acc_S01_L01_b
53	ORD_SR.part_scope_acc_S01_L02_a
54	ORD_SR.part_scope_acc_S01_L02_b
55	ORD_SR.part_scope_acc_S02_L01_a
56	ORD_SR.part_scope_acc_S02_L01_b
57	ORD_SR.part_scope_acc_S02_L02_a
58	ORD_SR.part_scope_acc_S02_L02_b
59	ORD_SR.part_scope_ironsight
60	ORD_SR.part_secondary_ammo_ar
61	ORD_SR.part_secondary_ammo_ps
62	ORD_SR.part_secondary_ammo_sg
63	ORD_SR.part_secondary_ammo_sm
64	ORD_SR.part_shield_ammo
65	ORD_SR.part_shield_amp
66	ORD_SR.part_shield_default
67	ORD_SR.part_shield_ricochet
68	ORD_SR.part_underbarrel_01_spear
69	ORD_SR.part_underbarrel_02_tether_snare
70	ORD_SR.part_underbarrel_03_railgunT
71	ORD_SR.part_underbarrel_03_seamstress
72	ORD_SR.part_underbarrel_04_atlas
73	ORD_SR.part_underbarrel_04_atlas_ball
74	ORD_SR.part_underbarrel_05_ammoswitcher
