index	name
0	TED_AR.part_barrel_01
1	TED_AR.part_barrel_01_DividedFocus
2	TED_AR.part_barrel_01_a
3	TED_AR.part_barrel_01_b
4	TED_AR.part_barrel_01_c
5	TED_AR.part_barrel_01_d
6	TED_AR.part_barrel_01_murder
7	TED_AR.part_barrel_02
8	TED_AR.part_barrel_02_Chuck
9	TED_AR.part_barrel_02_a
10	TED_AR.part_barrel_02_b
11	TED_AR.part_barrel_02_c
12	TED_AR.part_barrel_02_d
13	TED_AR.part_barrel_licensed_hyp
14	TED_AR.part_barrel_licensed_jak
15	TED_AR.part_barrel_licensed_multi
16	TED_AR.part_barrel_licensed_ted_combo
17	TED_AR.part_barrel_licensed_ted_mirv
18	TED_AR.part_barrel_licensed_ted_replicator
19	TED_AR.part_barrel_licensed_ted_replicator_multi
20	TED_AR.part_barrel_licensed_ted_shooting
21	TED_AR.part_body
22	TED_AR.part_body_a
23	TED_AR.part_body_b
24	TED_AR.part_body_c
25	TED_AR.part_body_d
26	TED_AR.part_foregrip_01
27	TED_AR.part_foregrip_02
28	TED_AR.part_foregrip_03
29	TED_AR.part_grip_01
30	TED_AR.part_grip_02
31	TED_AR.part_grip_03
32	TED_AR.part_grip_04_hyp
33	TED_AR.part_grip_05a_ted_legs
34	TED_AR.part_grip_05a_ted_legs_mirv
35	TED_AR.part_grip_05b_ted_jav
36	TED_AR.part_grip_05c_ted_homing
37	TED_AR.part_mag_01
38	TED_AR.part_mag_01_Chuck
39	TED_AR.part_mag_022
40	TED_AR.part_mag_03_tor
41	TED_AR.part_mag_04_cov
42	TED_AR.part_mag_05_borg
43	TED_AR.part_mag_torgue_normal
44	TED_AR.part_mag_torgue_normal_murder4
45	TED_AR.part_mag_torgue_sticky
46	TED_AR.part_mag_torgue_sticky_murder
47	TED_AR.part_multi_ted_combo
48	TED_AR.part_multi_ted_mirv
49	TED_AR.part_multi_ted_replicator
50	TED_AR.part_multi_ted_shooting
51	TED_AR.part_scope_01_lens_01
52	TED_AR.part_scope_01_lens_02N
53	TED_AR.part_scope_02_lens_01
54	TED_AR.part_scope_02_lens_02
55	TED_AR.part_scope_acc_S01_L01_a
56	TED_AR.part_scope_acc_S01_L01_b
57	TED_AR.part_scope_acc_S01_L02_a
58	TED_AR.part_scope_acc_S01_L02_b
59	TED_AR.part_scope_acc_S02_L01_a
60	TED_AR.part_scope_acc_S02_L01_b
61	TED_AR.part_scope_acc_S02_L02_a
62	TED_AR.part_scope_acc_S02_L02_b
63	TED_AR.part_scope_ironsight
64	TED_AR.part_secondary_ammo_ps
65	TED_AR.part_secondary_ammo_sg
66	TED_AR.part_secondary_ammo_sm
67	TED_AR.part_secondary_ammo_sr
68	TED_AR.part_shield_ammo
69	TED_AR.part_shield_ampX
70	TED_AR.part_shield_defaultL
71	TED_AR.part_shield_ricochet
72	TED_AR.part_underbarrel_01_buffdrone
73	TED_AR.part_underbarrel_02_comboorb
74	TED_AR.part_underbarrel_03_shotgun
75	TED_AR.part_underbarrel_04_atlas
76	TED_AR.part_underbarrel_04_atlas_ball
77	TED_AR.part_underbarrel_05_ammoswitcher
78	TED_AR.part_underbarrel_06_malswitch
