index	name
0	TED_PS.part_barrel_01
1	TED_PS.part_barrel_01_Sideshow
2	TED_PS.part_barrel_01_a
3	TED_PS.part_barrel_01_b
4	TED_PS.part_barrel_01_c
5	TED_PS.part_barrel_01_d
6	TED_PS.part_barrel_02
7	TED_PS.part_barrel_02_ATLienz
8	TED_PS.part_barrel_02_Inscriber
9	TED_PS.part_barrel_02_RubysGrasp
10	TED_PS.part_barrel_02_a
11	TED_PS.part_barrel_02_b
12	TED_PS.part_barrel_02_c
13	TED_PS.part_barrel_02_d
14	TED_PS.part_barrel_licensed_hyp
15	TED_PS.part_barrel_licensed_jak
16	TED_PS.part_barrel_licensed_multi
17	TED_PS.part_barrel_licensed_ted_combo
18	TED_PS.part_barrel_licensed_ted_mirvL
19	TED_PS.part_barrel_licensed_ted_replicator
20	TED_PS.part_barrel_licensed_ted_replicator_multi
21	TED_PS.part_barrel_licensed_ted_shooting
22	TED_PS.part_body_a
23	TED_PS.part_body_b
24	TED_PS.part_body_c
25	TED_PS.part_body_d
26	TED_PS.part_bodyt
27	TED_PS.part_foregrip_01
28	TED_PS.part_foregrip_02
29	TED_PS.part_foregrip_03
30	TED_PS.part_grip_01
31	TED_PS.part_grip_02
32	TED_PS.part_grip_03
33	TED_PS.part_grip_04_hyp
34	TED_PS.part_grip_05a_ted_legs
35	TED_PS.part_grip_05a_ted_legs_mirv
36	TED_PS.part_grip_05b_ted_homing
37	TED_PS.part_grip_05b_ted_homing_ATLien
38	TED_PS.part_grip_05c_ted_javB
39	TED_PS.part_grip_05c_ted_jav_ATLien
40	TED_PS.part_mag_01
41	TED_PS.part_mag_02
42	TED_PS.part_mag_03_tor
43	TED_PS.part_mag_04_covP
44	TED_PS.part_mag_05_borg
45	TED_PS.part_mag_torgue_normal
46	TED_PS.part_mag_torgue_normal_Inscriber
47	TED_PS.part_mag_torgue_sticky
48	TED_PS.part_multi_ted_combo
49	TED_PS.part_multi_ted_combo_ATLien
50	TED_PS.part_multi_ted_mirv
51	TED_PS.part_multi_ted_replicator
52	TED_PS.part_multi_ted_shooting
53	TED_PS.part_scope_01_lens_01
54	TED_PS.part_scope_01_lens_02
55	TED_PS.part_scope_02_lens_01
56	TED_PS.part_scope_02_lens_02
57	TED_PS.part_scope_acc_S01_L01_a
58	TED_PS.part_scope_acc_S01_L01_b
59	TED_PS.part_scope_acc_S01_L02_a
60	TED_PS.part_scope_acc_S01_L02_b
61	TED_PS.part_scope_acc_S02_L01_a
62	TED_PS.part_scope_acc_S02_L01_b
63	TED_PS.part_scope_acc_S02_L02_a
64	TED_PS.part_scope_acc_S02_L02_b
65	TED_PS.part_scope_ironsight
66	TED_PS.part_secondary_ammo_ar
67	TED_PS.part_secondary_ammo_sg
68	TED_PS.part_secondary_ammo_sm
69	TED_PS.part_secondary_ammo_sr
70	TED_PS.part_shield_ammo
71	TED_PS.part_shield_amp
72	TED_PS.part_shield_default
73	TED_PS.part_shield_ricochet
74	TED_PS.part_underbarrel_01_drone
75	TED_PS.part_underbarrel_02_rockets
76	TED_PS.part_underbarrel_03_shotgun
77	TED_PS.part_underbarrel_04_atlas
78	TED_PS.part_underbarrel_04_atlas_ball
79	TED_PS.part_underbarrel_05_ammoswitcher
80	TED_PS.part_underbarrel_06_malswitch
