index	name
0	TED_SG.part_barrel_01
1	TED_SG.part_barrel_01_a
2	TED_SG.part_barrel_01_anarchy
3	TED_SG.part_barrel_01_b
4	TED_SG.part_barrel_01_c
5	TED_SG.part_barrel_01_commBD2
6	TED_SG.part_barrel_01_d
7	TED_SG.part_barrel_02
8	TED_SG.part_barrel_02_a
9	TED_SG.part_barrel_02_b
10	TED_SG.part_barrel_02_c
11	TED_SG.part_barrel_02_d
12	TED_SG.part_barrel_licensed_hyp
13	TED_SG.part_barrel_licensed_jak
14	TED_SG.part_barrel_licensed_multi
15	TED_SG.part_barrel_licensed_ted_combo
16	TED_SG.part_barrel_licensed_ted_mirv
17	TED_SG.part_barrel_licensed_ted_replicator
18	TED_SG.part_barrel_licensed_ted_replicator_multih
19	TED_SG.part_barrel_licensed_ted_shooting
20	TED_SG.part_body
21	TED_SG.part_body_a
22	TED_SG.part_body_b
23	TED_SG.part_body_c
24	TED_SG.part_body_d
25	TED_SG.part_foregrip_01
26	TED_SG.part_foregrip_02
27	TED_SG.part_foregrip_03
28	TED_SG.part_grip_01
29	TED_SG.part_grip_02
30	TED_SG.part_grip_03
31	TED_SG.part_grip_04_hyp
32	TED_SG.part_grip_05a_ted_legs
33	TED_SG.part_grip_05a_ted_legs_mirvL
34	TED_SG.part_grip_05b_ted_homing
35	TED_SG.part_grip_05c_ted_javZ
36	TED_SG.part_mag_01
37	TED_SG.part_mag_02
38	TED_SG.part_mag_03_tor
39	TED_SG.part_mag_04_cov
40	TED_SG.part_mag_05_borg
41	TED_SG.part_mag_torgue_normal
42	TED_SG.part_mag_torgue_sticky
43	TED_SG.part_multi_ted_combo
44	TED_SG.part_multi_ted_mirv
45	TED_SG.part_multi_ted_replicatorF
46	TED_SG.part_multi_ted_shooting
47	TED_SG.part_scope_01_lens_01
48	TED_SG.part_scope_01_lens_02
49	TED_SG.part_scope_02_lens_016
50	TED_SG.part_scope_02_lens_02
51	TED_SG.part_scope_acc_S01_L01_a
52	TED_SG.part_scope_acc_S01_L01_b
53	TED_SG.part_scope_acc_S01_L02_a
54	TED_SG.part_scope_acc_S01_L02_b
55	TED_SG.part_scope_acc_S02_L01_a
56	TED_SG.part_scope_acc_S02_L01_b
57	TED_SG.part_scope_acc_S02_L02_a
58	TED_SG.part_scope_acc_S02_L02_b
59	TED_SG.part_scope_ironsight
60	TED_SG.part_secondary_ammo_ar
61	TED_SG.part_secondary_ammo_ps
62	TED_SG.part_secondary_ammo_sm
63	TED_SG.part_secondary_ammo_sr
64	TED_SG.part_shield_ammo
65	TED_SG.part_shield_amp
66	TED_SG.part_shield_defaultD
67	TED_SG.part_shield_ricochet
68	TED_SG.part_underbarrel_01_HeavyTurret
69	TED_SG.part_underbarrel_01_autoturret
70	TED_SG.part_underbarrel_02_stickymine
71	TED_SG.part_underbarrel_03_deployable_shieldl
72	TED_SG.part_underbarrel_04_atlas
73	TED_SG.part_underbarrel_04_atlas_ball
74	TED_SG.part_underbarrel_05_ammoswitcher
75	TED_SG.part_underbarrel_06_malswitch
