index	name
0	TOR_AR.part_barrel_01
1	TOR_AR.part_barrel_01_a
2	TOR_AR.part_barrel_01_b
3	TOR_AR.part_barrel_01_c
4	TOR_AR.part_barrel_01_d
5	TOR_AR.part_barrel_02
6	TOR_AR.part_barrel_02_Bugbear
7	TOR_AR.part_barrel_02_a
8	TOR_AR.part_barrel_02_b
9	TOR_AR.part_barrel_02_c
10	TOR_AR.part_barrel_02_d
11	TOR_AR.part_barrel_PotatoThrower
12	TOR_AR.part_barrel_coldshoulder
13	TOR_AR.part_barrel_licensed_hyp
14	TOR_AR.part_barrel_licensed_jak
15	TOR_AR.part_barrel_licensed_ted
16	TOR_AR.part_barrel_licensed_ted_combo
17	TOR_AR.part_barrel_licensed_ted_mirv
18	TOR_AR.part_barrel_licensed_ted_shooting
19	TOR_AR.part_body
20	TOR_AR.part_body_a
21	TOR_AR.part_body_bD
22	TOR_AR.part_body_c
23	TOR_AR.part_body_d2
24	TOR_AR.part_foregrip_01
25	TOR_AR.part_foregrip_01_PT
26	TOR_AR.part_foregrip_02
27	TOR_AR.part_foregrip_02_PT
28	TOR_AR.part_foregrip_03
29	TOR_AR.part_foregrip_03_PTN
30	TOR_AR.part_grip_01
31	TOR_AR.part_grip_02
32	TOR_AR.part_grip_03
33	TOR_AR.part_grip_04_hyp
34	TOR_AR.part_grip_05a_ted_legs
35	TOR_AR.part_grip_05b_ted_homing
36	TOR_AR.part_grip_05c_ted_jav
37	TOR_AR.part_mag_01h
38	TOR_AR.part_mag_02X
39	TOR_AR.part_mag_04_cov
40	TOR_AR.part_mag_05_borg
41	TOR_AR.part_mag_ted_thrown_01
42	TOR_AR.part_mag_ted_thrown_02
43	TOR_AR.part_mag_ted_thrown_04_cov
44	TOR_AR.part_mag_ted_thrown_05_bor
45	TOR_AR.part_scope_01_lens_01
46	TOR_AR.part_scope_01_lens_02
47	TOR_AR.part_scope_02_lens_01
48	TOR_AR.part_scope_02_lens_02
49	TOR_AR.part_scope_acc_S01_L01_a
50	TOR_AR.part_scope_acc_S01_L01_b
51	TOR_AR.part_scope_acc_S01_L02_a
52	TOR_AR.part_scope_acc_S01_L02_b
53	TOR_AR.part_scope_acc_S02_L01_a
54	TOR_AR.part_scope_acc_S02_L01_b
55	TOR_AR.part_scope_acc_S02_L02_a
56	TOR_AR.part_scope_acc_S02_L02_b
57	TOR_AR.part_scope_ironsight
58	TOR_AR.part_secondary_ammo_ps
59	TOR_AR.part_secondary_ammo_sg
60	TOR_AR.part_secondary_ammo_smgN
61	TOR_AR.part_secondary_ammo_sr
62	TOR_AR.part_shield_ammo
63	TOR_AR.part_shield_amp
64	TOR_AR.part_shield_default
65	TOR_AR.part_shield_ricochet
66	TOR_AR.part_underbarrel_01_mirvgrenade
67	TOR_AR.part_underbarrel_02_shotgun
68	TOR_AR.part_underbarrel_03_airstrike
69	TOR_AR.part_underbarrel_04_atlas
70	TOR_AR.part_underbarrel_04_atlas_ball
71	TOR_AR.part_underbarrel_05_ammoswitcher
72	TOR_AR.part_underbarrel_06_malswitch
