index	name
0	TOR_HW.part_barrel_01
1	TOR_HW.part_barrel_01_TED_SG_HeavyTurretj
2	TOR_HW.part_barrel_01_a
3	TOR_HW.part_barrel_01_aXd
4	TOR_HW.part_barrel_01_axb
5	TOR_HW.part_barrel_01_axc
6	TOR_HW.part_barrel_01_b
7	TOR_HW.part_barrel_01_bXC
8	TOR_HW.part_barrel_01_bxa
9	TOR_HW.part_barrel_01_bxd
10	TOR_HW.part_barrel_01_c
11	TOR_HW.part_barrel_01_cxa
12	TOR_HW.part_barrel_01_cxb
13	TOR_HW.part_barrel_01_cxd
14	TOR_HW.part_barrel_01_d
15	TOR_HW.part_barrel_01_dXa
16	TOR_HW.part_barrel_01_dXb
17	TOR_HW.part_barrel_01_dXc
18	TOR_HW.part_barrel_02
19	TOR_HW.part_barrel_02_a
20	TOR_HW.part_barrel_02_b
21	TOR_HW.part_barrel_02_c
22	TOR_HW.part_barrel_02_d
23	TOR_HW.part_barrel_Javelin
24	TOR_HW.part_body
25	TOR_HW.part_body_a
26	TOR_HW.part_body_b
27	TOR_HW.part_body_c
28	TOR_HW.part_body_d
29	TOR_HW.part_normal
30	TOR_HW.part_unique_barrel_01_sidewinder
31	TOR_HW.part_unique_barrel_02_ravenfire
