index	name
0	TOR_PS.part_barrel_01
1	TOR_PS.part_barrel_01_Roach
2	TOR_PS.part_barrel_01_a
3	TOR_PS.part_barrel_01_b
4	TOR_PS.part_barrel_01_c
5	TOR_PS.part_barrel_01_d
6	TOR_PS.part_barrel_02
7	TOR_PS.part_barrel_02_Breadth
8	TOR_PS.part_barrel_02_QueensRest
9	TOR_PS.part_barrel_02_a
10	TOR_PS.part_barrel_02_b
11	TOR_PS.part_barrel_02_c
12	TOR_PS.part_barrel_02_d
13	TOR_PS.part_barrel_licensed_hyp
14	TOR_PS.part_barrel_licensed_jak
15	TOR_PS.part_barrel_licensed_ted
16	TOR_PS.part_barrel_licensed_ted_combo
17	TOR_PS.part_barrel_licensed_ted_mirv
18	TOR_PS.part_barrel_licensed_ted_shooting0
19	TOR_PS.part_body
20	TOR_PS.part_body_a0
21	TOR_PS.part_body_b
22	TOR_PS.part_body_c
23	TOR_PS.part_body_d
24	TOR_PS.part_foregrip_01
25	TOR_PS.part_foregrip_02
26	TOR_PS.part_foregrip_03
27	TOR_PS.part_grip_01
28	TOR_PS.part_grip_02
29	TOR_PS.part_grip_03
30	TOR_PS.part_grip_04_hyp
31	TOR_PS.part_grip_05a_ted_legs
32	TOR_PS.part_grip_05b_ted_homing
33	TOR_PS.part_grip_05c_ted_jav
34	TOR_PS.part_mag_01
35	TOR_PS.part_mag_02
36	TOR_PS.part_mag_04_cov
37	TOR_PS.part_mag_05_borg
38	TOR_PS.part_mag_ted_thrown_01
39	TOR_PS.part_mag_ted_thrown_02
40	TOR_PS.part_mag_ted_thrown_04_cov
41	TOR_PS.part_mag_ted_thrown_05_bor
42	TOR_PS.part_scope_01_lens_01
43	TOR_PS.part_scope_01_lens_02
44	TOR_PS.part_scope_02_lens_01v
45	TOR_PS.part_scope_02_lens_02
46	TOR_PS.part_scope_acc_S01_L01_a
47	TOR_PS.part_scope_acc_S01_L01_b
48	TOR_PS.part_scope_acc_S01_L02_a
49	TOR_PS.part_scope_acc_S01_L02_b
50	TOR_PS.part_scope_acc_S02_L01_a
51	TOR_PS.part_scope_acc_S02_L01_b
52	TOR_PS.part_scope_acc_S02_L02_a
53	TOR_PS.part_scope_acc_S02_L02_b
54	TOR_PS.part_scope_ironsight
55	TOR_PS.part_secondary_ammo_ar
56	TOR_PS.part_secondary_ammo_sg
57	TOR_PS.part_secondary_ammo_smg
58	TOR_PS.part_secondary_ammo_sr
59	TOR_PS.part_shield_ammo
60	TOR_PS.part_shield_ampT
61	TOR_PS.part_shield_default
62	TOR_PS.part_shield_ricochet
63	TOR_PS.part_underbarrel_01_rockets
64	TOR_PS.part_underbarrel_02_blowback
65	TOR_PS.part_underbarrel_03_Cleaver
66	TOR_PS.part_underbarrel_04_atlas_ball
67	TOR_PS.part_underbarrel_04_atlasb
68	TOR_PS.part_underbarrel_05_ammoswitcher
69	TOR_PS.part_underbarrel_06_malswitch
