index	name
0	VLA_AR.part_barrel_01
1	VLA_AR.part_barrel_01_DualDamage
2	VLA_AR.part_barrel_01_LucianD
3	VLA_AR.part_barrel_01_WomboCombo
4	VLA_AR.part_barrel_01_a
5	VLA_AR.part_barrel_01_b
6	VLA_AR.part_barrel_01_c
7	VLA_AR.part_barrel_01_d
8	VLA_AR.part_barrel_02
9	VLA_AR.part_barrel_02_a
10	VLA_AR.part_barrel_02_b
11	VLA_AR.part_barrel_02_c
12	VLA_AR.part_barrel_02_d
13	VLA_AR.part_barrel_WF
14	VLA_AR.part_barrel_licensed_hyp
15	VLA_AR.part_barrel_licensed_jak
16	VLA_AR.part_barrel_licensed_ted
17	VLA_AR.part_barrel_licensed_ted_combo
18	VLA_AR.part_barrel_licensed_ted_mirv2
19	VLA_AR.part_barrel_licensed_ted_shooting
20	VLA_AR.part_body
21	VLA_AR.part_body_a
22	VLA_AR.part_body_b
23	VLA_AR.part_body_c
24	VLA_AR.part_body_dH
25	VLA_AR.part_foregrip_01
26	VLA_AR.part_foregrip_02
27	VLA_AR.part_foregrip_03
28	VLA_AR.part_grip_01
29	VLA_AR.part_grip_02
30	VLA_AR.part_grip_03
31	VLA_AR.part_grip_04_hyp
32	VLA_AR.part_grip_05a_ted_legs
33	VLA_AR.part_grip_05b_ted_homing
34	VLA_AR.part_grip_05c_ted_jav
35	VLA_AR.part_mag_01
36	VLA_AR.part_mag_02
37	VLA_AR.part_mag_03_tort
38	VLA_AR.part_mag_04_cov
39	VLA_AR.part_mag_05_borg
40	VLA_AR.part_mag_ted_thrown_01
41	VLA_AR.part_mag_ted_thrown_02
42	VLA_AR.part_mag_ted_thrown_03_tor
43	VLA_AR.part_mag_ted_thrown_04_cov
44	VLA_AR.part_mag_ted_thrown_05_bor
45	VLA_AR.part_mag_torgue_normal
46	VLA_AR.part_mag_torgue_sticky
47	VLA_AR.part_scope_01_lens_01
48	VLA_AR.part_scope_01_lens_02
49	VLA_AR.part_scope_02_lens_01
50	VLA_AR.part_scope_02_lens_02t
51	VLA_AR.part_scope_acc_S01_L01_a
52	VLA_AR.part_scope_acc_S01_L01_b
53	VLA_AR.part_scope_acc_S01_L02_a
54	VLA_AR.part_scope_acc_S01_L02_b
55	VLA_AR.part_scope_acc_S02_L01_a
56	VLA_AR.part_scope_acc_S02_L01_b
57	VLA_AR.part_scope_acc_S02_L02_a
58	VLA_AR.part_scope_acc_S02_L02_b
59	VLA_AR.part_scope_ironsight
60	VLA_AR.part_secondary_ammo_ps
61	VLA_AR.part_secondary_ammo_sg
62	VLA_AR.part_secondary_ammo_sm
63	VLA_AR.part_secondary_ammo_sr
64	VLA_AR.part_shield_ammo
65	VLA_AR.part_shield_amp
66	VLA_AR.part_shield_default2
67	VLA_AR.part_shield_ricochet
68	VLA_AR.part_underbarrel_01_grenadelauncher
69	VLA_AR.part_underbarrel_02_WF_scrapcannon
70	VLA_AR.part_underbarrel_02_shotgun
71	VLA_AR.part_underbarrel_03_bipod
72	VLA_AR.part_underbarrel_04_atlas
73	VLA_AR.part_underbarrel_04_atlas_ball
74	VLA_AR.part_underbarrel_05_ammoswitcher
75	VLA_AR.part_underbarrel_06_malswitch
76	VLA_AR.part_underbarrel_07_DualDamage
77	VLA_AR.part_underbarrel_07_acc_vis
78	VLA_AR.part_underbarrel_07_b
79	VLA_AR.part_underbarrel_07_secondbarrel
80	VLA_AR.part_underbarrel_Overdrive_acc
81	VLA_AR.part_underbarrel_Scrap_acc
82	VLA_AR.part_underbarrel_WF_Overdrive
83	VLA_AR.part_underbarrel_bipod_acc
84	VLA_AR.part_underbarrel_grenade_acc
85	VLA_AR.part_underbarrel_secondbarrel_acc_A
86	VLA_AR.part_underbarrel_secondbarrel_acc_B
87	VLA_AR.part_underbarrel_secondbarrel_acc_C
88	VLA_AR.part_underbarrel_shotgun_acc
