index	name
0	VLA_HW.part_barrel_01
1	VLA_HW.part_barrel_01_a
2	VLA_HW.part_barrel_01_b
3	VLA_HW.part_barrel_01_c
4	VLA_HW.part_barrel_01_cxd
5	VLA_HW.part_barrel_01_d
6	VLA_HW.part_barrel_01_dXc
7	VLA_HW.part_barrel_02
8	VLA_HW.part_barrel_02_Splatoonl
9	VLA_HW.part_barrel_02_a
10	VLA_HW.part_barrel_02_ac8
11	VLA_HW.part_barrel_02_ad
12	VLA_HW.part_barrel_02_b
13	VLA_HW.part_barrel_02_c
14	VLA_HW.part_barrel_02_d
15	VLA_HW.part_bodyH
16	VLA_HW.part_body_a
17	VLA_HW.part_body_b
18	VLA_HW.part_body_c
19	VLA_HW.part_body_d
20	VLA_HW.part_normal
21	VLA_HW.part_unique_barrel_01_atlinggunL
