index	name
0	VLA_SM.part_barrel_01
1	VLA_SM.part_barrel_01_Kaoson
2	VLA_SM.part_barrel_01_Onslaught
3	VLA_SM.part_barrel_01_a
4	VLA_SM.part_barrel_01_b
5	VLA_SM.part_barrel_01_c
6	VLA_SM.part_barrel_01_d
7	VLA_SM.part_barrel_02
8	VLA_SM.part_barrel_02_a
9	VLA_SM.part_barrel_02_b
10	VLA_SM.part_barrel_02_c
11	VLA_SM.part_barrel_02_c_d
12	VLA_SM.part_barrel_02_d
13	VLA_SM.part_barrel_02_d_c
14	VLA_SM.part_barrel_BeeGUn
15	VLA_SM.part_barrel_licensed_hyp
16	VLA_SM.part_barrel_licensed_jak
17	VLA_SM.part_barrel_licensed_ted
18	VLA_SM.part_barrel_licensed_ted_combo
19	VLA_SM.part_barrel_licensed_ted_mirv
20	VLA_SM.part_barrel_licensed_ted_shooting
21	VLA_SM.part_body
22	VLA_SM.part_body_a
23	VLA_SM.part_body_bl
24	VLA_SM.part_body_c
25	VLA_SM.part_body_d
26	VLA_SM.part_body_flap
27	VLA_SM.part_foregrip_01
28	VLA_SM.part_foregrip_02
29	VLA_SM.part_foregrip_03
30	VLA_SM.part_grip_01
31	VLA_SM.part_grip_02
32	VLA_SM.part_grip_03
33	VLA_SM.part_grip_04_hyp
34	VLA_SM.part_grip_05a_ted_legs
35	VLA_SM.part_grip_05b_ted_homing
36	VLA_SM.part_grip_05c_ted_jav
37	VLA_SM.part_mag_018
38	VLA_SM.part_mag_02
39	VLA_SM.part_mag_03_tor
40	VLA_SM.part_mag_04_cov0
41	VLA_SM.part_mag_05_borg
42	VLA_SM.part_mag_ted_thrown_01
43	VLA_SM.part_mag_ted_thrown_02
44	VLA_SM.part_mag_ted_thrown_03_tor
45	VLA_SM.part_mag_ted_thrown_04_cov
46	VLA_SM.part_mag_ted_thrown_05_bor
47	VLA_SM.part_mag_torgue_normal
48	VLA_SM.part_mag_torgue_normal_BeeGun
49	VLA_SM.part_mag_torgue_sticky
50	VLA_SM.part_mag_torgue_sticky_BeeGun
51	VLA_SM.part_scope_01_lens_01
52	VLA_SM.part_scope_01_lens_02L
53	VLA_SM.part_scope_02_lens_01
54	VLA_SM.part_scope_02_lens_02
55	VLA_SM.part_scope_acc_S01_L01_a
56	VLA_SM.part_scope_acc_S01_L01_b
57	VLA_SM.part_scope_acc_S01_L02_a
58	VLA_SM.part_scope_acc_S01_L02_b
59	VLA_SM.part_scope_acc_S02_L01_a
60	VLA_SM.part_scope_acc_S02_L01_b
61	VLA_SM.part_scope_acc_S02_L02_a
62	VLA_SM.part_scope_acc_S02_L02_b
63	VLA_SM.part_scope_ironsight
64	VLA_SM.part_secondary_ammo_ar
65	VLA_SM.part_secondary_ammo_ps
66	VLA_SM.part_secondary_ammo_sg
67	VLA_SM.part_secondary_ammo_sr
68	VLA_SM.part_shield_ammo
69	VLA_SM.part_shield_amp
70	VLA_SM.part_shield_defaultH
71	VLA_SM.part_shield_ricochet
72	VLA_SM.part_underbarrel_01_microrockets
73	VLA_SM.part_underbarrel_02_taser
74	VLA_SM.part_underbarrel_03_flamethrower
75	VLA_SM.part_underbarrel_04_atlas
76	VLA_SM.part_underbarrel_04_atlas_ball
77	VLA_SM.part_underbarrel_05_ammoswitcher
78	VLA_SM.part_underbarrel_06_malswitchF
79	VLA_SM.part_underbarrel_07_secondbarrel
80	VLA_SM.part_underbarrel_flamethrower_acc
81	VLA_SM.part_underbarrel_microrockets_acc
82	VLA_SM.part_underbarrel_secondbarrel_acc
83	VLA_SM.part_underbarrel_taser_acc
