index	name
0	Weapon_Ripperturret_Rocket.part_body
0	Weapon_Turret_Chaingun.part_body
0	turret_gadget.part_01_basic_gun
1	turret_gadget.part_02_chaingunV
2	turret_gadget.part_03_longrifle
3	turret_gadget.part_04_shotgun
4	turret_gadget.part_05_rocketlauncher
5	turret_gadget.part_06_beam
6	turret_gadget.part_anointed_movement_speed
7	turret_gadget.part_body_01_ground
8	turret_gadget.part_body_02_floating
9	turret_gadget.part_body_03_maglock
10	turret_gadget.part_corrosive
11	turret_gadget.part_cryo
12	turret_gadget.part_endgame_gadgetused_damage_turret
13	turret_gadget.part_endgame_none
14	turret_gadget.part_fire
15	turret_gadget.part_normal
16	turret_gadget.part_primary_01_cooldownp
17	turret_gadget.part_primary_02_damage
18	turret_gadget.part_primary_03_fire_rate
19	turret_gadget.part_primary_04_targeting
20	turret_gadget.part_primary_05_elemental_power
21	turret_gadget.part_primary_06_duration
22	turret_gadget.part_primary_07_accuracy
23	turret_gadget.part_primary_08_armor
24	turret_gadget.part_primary_09_deployed_detonation
25	turret_gadget.part_primary_10_welterweight
26	turret_gadget.part_radiation
27	turret_gadget.part_secondary_01_double_turret
28	turret_gadget.part_secondary_02_second_weapon_01_basic_gun
29	turret_gadget.part_secondary_02_second_weapon_02_chaingun
30	turret_gadget.part_secondary_02_second_weapon_03_longbarrel
31	turret_gadget.part_secondary_02_second_weapon_04_shotgunp
32	turret_gadget.part_secondary_02_second_weapon_05_rocket
33	turret_gadget.part_secondary_02_second_weapon_06_beam
34	turret_gadget.part_secondary_03_mortarb
35	turret_gadget.part_secondary_04_railgun
36	turret_gadget.part_secondary_05_pierceh
37	turret_gadget.part_secondary_06_critical_chance
38	turret_gadget.part_secondary_07_thorns
39	turret_gadget.part_secondary_08_two_shot
40	turret_gadget.part_secondary_09_kill_Streak
41	turret_gadget.part_secondary_10_bouncing_grenades
42	turret_gadget.part_secondary_11_cooldownB
43	turret_gadget.part_secondary_12_damage
44	turret_gadget.part_secondary_13_fire_rate
45	turret_gadget.part_secondary_14_targeting
46	turret_gadget.part_secondary_15_elemental_power
47	turret_gadget.part_secondary_16_duration
48	turret_gadget.part_secondary_17_accuracy
49	turret_gadget.part_secondary_19_deployed_detonation
50	turret_gadget.part_shock
51	turret_gadget.part_sonicV
0	turret_weapon_chaingun.part_body
1	turret_weapon_chaingun.part_normal
0	turret_weapon_rocketlauncher.part_body
1	turret_weapon_rocketlauncher.part_normalt
0	turret_weapon_shotgun.part_body
1	turret_weapon_shotgun.part_normal
