mission	display_name
mission_cello_pearl_gear_gen	Ordonite Processor
mission_city_side_overwritingawrong	Overwriting a Wrong
mission_contractdlc1_bounty_creep	Bounty: Kill a boss{Boss_Name_Text}
mission_contractdlc1_patrol_creep	Patrol: Creeps
mission_contractdlc1_search_creep	Trace: {Target_Object}
mission_dlc1_elpisfall_large	DebugOnly: Elpis Fall
mission_dlc1_elpisfall_single	DebugOnly: Elpis Fall
mission_dlc1_lostsoul_childsnatcher	Lost Soul - The Child Snatcher
mission_dlc1_lostsoul_confrontation	Lost Soul - The Confrontation
mission_dlc1_lostsoul_ghosthunted	Lost Soul - Ghost Hunted
mission_dlc1_lostsoul_ghoststory1	Lost Soul - Ghost Story 1
mission_dlc1_lostsoul_ghoststory2	Lost Soul - Ghost Story 2
mission_dlc1_lostsoul_ghoststory3	Lost Soul - Ghost Story 3
mission_dlc1_lostsoul_hauntedhaunting	Lost Soul - Haunted Haunting
mission_dlc1_lostsoul_predator	Lost Soul - Predator Becomes Prey
mission_dlc1_lostsoul_slipped	Lost Soul - Slipped Into The Dead Dimension
mission_dlc1_lostsoul_workinglate	Lost Soul - Working Late
mission_dlc1_riftboss	Nightmare Rift Boss
mission_dlc1_spookystory_buyerremorse	Spooky Story - Buyer's Remorse
mission_dlc1_spookystory_lallorona1	Spooky Story - La Llorona 1
mission_dlc1_spookystory_lallorona2	Spooky Story - La Llorona 2
mission_dlc1_spookystory_lallorona3	Spooky Story - La Llorona 3
mission_dlc1_spookystory_lucine1	Spooky Story - Lucine 1
mission_dlc1_spookystory_lucine2	Spooky Story - Lucine 2
mission_dlc1_spookystory_lucine3	Spooky Story - Lucine 3
mission_dlc1_spookystory_lucine4	Spooky Story - Lucine 4
mission_dlc1_spookystory_lucine5	Spooky Story - Lucine 5
mission_dlc1_spookystory_lucineintro	Spooky Story - Lucine Intro
mission_dlc1_spookystory_prettiersmile	Spooky Story - Prettier Smile
mission_dlc1_spookystory_voodoo	Spooky Story - Voodoo Death
mission_dlc_banjo	The War On Mercenary Day
mission_dlc_cello	The Cursed Mine
mission_dlc_raid1	The Wrath of Bloomreaper
mission_dynamicevents_fight_ordernpc_mulstamp	Reinforcements
mission_event_aircargo	Event_AirCargo
mission_event_dogfight	DebugOnly:DogFight Event
mission_event_elpis_fall	DebugOnly: Elpis Fall
mission_event_elpisfall3	DebugOnly: Elpis Fall
mission_event_helpnpc_searchitem	HelpNPC_SearchItem
mission_main_beach	Recruitment Drive
mission_main_city1	The Falling Wall
mission_main_city1_b	Means of Ascent
mission_main_city2	Plan Z
mission_main_city3	The Timekeeper's Order
mission_main_cityepilogue	Secrets of the Vault
mission_main_cowbell0	An Invitation
mission_main_cowbell1	On Icebound Shores Abandoned
mission_main_cowbell2	Hearing Things
mission_main_cowbell3	It Grows Below
mission_main_cowbell4	What Lies Dreaming
mission_main_cowbell5	Damnation Encroaches
mission_main_elpis	Another Day, Another Universe
mission_main_grasslands1	Down and Outbound
mission_main_grasslands2	A Lot to Process
mission_main_grasslands2b	One Fell Swoop
mission_main_grasslands3	Rush the Gate
mission_main_mountains1	Shadow of the Mountain
mission_main_mountains2	Crystal Brawl
mission_main_mountains2b	Dark Subject
mission_main_mountains3	His Vile Sanctum
mission_main_prisonprologue	Guns Blazing
mission_main_searchforlilith	Rising Action
mission_main_shatteredlands1	Wrath of the Ripper Queen
mission_main_shatteredlands1b	Siege and Destroy
mission_main_shatteredlands2	Unpaid Tab
mission_main_shatteredlands3	Her Flaming Vision
mission_micro_andwelcometothejam	And Welcome to the Jam
mission_micro_backmccrackypt1	Crack This Guy's Back
mission_micro_backmccrackypt2	Crack This Guy's Back - Setting the Mood
mission_micro_backmccrackypt3	Crack This Guy's Back - Advanced Maneuver
mission_micro_blackmarket	The Black Market
mission_micro_catnapping	The Cat's Pajamas
mission_micro_heistrecruits_demo	Scoundrel Roundup: Kilo
mission_micro_heistrecruits_intro	Scoundrel Roundup: Shim
mission_micro_heistrecruits_tech	Scoundrel Roundup: Glitch
mission_micro_hosting	Host in the Shell
mission_micro_huntedpart1	The Neverending Quarry
mission_micro_huntedpart2	A Quarry of Epic Proportions
mission_micro_huntedpart3	The Final Quarrel
mission_micro_icefishing	Ice Fishing
mission_micro_joeandsue	Joe & Sue
mission_micro_operation	Doc of the Bay
mission_micro_powercoreplinko	PowerDrop
mission_micro_rainbowegg	Brew-ha-ha
mission_micro_resistance	Old Tricks
mission_micro_theentertainment	La-La-Last Call
mission_micro_thesupply	Ain't No Sham in It
mission_micro_whackathresher	Whack-A-Thresher
mission_micro_whodidit	Yes, Chef
mission_micro_zanzibart	Forgive Me
mission_migrationevent_dlc1_dahl	MigrationEvent_DLC1_Dahl
mission_migrationevent_dlc1_kraggon	MigrationEvent_DLC1_Dahl
mission_migrationevent_dlc1_scav	MigrationEvent_DLC1_Dahl
mission_npcmoment_speakeasy_nachosconvo	NPC Moment - Nachos Convo
mission_npcmoments_general_enemybullynpc_order01	NPC Moments - NPC to Enemy
mission_npcmoments_general_enemychatter_psycho01	NPC Moments - Enemy to Enemy
mission_npcmoments_general_npcchatter01	NPC Moments - NPC to NPC
mission_npcmoments_gra_fa_claptrapchat	Claptrap Chat
mission_npcmoments_gra_fa_orderinterrogation	Order Interrogation
mission_npcmoments_gra_fa_orderprisonbreak	Order Prison Break
