mission_set	prerequisite	category	chained	region
missionset_circleofslaughter		other	false	
missionset_cowbell_activity_speakeasyportal		dlc	false	
missionset_dlc_banjo		dlc	false	
missionset_dlc_cello		dlc	false	
missionset_dlc_cello_pearl_gear_gen		dlc	false	
missionset_dlc_raid1		dlc	false	
missionset_dlc_storysofar		dlc	false	
missionset_main_beach	missionset_main_prisonprologue	main	false	beach
missionset_main_city1	missionset_main_elpis	main	true	city
missionset_main_city1_b	missionset_main_city1	main	true	city1_b
missionset_main_city2	missionset_main_city1_b	main	true	city
missionset_main_city3	missionset_main_city2	main	true	city
missionset_main_cityepilogue	missionset_main_city3	main	true	cityepilogue
missionset_main_cowbell		main	true	
missionset_main_cowbell_unlock		main	false	
missionset_main_elpis	missionset_main_searchforlilith	main	true	elpis
missionset_main_grasslands1	missionset_main_beach	main	true	grasslands
missionset_main_grasslands2a	missionset_main_grasslands1	main	true	grasslands2
missionset_main_grasslands2b	missionset_main_grasslands2a	main	true	grasslands2
missionset_main_grasslands3	missionset_main_grasslands2b	main	true	grasslands
missionset_main_mountains1	missionset_main_grasslands2a	main	true	mountains
missionset_main_mountains2a	missionset_main_mountains1	main	true	mountains2
missionset_main_mountains2b	missionset_main_mountains2a	main	true	mountains2
missionset_main_mountains3	missionset_main_mountains2b	main	true	mountains
missionset_main_noobisland	missionset_main_prisonprologue	main	false	noobisland
missionset_main_postgame	missionset_main_cityepilogue	postgame	true	
missionset_main_prisonprologue		main	false	prisonprologue
missionset_main_searchforlilith	missionset_main_grasslands3	main	true	searchforlilith
missionset_main_shatteredlands1	missionset_main_grasslands2a	main	true	shatteredlands
missionset_main_shatteredlands2	missionset_main_shatteredlands1	main	true	shatteredlands
missionset_main_shatteredlands3	missionset_main_shatteredlands2	main	true	shatteredlands
missionset_micro_citya	missionset_main_elpis	micro	false	city
missionset_micro_cityb	missionset_main_city1_b	micro	false	city
missionset_micro_cityc	missionset_main_city2	micro	false	city
missionset_micro_cowbell		micro	false	
missionset_micro_grasslandsa	missionset_main_beach	micro	false	grasslands
missionset_micro_grasslandsb	missionset_main_grasslands1	micro	false	grasslands
missionset_micro_grasslandsc	missionset_main_grasslands2a	micro	false	grasslands
missionset_micro_grasslandsd	missionset_main_grasslands2b	micro	false	grasslands
missionset_micro_grasslandse	missionset_main_grasslands3	micro	false	grasslands
missionset_micro_mountainsa	missionset_main_grasslands2a	micro	false	mountains
missionset_micro_mountainsb	missionset_main_mountains2a	micro	false	mountains
missionset_micro_mountainsc	missionset_main_mountains2b	micro	false	mountains
missionset_micro_mountainsd	missionset_main_mountains3	micro	false	mountains
missionset_micro_mountainse	missionset_main_mountains3	micro	false	mountains
missionset_micro_postgame	missionset_main_cityepilogue	micro	false	
missionset_micro_shatteredlandsa	missionset_main_grasslands2a	micro	false	shatteredlands
missionset_micro_shatteredlandsb	missionset_main_shatteredlands1	micro	false	shatteredlands
missionset_micro_shatteredlandsc	missionset_main_shatteredlands2	micro	false	shatteredlands
missionset_micro_shatteredlandsd	missionset_main_shatteredlands3	micro	false	shatteredlands
missionset_pearlgen_gra		other	false	
missionset_pearlgen_mou		other	false	
missionset_pearlgen_sha		other	false	
missionset_replaychallenge		other	false	
missionset_side_citya	missionset_main_elpis	side	false	city
missionset_side_cityb	missionset_main_city1_b	side	false	city
missionset_side_cityc	missionset_main_city2	side	false	city
missionset_side_cowbell		side	false	
missionset_side_elpisa	missionset_main_searchforlilith	side	false	elpis
missionset_side_elpisb	missionset_main_elpis	side	false	elpis
missionset_side_grasslandsa	missionset_main_beach	side	false	grasslands
missionset_side_grasslandsb	missionset_main_grasslands1	side	false	grasslands
missionset_side_grasslandsc	missionset_main_grasslands2a	side	false	grasslands
missionset_side_grasslandsd	missionset_main_grasslands2b	side	false	grasslands
missionset_side_grasslandse	missionset_main_grasslands3	side	false	grasslands
missionset_side_mountainsa	missionset_main_grasslands2a	side	false	mountains
missionset_side_mountainsb	missionset_main_mountains2a	side	false	mountains
missionset_side_mountainsc	missionset_main_mountains2b	side	false	mountains
missionset_side_mountainsd	missionset_main_mountains3	side	false	mountains
missionset_side_mountainse	missionset_main_mountains4	side	false	mountains
missionset_side_noobislanda	missionset_main_prisonprologue	side	false	noobisland
missionset_side_noobislandb	missionset_main_noobisland	side	false	noobisland
missionset_side_postgame	missionset_main_cityepilogue	side	false	
missionset_side_searchforlilith	missionset_main_searchforlilith	side	false	searchforlilith
missionset_side_shatteredlandsa	missionset_main_grasslands2a	side	false	shatteredlands
missionset_side_shatteredlandsb	missionset_main_shatteredlands1	side	false	shatteredlands
missionset_side_shatteredlandsc	missionset_main_shatteredlands2	side	false	shatteredlands
missionset_side_shatteredlandsd	missionset_main_shatteredlands3	side	false	shatteredlands
missionset_vault_grasslands	missionset_main_beach	vault	false	grasslands
missionset_vault_mountains	missionset_main_grasslands2a	vault	false	mountains
missionset_vault_shatteredlands	missionset_main_grasslands2a	vault	false	shatteredlands
missionset_zoneactivity_crawler		zoneactivity	false	
missionset_zoneactivity_dlc1_bunker		zoneactivity	false	
missionset_zoneactivity_dlc1_fuelsiphon		zoneactivity	false	
missionset_zoneactivity_drillsite		zoneactivity	false	
missionset_zoneactivity_mine		zoneactivity	false	
missionset_zoneactivity_orderbunker	missionset_main_grasslands2b	zoneactivity	false	
missionset_zoneactivity_safehouse		zoneactivity	false	
missionset_zoneactivity_silo		zoneactivity	false	
