category	part_name
1	BOR_REPAIR_KIT.part_augment_unique_augmenter
1	BOR_REPAIR_KIT.part_borg
1	BOR_TERMINAL_BARRIER.part_body
1	HYP_Enhancement.part_core_hyp_bulwark
1	HYP_Enhancement.part_core_hyp_shockguard
1	HYP_Enhancement.part_core_hyp_stabilizer
1	HYP_Enhancement.part_core_hyp_stimconverter
1	JAK_Enhancement.part_core_jak_bouncepassx
1	JAK_Enhancement.part_core_jak_leaper
1	JAK_Enhancement.part_core_jak_piercer
1	JAK_Enhancement.part_core_jak_sequencer
1	JAK_TERMINAL_COMBAT.part_body
1	ORD_Enhancement.part_core_ord_ammogenerator
1	ORD_Enhancement.part_core_ord_freecharger
1	ORD_Enhancement.part_core_ord_muzzlebrake
1	ORD_Enhancement.part_core_ord_powershot
1	TOR_TERMINAL_COMBAT.part_body
1	VLA_TERMINAL_BARRIER.part_body
1	Weapon_Brute_FaceLaser.part_body
1	Weapon_Brute_FaceLaser.part_body_badass
1	Weapon_Brute_FaceLaser.part_body_cannon
1	Weapon_Brute_FaceLaser.part_body_missile
1	Weapon_GunShip_MainGun.part_body
1	Weapon_Meathead_Chaingun.part_body
1	Weapon_Meathead_Flamethrower.part_body
1	Weapon_Meathead_Rocket.part_body
1	Weapon_MissionTurret_Chaingun.part_body
1	Weapon_OrderDrone.part_body
1	Weapon_OrderDrone.part_body_badass
1	Weapon_OrderDrone.part_body_cameraz
1	Weapon_OrderDrone.part_body_wideangle
1	Weapon_RipperTurret_Flamethrower.part_bodyb
1	Weapon_Soldier_Sprayer.part_body_lp
1	Weapon_SpliceArm_Launcher.part_body
1	apon_SpliceSpiderJumbo_RocketGun.part_body
1	classmod_gravitar.part_grav_asm_legendaryGravitar
1	classmod_gravitar.part_grav_asm_skill_test
1	dad_shield.part_body_angelR
1	dad_shield.part_body_energy
1	dad_shield.part_unique_SuperSoldier
1	dad_turret_gadget.part_ele_control
1	jak_grenade_gadget.part_02_divider_02_seeker_jak
1	jak_grenade_gadget.part_02_divider_04_repeater_jak
1	jak_grenade_gadget.part_02_divider_jakH
1	jak_grenade_gadget.part_ShoKunaiH
1	jak_grenade_gadget.part_jak
1	jak_grenade_gadget.part_spinning_blade
1	jak_turret_gadget.part_ele_control
1	mal_repair_kit.part_augment_unique_BloodAnalyzer
1	mal_repair_kit.part_mal
1	mal_turret_gadget.part_ele_control
1	ord_repair_kit.part_augment_unique_TripleBypass
1	ord_repair_kit.part_ord
1	ord_turret_gadget.part_ele_controlv
1	ord_turret_gadget.part_unique_beam_anchor
1	ted_repair_kit.part_augment_unique_KillSpring
1	ted_repair_kit.part_ted
1	terminal_gadget_combat.part_hot_off_the_press
1	terminal_gadget_combat.part_me_layhem
1	terminal_gadget_combat.part_nova_bomb_active
1	turret_weapon_basic.part_body
1	turret_weapon_basic.part_normal
1	turret_weapon_beam.part_body
1	turret_weapon_beam.part_body_anchor
1	turret_weapon_beam.part_normal
1	turret_weapon_longrifle.part_body
