index	name
1	part_ra_scavenger_primary
2	part_ra_reinforced_secondary
3	part_ra_reinforced_primary
4	part_ra_positive_reinforcement_secondary
5	part_ra_positive_reinforcement_primary
6	part_ra_nova_segment_secondary
7	part_ra_nova_segment_primary
8	part_ra_missile_swarm_secondary
9	part_ra_missile_swarm_primary
10	part_ra_knockback_secondary
11	part_ra_knockback_primary
12	part_ra_heavy_plating_secondary
13	part_ra_heavy_plating_primary
14	part_ra_spunky_secondary
15	part_ra_spunky_primary
16	part_ra_bladed_secondary
17	part_ra_bladed_primary
18	part_ra_armor_strength_secondary
19	part_ra_armor_strength_primary
20	part_ra_armor_segment_secondary
21	part_ra_armor_segment_primary
22	part_ra_flanking_secondary
23	part_ra_flanking_primary
24	part_ra_boxer_secondary
25	part_ra_boxer_primary
26	comp_01_common
27	comp_02_uncommon
28	comp_03_rare
29	comp_04_epic
30	comp_05_legendary
31	part_ra_scavenger_secondary
