index	name
1	part_barrel_01_streamer
1	part_barrel_02_goremaster
1	part_barrel_01_zipgun
1	part_barrel_01_lucian
1	part_barrel_02_finnty
2	part_barrel_02_gmr
2	part_barrel_02_splatoon
7	part_barrel_01
8	part_barrel_02
17	part_barrel_02_prince
18	part_barrel_goldengod
20	part_barrel_01_stray
21	part_barrel_02_vamoose
24	part_barrel_02_gammavoid
26	part_barrel_02_bottledlightning
30	part_barrel_02_discjockey
34	part_barrel_02_chuck
35	part_barrel_javelin
35	part_barrel_02_jetset
39	part_barrel_01_dividedfocus
41	part_barrel_01_ted_sg_heavyturret
52	part_barrel_01_bod
52	part_barrel_02_queensrest
54	part_barrel_heartgun
54	part_barrel_02_bugbear
54	part_barrel_01_roach
55	part_barrel_coldshoulder
56	part_barrel_02_leadballoon
57	part_barrel_02_lumberjack
57	part_barrel_01_roil
57	part_barrel_misslaser
58	part_barrel_02_sweet_embrace
58	part_barrel_01_linebacker
58	part_barrel_02_rainmaker
58	part_barrel_02_breadth
59	part_barrel_01_ohmigot
62	part_barrel_02_plasmacoil
62	part_barrel_02_mantra
64	part_barrel_01_wombocombo
66	part_barrel_01_kaoson
68	part_barrel_01_onslaught
69	part_barrel_01_loarmaster
70	part_barrel_01_dualdamage
72	part_barrel_quickdraw
72	part_barrel_ballista
72	part_barrel_02_goalkeeper
72	part_barrel_02_symmetry
72	part_barrel_01_stopgap
73	part_barrel_01_bonnieclyde
74	part_barrel_02_boomslang
75	part_barrel_02_rowan
75	part_barrel_02_kingsgambit
75	part_barrel_truck
75	part_barrel_02_bully
75	part_barrel_01_fisheye
76	part_barrel_01_murder
76	part_barrel_02_screenwriter
77	part_barrel_01_phantom_flame
77	part_barrel_01_commbd
77	part_barrel_potatothrower
78	part_barrel_02_rangefinder
78	part_barrel_02_rowdy
78	part_barrel_01_seamstress
79	part_barrel_01_slugger
79	part_barrel_01_asher
81	part_barrel_02_rocketreload
82	part_barrel_01_hellwalker
82	part_barrel_02_firework
84	part_barrel_01_firstimpression
85	part_barrel_02_inscriber
86	part_barrel_rainbowvomit
87	part_barrel_beegun
90	part_barrel_tkswave
94	part_barrel_wf
