index	name
1	stat2_criticalhitchance_melee
2	stat2_ordnance_cooldown
3	stat_ordnance_cooldown
4	statspecial_miniondamage
5	statspecial_lifesteal
6	statspecial_commandskill_cooldown
7	statspecial_phaseclone_healthloss
8	statspecial_attunement_duration
9	stat_criticalhitchance_ordnance
10	stat2_criticalhitchance_ordnance
11	stat_criticalhitchance_skill
12	stat2_criticalhitchance_skill
13	stat2_criticalhitchance_gun
14	stat_criticalhitchance_gun
15	stat2_actionskill_damage
16	stat_actionskill_damage
17	stat2_ordnance_damage
18	stat_ordnance_damage
19	stat_all_damage
20	stat2_all_damage
21	stat2_statuseffect_chance
22	stat2_statuseffect_damage
23	stat_statuseffect_chance
24	stat_statuseffect_damage
25	stat2_kinetic_damage
26	stat2_elemental_damage
27	stat_kinetic_damage
28	stat_elemental_damage
29	stat_skill_duration
30	stat_weapon_damage
31	stat_splash_damage
32	stat_skill_damage
33	stat_skill_cooldown_rate
34	stat_shield_regen_rate
35	stat_reload_speed
36	stat_melee_damage
37	stat_max_health
38	stat_fire_rate
39	stat_damage_reduction
40	stat_crit_damage
41	stat_health_regen
42	stat_speed
43	stat_pistol_damage
44	stat_smg_damage
45	stat_assaultrifle_damage
46	stat_shotgun_damage
47	stat_shield_capacity
48	stat_sniper_damage
49	stat2_skill_duration
50	stat2_weapon_damage
51	stat2_splash_damage
52	stat2_skill_damage
53	stat2_skill_cooldown_rate
54	stat2_shield_regen_rate
55	stat2_reload_speed
56	stat2_melee_damage
57	stat2_max_health
58	stat2_fire_rate
59	stat2_damage_reduction
60	stat2_crit_damage
61	stat2_health_regen
62	stat2_speed
63	stat2_pistol_damage
64	stat2_smg_damage
65	stat2_assaultrifle_damage
66	stat2_shotgun_damage
67	stat2_shield_capacity
68	stat2_sniper_damage
69	comp_01_common
70	comp_02_uncommon
71	comp_03_rare
72	comp_04_epic
73	comp_05_legendary
74	part_firmware_risky_boots
75	part_firmware_god_killer
76	part_firmware_reel_big_fist
77	part_firmware_lifeblood
78	part_firmware_airstrike
79	part_firmware_high_caliber
80	part_firmware_gadget_ahoy
81	part_firmware_baker
82	part_firmware_oscar_mike
83	part_firmware_rubberband_man
84	part_firmware_deadeye
85	part_firmware_action_fist
86	part_firmware_goojfc
87	part_firmware_atlas_ex
88	part_firmware_atlas_infinum
89	part_firmware_trickshot
90	part_firmware_jacked
91	part_firmware_get_throwin
92	part_firmware_heating_up
93	part_firmware_bullets_to_spare
94	part_firmware_daeddy_o
95	statspecial_stasis_damage
96	statspecial_puddle_damage
97	statspecial_forgeskill_damage
98	statspecial_detonation_damage
99	statspecial_cryo_damage
100	statspecial_forgedrone_duration
101	statspecial_incendiary_damage
102	stat_criticalhitchance_melee
105	statspecial_movementspeed
