index	name
16	passive_red_3_2_tier_5
17	passive_red_3_2_tier_4
18	passive_red_3_2_tier_3
19	passive_red_3_2_tier_2
20	passive_red_3_2_tier_1
21	passive_red_1_4_tier_5
22	passive_red_1_4_tier_4
23	passive_red_1_4_tier_3
24	passive_red_1_4_tier_2
25	passive_red_1_4_tier_1
26	passive_blue_3_4_tier_5
27	passive_blue_3_4_tier_4
28	passive_blue_3_4_tier_3
29	passive_blue_3_4_tier_2
30	passive_blue_3_4_tier_1
31	passive_blue_3_1_tier_5
32	passive_blue_3_1_tier_4
33	passive_blue_3_1_tier_3
34	passive_blue_3_1_tier_2
35	passive_blue_3_1_tier_1
36	passive_blue_1_3_tier_5
37	passive_blue_1_3_tier_4
38	passive_blue_1_3_tier_3
39	passive_blue_1_3_tier_2
40	passive_blue_1_3_tier_1
41	passive_green_1_2_tier_5
42	passive_green_1_2_tier_4
43	passive_green_1_2_tier_3
44	passive_green_1_2_tier_2
45	passive_green_1_2_tier_1
46	passive_green_3_3_tier_5
47	passive_green_3_3_tier_4
48	passive_green_3_3_tier_3
49	passive_green_3_3_tier_2
50	passive_green_3_3_tier_1
51	comp_05_legendary_06
52	comp_05_legendary_05
53	comp_05_legendary_04
54	comp_05_legendary_03
55	comp_05_legendary_02
56	comp_05_legendary_01
57	passive_blue_3_5_tier_5
58	passive_blue_3_3_tier_5
59	passive_blue_3_2_tier_5
60	passive_blue_2_5_tier_5
61	passive_blue_2_3_tier_5
62	passive_blue_2_1_tier_5
63	passive_blue_1_5_tier_5
64	passive_blue_1_4_tier_5
65	passive_blue_1_2_tier_5
66	passive_blue_1_1_tier_5
67	passive_green_3_1_tier_5
68	passive_green_3_2_tier_5
69	passive_green_3_4_tier_5
70	passive_green_3_5_tier_5
71	passive_green_2_5_tier_5
72	passive_green_2_3_tier_5
73	passive_green_2_1_tier_5
74	passive_green_1_5_tier_5
75	passive_green_1_4_tier_5
76	passive_green_1_3_tier_5
77	passive_green_1_1_tier_5
78	passive_red_3_5_tier_5
79	passive_red_3_4_tier_5
80	passive_red_3_3_tier_5
81	passive_red_3_1_tier_5
82	passive_red_2_5_tier_5
83	passive_red_2_3_tier_5
84	passive_red_1_5_tier_5
85	passive_red_1_3_tier_5
86	passive_red_2_1_tier_5
87	passive_red_1_2_tier_5
88	passive_red_1_1_tier_5
89	passive_blue_3_5_tier_4
90	passive_blue_3_3_tier_4
91	passive_blue_3_2_tier_4
92	passive_blue_2_5_tier_4
93	passive_blue_2_3_tier_4
94	passive_blue_2_1_tier_4
