index	name
16	passive_blue_2_3_tier_4
17	passive_blue_2_3_tier_3
18	passive_blue_2_3_tier_2
19	passive_blue_2_3_tier_5
20	comp_05_legendary_06
21	comp_05_legendary_05
22	comp_05_legendary_04
23	comp_05_legendary_03
24	comp_05_legendary_02
25	comp_05_legendary_01
26	passive_red_3_4_tier_1
27	passive_red_3_2_tier_1
28	passive_blue_2_3_tier_1
29	passive_red_3_5_tier_1
30	passive_red_3_3_tier_1
31	passive_red_3_1_tier_1
32	passive_red_2_5_tier_1
33	passive_red_2_3_tier_1
34	passive_red_2_1_tier_1
35	passive_red_1_5_tier_1
36	passive_red_1_4_tier_1
37	passive_red_1_3_tier_1
38	passive_red_1_2_tier_1
39	passive_red_1_1_tier_1
40	passive_blue_3_5_tier_1
41	passive_blue_3_4_tier_1
42	passive_blue_3_3_tier_1
43	passive_blue_3_2_tier_1
44	passive_blue_3_1_tier_1
45	passive_blue_2_5_tier_1
46	passive_blue_2_1_tier_1
47	passive_blue_1_5_tier_1
48	passive_blue_1_4_tier_1
49	passive_blue_1_3_tier_1
50	passive_blue_1_2_tier_1
51	passive_blue_1_1_tier_1
52	passive_green_3_1_tier_1
53	passive_green_3_2_tier_1
54	passive_green_3_3_tier_1
55	passive_green_3_4_tier_1
56	passive_green_3_5_tier_1
57	passive_green_2_5_tier_1
58	passive_green_2_3_tier_1
59	passive_green_2_1_tier_1
60	passive_green_1_5_tier_1
61	passive_green_1_4_tier_1
62	passive_green_1_3_tier_1
63	passive_green_1_2_tier_1
64	passive_green_1_1_tier_1
67	comp_04_epic
68	comp_03_rare
69	comp_02_uncommon
70	comp_01_common
71	passive_green_3_1_tier_2
72	passive_green_3_2_tier_2
73	passive_green_3_3_tier_2
74	passive_green_3_4_tier_2
75	passive_green_3_5_tier_2
76	passive_green_2_5_tier_2
77	passive_green_2_3_tier_2
78	passive_green_2_1_tier_2
79	passive_green_1_5_tier_2
80	passive_green_1_4_tier_2
81	passive_green_1_3_tier_2
82	passive_green_1_2_tier_2
83	passive_green_1_1_tier_2
84	passive_blue_3_5_tier_2
85	passive_blue_3_4_tier_2
86	passive_blue_3_3_tier_2
87	passive_blue_3_2_tier_2
88	passive_blue_3_1_tier_2
89	passive_blue_2_5_tier_2
90	passive_blue_2_3_tiers_1
91	passive_blue_2_1_tier_2
92	passive_blue_1_5_tier_2
93	passive_blue_1_4_tier_2
94	passive_blue_1_3_tier_2
95	passive_blue_1_2_tier_2
96	passive_blue_1_1_tier_2
97	passive_red_3_5_tier_2
98	passive_red_3_4_tier_2
99	passive_red_3_3_tier_2
100	passive_red_3_2_tier_2
101	passive_red_3_1_tier_2
102	passive_red_2_5_tier_2
103	passive_red_2_3_tier_2
104	passive_red_2_1_tier_2
