index	name
0	DAD_AR.part_barrel_01
1	DAD_AR.part_barrel_01_FirstImpression
2	DAD_AR.part_barrel_01_Mercredi
3	DAD_AR.part_barrel_01_a
4	DAD_AR.part_barrel_01_b
5	DAD_AR.part_barrel_01_c
6	DAD_AR.part_barrel_01_d
7	DAD_AR.part_barrel_02
8	DAD_AR.part_barrel_02_Lumberjack
9	DAD_AR.part_barrel_02_a
10	DAD_AR.part_barrel_02_b
11	DAD_AR.part_barrel_02_c
12	DAD_AR.part_barrel_02_d
13	DAD_AR.part_barrel_02_star_helix
14	DAD_AR.part_barrel_licensed_hyp
15	DAD_AR.part_barrel_licensed_jak
16	DAD_AR.part_barrel_licensed_ted
17	DAD_AR.part_barrel_licensed_ted_combo
18	DAD_AR.part_barrel_licensed_ted_mirv
19	DAD_AR.part_barrel_licensed_ted_shooting
20	DAD_AR.part_barrel_unique_OM
21	DAD_AR.part_body
22	DAD_AR.part_body_a
23	DAD_AR.part_body_b
24	DAD_AR.part_body_bolt
25	DAD_AR.part_body_cd
26	DAD_AR.part_body_dF
27	DAD_AR.part_body_mag_PS
28	DAD_AR.part_body_mag_SG
29	DAD_AR.part_body_mag_SMG
30	DAD_AR.part_body_mag_SR
31	DAD_AR.part_foregrip_01
32	DAD_AR.part_foregrip_02
33	DAD_AR.part_foregrip_03
34	DAD_AR.part_grip_01
35	DAD_AR.part_grip_02
36	DAD_AR.part_grip_03
37	DAD_AR.part_grip_04_hyp
38	DAD_AR.part_grip_05a_ted_legs
39	DAD_AR.part_grip_05b_ted_homing
40	DAD_AR.part_grip_05c_ted_jav
41	DAD_AR.part_mag_01
42	DAD_AR.part_mag_02
43	DAD_AR.part_mag_03_tor
44	DAD_AR.part_mag_04_cov
45	DAD_AR.part_mag_05_borg
46	DAD_AR.part_mag_ted_thrown_01
47	DAD_AR.part_mag_ted_thrown_02
48	DAD_AR.part_mag_ted_thrown_03_tor
49	DAD_AR.part_mag_ted_thrown_04_cov
50	DAD_AR.part_mag_ted_thrown_05_bor
51	DAD_AR.part_mag_torgue_normal
52	DAD_AR.part_mag_torgue_sticky
53	DAD_AR.part_scope_01_lens_01
54	DAD_AR.part_scope_01_lens_02B
55	DAD_AR.part_scope_02_lens_01p
56	DAD_AR.part_scope_02_lens_02
57	DAD_AR.part_scope_acc_S01_L01_a
58	DAD_AR.part_scope_acc_S01_L01_b
59	DAD_AR.part_scope_acc_S01_L02_a
60	DAD_AR.part_scope_acc_S01_L02_b
61	DAD_AR.part_scope_acc_S02_L01_a
62	DAD_AR.part_scope_acc_S02_L01_b
63	DAD_AR.part_scope_acc_S02_L02_a
64	DAD_AR.part_scope_acc_S02_L02_b
65	DAD_AR.part_scope_ironsight
66	DAD_AR.part_shield_ammo
67	DAD_AR.part_shield_amp4
68	DAD_AR.part_shield_default
69	DAD_AR.part_shield_ricochet
70	DAD_AR.part_underbarrel_01_grenade
71	DAD_AR.part_underbarrel_01_grenade_OM
72	DAD_AR.part_underbarrel_02_shotgun
73	DAD_AR.part_underbarrel_03_microrocket
74	DAD_AR.part_underbarrel_04_atlas_Mercredi
75	DAD_AR.part_underbarrel_04_atlas_ball
76	DAD_AR.part_underbarrel_04_atlas_ball_Mercredi
77	DAD_AR.part_underbarrel_04_atlasj
78	DAD_AR.part_underbarrel_06_malswitch
79	DAD_AR.part_underbarrel_06_star_helix
80	DAD_AR.part_underbarrel_OM_SpaceLaser
