index	name
0	DAD_TERMINAL_COMBAT.part_body
0	ORD_TERMINAL_HEALING.part_body
0	TED_Enhancement.part_core_ted_banger
1	TED_Enhancement.part_core_ted_digidivider
2	TED_Enhancement.part_core_ted_extendafriend
3	TED_Enhancement.part_core_ted_recycler
0	TED_TERMINAL_BARRIER.part_bodyd
0	Weapon_Brute_FaceLaser.part_body
1	Weapon_Brute_FaceLaser.part_body_badass
2	Weapon_Brute_FaceLaser.part_body_cannon
3	Weapon_Brute_FaceLaser.part_body_missile
0	Weapon_GunShip_MainGun.part_body
0	Weapon_Meathead_Chaingun.part_body
0	Weapon_Meathead_Flamethrower.part_body
0	Weapon_Meathead_Rocket.part_body
0	Weapon_MissionTurret_Chaingun.part_body
0	Weapon_OrderDrone.part_body
1	Weapon_OrderDrone.part_body_badass
2	Weapon_OrderDrone.part_body_cameraz
3	Weapon_OrderDrone.part_body_wideangle
0	Weapon_RipperTurret_Flamethrower.part_bodyb
0	Weapon_Ripperturret_Rocket.part_body
0	Weapon_Soldier_Sprayer.part_body_lp
0	Weapon_SpliceArm_Launcher.part_body
0	apon_SpliceSpiderJumbo_RocketGun.part_body
0	classmod_gravitar.part_grav_asm_legendaryGravitar
1	classmod_gravitar.part_grav_asm_skill_test
0	jak_turret_gadget.part_ele_control
0	mal_repair_kit.part_augment_unique_BloodAnalyzerX
1	mal_repair_kit.part_mal
0	ord_grenade_gadget.part_01_mirv_05_swarm
1	ord_grenade_gadget.part_aggrovator
2	ord_grenade_gadget.part_ord
3	ord_grenade_gadget.part_skullyt
0	ord_shield.part_body_energy
1	ord_shield.part_body_energy_ProteanCell
2	ord_shield.part_unique_cindershelly
0	ted_turret_gadget.part_ele_control
0	terminal_gadget_combat.part_hot_off_the_press
1	terminal_gadget_combat.part_me_layhem
2	terminal_gadget_combat.part_nova_bomb_active
0	terminal_gadget_healing.part_active_bogoV
1	terminal_gadget_healing.part_active_healer_on_the_gop
2	terminal_gadget_healing.part_active_shield_stabilizer
0	tor_grenade_gadget.part_tor
1	tor_grenade_gadget.part_tor_slippy
0	tor_shield.part_body_armor
1	tor_shield.part_body_armor_compleat
2	tor_shield.part_unique_firewerks
0	tor_turret_gadget.part_ele_controlB
