index	name
1	part_body
2	part_body_a
3	part_body_b
4	part_body_c
5	part_body_d
6	part_barrel_01
7	part_barrel_02
8	part_barrel_unique_om
9	part_barrel_01_a
10	part_barrel_01_b
11	part_barrel_01_c
12	part_barrel_01_d
13	part_barrel_02_a
14	part_barrel_02_b
15	part_barrel_02_c
16	part_barrel_02_d
17	part_barrel_licensed_jak
18	part_barrel_licensed_ted
19	comp_gnpc_weapon
20	part_barrel_licensed_ted_shooting
21	part_barrel_licensed_ted_mirv
22	part_barrel_licensed_ted_combo
23	part_barrel_licensed_hyp
24	part_mag_01
25	part_mag_02
26	part_mag_03_tor
27	part_mag_04_cov
28	part_mag_05_borg
29	part_mag_torgue_normal
30	part_mag_ted_thrown_01
31	part_mag_ted_thrown_02
32	part_mag_torgue_sticky
33	part_mag_ted_thrown_03_tor
34	part_mag_ted_thrown_04_cov
35	part_mag_ted_thrown_05_bor
36	part_body_bolt
37	part_scope_02_lens_02
38	part_scope_02_lens_01
39	part_scope_01_lens_02
40	part_scope_01_lens_01
41	part_scope_ironsight
42	part_scope_acc_s01_l01_a
43	part_scope_acc_s01_l01_b
44	part_scope_acc_s01_l02_a
45	part_scope_acc_s01_l02_b
46	part_scope_acc_s02_l01_a
47	part_scope_acc_s02_l01_b
48	part_scope_acc_s02_l02_a
49	part_scope_acc_s02_l02_b
50	part_grip_05c_ted_jav
51	part_grip_05a_ted_legs
52	part_grip_05b_ted_homing
53	part_grip_01
54	part_grip_02
55	part_grip_03
56	part_grip_04_hyp
58	part_underbarrel_04_atlas_ball
59	part_underbarrel_04_atlas
60	part_underbarrel_06_malswitch
61	part_underbarrel_02_shotgun
62	part_underbarrel_03_microrocket
63	part_underbarrel_01_grenade
64	part_foregrip_01
65	part_foregrip_02
66	part_foregrip_03
67	part_underbarrel_01_grenade_om
68	part_body_mag_ps
69	part_body_mag_smg
70	part_body_mag_sg
71	part_body_mag_sr
73	comp_05_legendary_star_helix
74	comp_ds_as_phaseshard_specter_weapon
75	part_underbarrel_om_spacelaser
76	part_underbarrel_06_star_helix
77	part_barrel_02_star_helix
78	part_shield_default
79	part_shield_ricochet
80	part_shield_ammo
81	part_shield_amp
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
99	comp_05_legendary
100	comp_05_legendary_om
