index	name
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_shield_default
10	part_shield_ricochet
11	part_shield_ammo
12	part_shield_amp
13	part_mag_01
14	part_mag_02
15	part_mag_03_tor
16	part_mag_04_cov
17	part_mag_05_borg
18	part_mag_torgue_normal
19	part_mag_torgue_sticky
20	part_mag_ted_thrown_01
21	part_mag_ted_thrown_02
22	part_mag_ted_thrown_03_tor
23	part_mag_ted_thrown_04_cov
24	part_mag_ted_thrown_05_bor
25	part_scope_02_lens_02
26	part_scope_02_lens_01
27	part_scope_01_lens_02
28	part_scope_01_lens_01
29	part_scope_ironsight
30	part_scope_acc_s02_lb_b
31	part_scope_acc_s02_lb_a
32	part_scope_acc_s01_l01_a
33	part_scope_acc_s01_l01_b
34	part_scope_acc_s01_l02_a
35	part_scope_acc_s01_l02_b
36	part_scope_acc_s02_l01_a
37	part_scope_acc_s02_l01_b
38	part_scope_acc_s02_l02_a
39	part_scope_acc_s02_l02_b
40	part_grip_05a_ted_legs
41	part_grip_05c_ted_jav
42	part_grip_05b_ted_homing
43	part_grip_04_hyp
44	part_grip_01
45	part_grip_02
46	part_grip_03
47	part_underbarrel_06_malswitch
48	part_underbarrel_02_shotgun
49	part_underbarrel_03_overcharge
50	part_underbarrel_04_atlas
51	part_foregrip_02
52	part_foregrip_01
53	part_foregrip_03
54	part_underbarrel_04_atlas_ball
55	part_body_mag_ps
56	part_body_mag_ar
57	part_body_mag_sr
58	part_body_mag_sg
60	part_barrel_01_luty
61	comp_05_legendary
62	part_body
63	comp_05_legendary_bloodstarved
64	part_barrel_01_bloodstarved
65	comp_05_legendary_luty
66	part_mag_borg_barrel_02
67	part_mag_borg_barrel_01
79	part_underbarrel_01_stungrenade
80	part_barrel_01_a
81	part_barrel_01_b
82	part_barrel_01_c
83	part_barrel_01_d
84	part_barrel_02_a
85	part_barrel_02_b
86	part_barrel_02_c
87	part_barrel_02_d
88	part_barrel_licensed_jak
89	part_barrel_licensed_ted
90	part_barrel_licensed_ted_shooting
91	part_barrel_licensed_ted_mirv
92	part_barrel_licensed_ted_combo
93	part_barrel_licensed_hyp
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
