index	name
1	part_eng_vagabond_primary
2	part_eng_shield_booster_secondary
3	part_eng_shield_booster_primary
4	part_eng_berserker_secondary
5	part_eng_berserker_primary
6	part_eng_siphon_secondary
7	part_eng_siphon_primary
8	part_eng_trigger_happy_secondary
9	part_eng_trigger_happy_primary
10	part_eng_nova_secondary
11	part_eng_nova_primary
12	part_eng_fleeting_secondary
13	part_eng_fleeting_primary
14	part_eng_brimming_secondary
15	part_eng_brimming_primary
16	part_eng_amp_secondary
17	part_eng_amp_primary
18	part_eng_recharge_rate_secondary
19	part_eng_recharge_rate_primary
20	part_eng_recharge_delay_secondary
21	part_eng_recharge_delay_primary
22	comp_01_common
23	comp_02_uncommon
24	comp_03_rare
25	comp_04_epic
26	comp_05_legendary
27	part_eng_vagabond_secondary
