index	name
27	part_firmware_skillcraft
28	part_firmware_active_fire
29	part_firmware_bruiser
65	part_firmware_skillcraft
66	part_firmware_active_fire
67	part_firmware_bruiser
88	part_firmware_skillcraft
89	part_firmware_active_fire
90	part_firmware_bruiser
103	part_firmware_skillcraft
104	part_firmware_active_fire
106	part_firmware_bruiser
113	part_firmware_skillcraft
114	part_firmware_active_fire
120	part_firmware_bruiser
248	part_firmware_skillcraft
249	part_firmware_active_fire
250	part_firmware_bruiser
