index	name
21	part_underbarrel_05_roil
49	part_underbarrel_05_ammoswitcher
50	part_underbarrel_03_shotgun
51	part_underbarrel_06_malswitch
52	part_underbarrel_04_atlas_ball
53	part_foregrip_01
54	part_foregrip_03
56	part_underbarrel_01_misslaser
57	part_foregrip_01_pt
59	part_foregrip_03_unstable_kor
60	part_foregrip_02_unstable_kor
75	part_foregrip_03_pt
75	part_foregrip_01_unstable_kor
76	part_foregrip_02_pt
77	part_underbarrel_03_seamstress
79	part_underbarrel_02_rockets
79	part_underbarrel_01_heavyturret
79	part_foregrip_03_fleabag
79	part_foregrip_03_handcannon
80	part_underbarrel_01_drone
80	part_foregrip_02_fleabag
80	part_foregrip_02_handcannon
80	part_underbarrel_02_tether_snare_ishmael
80	part_foregrip_03_cormano
81	part_underbarrel_04_atlas
81	part_foregrip_01_fleabag
81	part_foregrip_01_handcannon
81	part_underbarrel_01_cannonbrawl
81	part_foregrip_02_cormano
82	part_foregrip_02
82	part_foregrip_03_herald
82	part_foregrip_01_cormano
83	part_foregrip_02_herald
84	part_foregrip_01_herald
84	part_underbarrel_02_crank_fishward
86	part_foregrip_03_flashcyclone
87	part_foregrip_02_flashcyclone
88	part_foregrip_01_flashcyclone
89	part_underbarrel_04_atlas_ball_mercredi
90	part_underbarrel_04_atlas_mercredi
93	part_underbarrel_02_rockets_earlyexcess
