index	name
1	part_firmware_god_killer
2	part_firmware_reel_big_fist
3	part_firmware_lifeblood
4	part_firmware_airstrike
5	part_firmware_high_caliber
6	part_firmware_gadget_ahoy
7	part_firmware_baker
8	part_firmware_oscar_mike
9	part_firmware_rubberband_man
10	part_firmware_deadeye
11	part_firmware_action_fist
12	part_firmware_goojfc
13	part_firmware_atlas_ex
14	part_firmware_atlas_infinum
15	part_firmware_trickshot
16	part_firmware_jacked
17	part_firmware_get_throwin
18	part_firmware_heating_up
19	part_firmware_bullets_to_spare
20	part_firmware_daeddy_o
21	part_06_lingering_01_duration_bursts_cryo
22	part_03_spring_05_spawning
23	part_normal
24	part_corrosive
25	part_cryo
26	part_fire
27	part_radiation
28	part_shock
29	part_01_mirv
30	part_02_divider
31	part_03_spring
32	part_04_artillery
33	part_05_singularity
34	part_06_lingering_fire
35	part_06_lingering_corrosive
36	part_06_lingering_shock
37	part_06_lingering_cryo
38	part_06_lingering_radiation
39	part_07_damage_amp
40	part_01_mirv_01_children
41	part_01_mirv_02_bouncer
42	part_01_mirv_03_micro_mirv
43	part_01_mirv_04_spring
44	part_02_divider_01_children
45	part_02_divider_02_seeker
46	part_02_divider_03_singularity
47	part_02_divider_04_repeater
48	part_02_divider_05_spring
49	part_03_spring_01_additional_bounce
50	part_03_spring_02_apex
51	part_03_spring_03_compound
52	part_03_spring_04_bouncer
53	part_04_artillery_01_duration
54	part_04_artillery_02_ricochet
55	part_04_artillery_03_micro_missiles
56	part_04_artillery_04_maglock
57	part_04_artillery_05_mortar_strike
58	part_05_singularity_01_duration
59	part_05_singularity_02_lingering
60	part_05_singularity_03_collapsing
61	part_05_singularity_04_repulsor
62	part_06_lingering_01_duration_bursts
63	part_06_lingering_02_pulse
64	part_06_lingering_03_splat_pack
65	part_06_lingering_04_fracture
66	part_06_lingering_05_alchemic
67	part_07_damage_amp_01_bouncing
68	part_07_damage_amp_02_suppressor
69	part_07_damage_amp_03_penetrator
70	part_stat_01_extra_charge
71	part_stat_02_cooldown_reduction
72	part_stat_03_damage
73	part_stat_04_radius
74	part_stat_05_elemental_power
75	part_stat_06_crit_chance
76	part_stat_07_nuke
77	part_stat_08_force
78	part_stat_09_transfusion
79	part_stat_04_jak_crit_damage
80	part_stat_05_jak_oversized
81	part_stat_05_ord_wideload
82	comp_01_common
83	comp_02_uncommon
84	comp_03_rare
85	comp_04_epic
86	comp_05_legendary
87	part_firmware_risky_boots
88	part_firmware_skillcraft
