index	name
1	part_firmware_god_killer
2	part_firmware_reel_big_fist
3	part_firmware_lifeblood
4	part_firmware_airstrike
5	part_firmware_high_caliber
6	part_firmware_gadget_ahoy
7	part_firmware_baker
8	part_firmware_oscar_mike
9	part_firmware_rubberband_man
10	part_firmware_deadeye
11	part_firmware_action_fist
12	part_firmware_goojfc
13	part_firmware_atlas_ex
14	part_firmware_atlas_infinum
15	part_firmware_trickshot
16	part_firmware_jacked
17	part_firmware_get_throwin
18	part_firmware_heating_up
19	part_firmware_bullets_to_spare
20	part_firmware_daeddy_o
21	comp_05_legendary
22	comp_04_epic
23	comp_03_rare
24	comp_02_uncommon
25	comp_01_common
26	part_firmware_risky_boots
