index	name
0	JAK_PS.part_barrel_01
1	JAK_PS.part_barrel_01_a
2	JAK_PS.part_barrel_01_b
3	JAK_PS.part_barrel_01_c
4	JAK_PS.part_barrel_01_d
5	JAK_PS.part_barrel_01_phantom_flame
6	JAK_PS.part_barrel_01_seventh_Sense
7	JAK_PS.part_barrel_02
8	JAK_PS.part_barrel_02_a
9	JAK_PS.part_barrel_02_b
10	JAK_PS.part_barrel_02_c
11	JAK_PS.part_barrel_02_d
12	JAK_PS.part_barrel_02_kingsgambit
13	JAK_PS.part_barrel_QuickDraw
14	JAK_PS.part_barrel_licensed_hyp
15	JAK_PS.part_barrel_licensed_ted
16	JAK_PS.part_barrel_licensed_ted_combo
17	JAK_PS.part_barrel_licensed_ted_mirv
18	JAK_PS.part_barrel_licensed_ted_shootingN
19	JAK_PS.part_barrel_shalashaska
20	JAK_PS.part_body
21	JAK_PS.part_body_a
22	JAK_PS.part_body_b
23	JAK_PS.part_body_c
24	JAK_PS.part_body_d
25	JAK_PS.part_foregrip_01
26	JAK_PS.part_foregrip_02
27	JAK_PS.part_foregrip_03
28	JAK_PS.part_grip_01
29	JAK_PS.part_grip_02
30	JAK_PS.part_grip_03
31	JAK_PS.part_grip_04_hyp
32	JAK_PS.part_grip_05a_ted_legs
33	JAK_PS.part_grip_05b_ted_homing
34	JAK_PS.part_grip_05c_ted_jav
35	JAK_PS.part_mag_01
36	JAK_PS.part_mag_02
37	JAK_PS.part_mag_03_tor
38	JAK_PS.part_mag_04_cov
39	JAK_PS.part_mag_05_borg
40	JAK_PS.part_mag_ted_thrown_01
41	JAK_PS.part_mag_ted_thrown_02
42	JAK_PS.part_mag_ted_thrown_03_tor
43	JAK_PS.part_mag_ted_thrown_04_cov
44	JAK_PS.part_mag_ted_thrown_05_bor
45	JAK_PS.part_mag_torgue_normal
46	JAK_PS.part_mag_torgue_sticky
47	JAK_PS.part_scope_01_lens_01
48	JAK_PS.part_scope_01_lens_02
49	JAK_PS.part_scope_02_lens_01F
50	JAK_PS.part_scope_02_lens_02
51	JAK_PS.part_scope_acc_S01_L01_a
52	JAK_PS.part_scope_acc_S01_L01_b
53	JAK_PS.part_scope_acc_S01_L02_a
54	JAK_PS.part_scope_acc_S01_L02_b
55	JAK_PS.part_scope_acc_S02_L01_a
56	JAK_PS.part_scope_acc_S02_L01_b
57	JAK_PS.part_scope_acc_S02_L02_a
58	JAK_PS.part_scope_acc_S02_L02_b
59	JAK_PS.part_scope_ironsight
60	JAK_PS.part_secondary_ammo_ar
61	JAK_PS.part_secondary_ammo_sg
62	JAK_PS.part_secondary_ammo_smg
63	JAK_PS.part_secondary_ammo_sr
64	JAK_PS.part_shield_ammo
65	JAK_PS.part_shield_amp
66	JAK_PS.part_shield_default
67	JAK_PS.part_shield_ricochet
68	JAK_PS.part_underbarrel_01_microrocket
69	JAK_PS.part_underbarrel_02_knifelauncher
70	JAK_PS.part_underbarrel_03_vial
71	JAK_PS.part_underbarrel_04_atlas
72	JAK_PS.part_underbarrel_04_atlas_ball
73	JAK_PS.part_underbarrel_05_ammoswitcher
