index	name
0	JAK_SG.part_barrel_01
1	JAK_SG.part_barrel_01_Hellwalker
2	JAK_SG.part_barrel_01_Slugger
3	JAK_SG.part_barrel_01_a
4	JAK_SG.part_barrel_01_b
5	JAK_SG.part_barrel_01_c
6	JAK_SG.part_barrel_01_d
7	JAK_SG.part_barrel_02
8	JAK_SG.part_barrel_02_a
9	JAK_SG.part_barrel_02_b
10	JAK_SG.part_barrel_02_c
11	JAK_SG.part_barrel_02_d
12	JAK_SG.part_barrel_Doeshot
13	JAK_SG.part_barrel_RainbowVomit
14	JAK_SG.part_barrel_TKsWave
15	JAK_SG.part_barrel_licensed_hyp
16	JAK_SG.part_barrel_licensed_ted
17	JAK_SG.part_barrel_licensed_ted_combo
18	JAK_SG.part_barrel_licensed_ted_mirv
19	JAK_SG.part_barrel_licensed_ted_shooting
20	JAK_SG.part_body
21	JAK_SG.part_body_a
22	JAK_SG.part_body_b
23	JAK_SG.part_body_c
24	JAK_SG.part_body_d
25	JAK_SG.part_body_ele_RainbowVomit_Cor_Cryo_Fire
26	JAK_SG.part_body_ele_RainbowVomit_Cor_Cryo_Rad
27	JAK_SG.part_body_ele_RainbowVomit_Cor_Cryo_Shock
28	JAK_SG.part_body_ele_RainbowVomit_Cor_Fire_Radh
29	JAK_SG.part_body_ele_RainbowVomit_Cor_Fire_shock
30	JAK_SG.part_body_ele_RainbowVomit_Cor_Rad_shock
31	JAK_SG.part_body_ele_RainbowVomit_Cryo_Fire_Rad
32	JAK_SG.part_body_ele_RainbowVomit_Cryo_Fire_Shock
33	JAK_SG.part_body_ele_RainbowVomit_Cryo_Rad_Shock
34	JAK_SG.part_body_ele_RainbowVomit_Fire_Rad_Shock
35	JAK_SG.part_foregrip_01
36	JAK_SG.part_foregrip_02
37	JAK_SG.part_foregrip_03
38	JAK_SG.part_grip_01
39	JAK_SG.part_grip_02
40	JAK_SG.part_grip_03
41	JAK_SG.part_grip_04_hyp
42	JAK_SG.part_grip_05a_ted_legs
43	JAK_SG.part_grip_05b_ted_homing
44	JAK_SG.part_grip_05c_ted_javz
45	JAK_SG.part_mag_01_B01
46	JAK_SG.part_mag_01_B02
47	JAK_SG.part_mag_01_SluggerL
48	JAK_SG.part_mag_02
49	JAK_SG.part_mag_02_B02
50	JAK_SG.part_mag_03_tor
51	JAK_SG.part_mag_04_cov
52	JAK_SG.part_mag_05_borg
53	JAK_SG.part_mag_RainbowVomit
54	JAK_SG.part_mag_ted_thrown_01
55	JAK_SG.part_mag_ted_thrown_02
56	JAK_SG.part_mag_ted_thrown_03_tor
57	JAK_SG.part_mag_ted_thrown_04_cov
58	JAK_SG.part_mag_ted_thrown_05_bor
59	JAK_SG.part_mag_torgue_normal
60	JAK_SG.part_mag_torgue_normal_TKsWave
61	JAK_SG.part_mag_torgue_sticky
62	JAK_SG.part_mag_torgue_sticky_TKsWave
63	JAK_SG.part_scope_01_lens_01
64	JAK_SG.part_scope_01_lens_02Z
65	JAK_SG.part_scope_02_lens_01
66	JAK_SG.part_scope_02_lens_02
67	JAK_SG.part_scope_acc_S01_L01_a
68	JAK_SG.part_scope_acc_S01_L01_b
69	JAK_SG.part_scope_acc_S01_L02_a
70	JAK_SG.part_scope_acc_S01_L02_b
71	JAK_SG.part_scope_acc_S02_L01_a
72	JAK_SG.part_scope_acc_S02_L01_b
73	JAK_SG.part_scope_acc_S02_L02_a
74	JAK_SG.part_scope_acc_S02_L02_b
75	JAK_SG.part_scope_ironsight
76	JAK_SG.part_secondary_Ammo_AssaultRifle
77	JAK_SG.part_secondary_ammo_ps
78	JAK_SG.part_secondary_ammo_smg
79	JAK_SG.part_secondary_ammo_sr
80	JAK_SG.part_shield_ammo
81	JAK_SG.part_shield_amp
82	JAK_SG.part_shield_default
83	JAK_SG.part_shield_ricochet
84	JAK_SG.part_underbarrel_01_knifelauncher
85	JAK_SG.part_underbarrel_02_meathook
86	JAK_SG.part_underbarrel_03_grenade
87	JAK_SG.part_underbarrel_04_atlas
88	JAK_SG.part_underbarrel_04_atlas_ball
89	JAK_SG.part_underbarrel_05_ammoswitcher
