index	name
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_barrel_01_a
10	part_barrel_01_b
11	part_barrel_01_c
12	part_barrel_01_d
13	part_barrel_02_a
14	part_barrel_02_b
15	part_barrel_02_c
16	part_barrel_02_d
17	part_barrel_licensed_ted
18	part_barrel_licensed_ted_shooting
19	part_barrel_licensed_ted_combo
20	part_barrel_licensed_ted_mirv
21	part_barrel_licensed_hyp
22	part_shield_default
23	part_shield_ricochet
24	part_shield_amp
25	part_mag_01
26	part_mag_02
27	part_mag_03_tor
28	part_mag_04_cov
29	part_mag_05_borg
30	part_mag_torgue_normal
31	part_mag_torgue_sticky
32	part_mag_ted_thrown_01
33	part_mag_ted_thrown_02
34	part_mag_ted_thrown_03_tor
35	part_mag_ted_thrown_04_cov
36	part_mag_ted_thrown_05_bor
37	part_scope_ironsight
38	part_scope_01_lens_01
39	part_scope_01_lens_02
40	part_scope_02_lens_01
41	part_scope_02_lens_02
42	part_scope_acc_s01_l01_a
43	part_scope_acc_s01_l01_b
44	part_scope_acc_s02_l01_a
45	part_scope_acc_s02_l01_b
46	part_scope_acc_s01_l02_a
47	part_scope_acc_s01_l02_b
48	part_grip_05a_ted_legs
49	part_grip_05c_ted_jav
50	part_grip_05b_ted_homing
51	part_grip_04_hyp
52	part_grip_01
53	part_grip_02
54	part_grip_03
55	part_underbarrel_03_shotgun
56	part_underbarrel_01_flintlock
57	part_underbarrel_02_crank
58	part_underbarrel_04_atlas_ball
59	part_underbarrel_04_atlas
60	part_underbarrel_05_ammoswitcher
61	part_foregrip_01
62	part_foregrip_02
63	part_foregrip_03
64	part_secondary_ammo_smg
65	part_secondary_ammo_sg
66	part_secondary_ammo_sr
67	part_secondary_ammo_ps
68	part_scope_acc_s02_l02_a
69	part_scope_acc_s02_l02_b
70	comp_zane_weapon
71	part_scope_02_lens_02_b02
72	comp_05_legendary
85	part_shield_ammo
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
