index	name
1	comp_moxxi_weapon
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_shield_default
10	part_shield_ricochet
11	part_shield_ammo
12	part_shield_amp
13	part_mag_01
14	part_mag_02
15	part_mag_03_tor
16	part_mag_04_cov
17	part_mag_05_borg
18	part_mag_torgue_normal
19	part_mag_torgue_sticky
20	part_mag_ted_thrown_01
21	part_mag_ted_thrown_02
22	part_mag_ted_thrown_03_tor
23	part_mag_ted_thrown_04_cov
24	part_mag_ted_thrown_05_bor
25	part_scope_ironsight
26	part_scope_01_lens_01
27	part_scope_01_lens_02
28	part_scope_02_lens_01
29	part_scope_02_lens_02
30	part_scope_acc_s01_l01_a
31	part_scope_acc_s01_l01_b
32	part_scope_acc_s02_l01_a
33	part_scope_acc_s02_l01_b
34	part_scope_acc_s01_l02_a
35	part_scope_acc_s01_l02_b
36	part_scope_acc_s02_l02_a
37	part_scope_acc_s02_l02_b
38	part_grip_05b_ted_homing
39	part_grip_05c_ted_jav
40	part_grip_05a_ted_legs
41	part_grip_01
42	part_grip_02
43	part_grip_03
44	part_grip_04_hyp
45	part_underbarrel_02_knifelauncher
46	part_underbarrel_01_microrocket
47	part_underbarrel_05_ammoswitcher
48	part_underbarrel_04_atlas
49	part_foregrip_02
50	part_foregrip_03
51	part_barrel_01_a
52	part_barrel_01_b
53	part_barrel_01_c
54	part_barrel_01_d
55	part_barrel_02_a
56	part_barrel_02_b
57	part_barrel_02_c
58	part_barrel_02_d
59	part_barrel_licensed_ted
60	part_barrel_licensed_ted_shooting
61	part_barrel_licensed_ted_mirv
62	part_barrel_licensed_ted_combo
63	part_barrel_licensed_hyp
64	part_secondary_ammo_smg
65	part_secondary_ammo_sg
66	part_secondary_ammo_ar
67	part_secondary_ammo_sr
68	part_underbarrel_03_vial
69	part_underbarrel_04_atlas_ball
70	part_foregrip_01
71	comp_zane_weapon
72	part_barrel_quickdraw
73	comp_cine_weapon
74	comp_05_legendary
75	part_barrel_02_kingsgambit
76	comp_05_legendary_kingsgambit
77	part_barrel_01_phantom_flame
78	comp_05_legendary_phantom_flame
79	comp_05_legendary_quickdraw
80	part_barrel_01_seventh_sense
81	comp_05_legendary_seventh_sense
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
