index	name
1	part_body_ele_rainbowvomit_cryo_fire_shock
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_shield_default
10	part_shield_ricochet
11	part_shield_ammo
12	part_shield_amp
13	part_mag_05_borg
14	part_mag_04_cov
15	part_mag_03_tor
16	part_body_ele_rainbowvomit_cryo_fire_rad
17	part_mag_02
18	part_mag_ted_thrown_01
19	part_mag_ted_thrown_02
20	part_mag_ted_thrown_03_tor
21	part_mag_ted_thrown_04_cov
22	part_mag_ted_thrown_05_bor
23	part_scope_ironsight
24	part_scope_01_lens_01
25	part_scope_01_lens_02
26	part_scope_02_lens_01
27	part_scope_02_lens_02
28	part_scope_acc_s01_l01_a
29	part_scope_acc_s01_l01_b
30	part_scope_acc_s02_l01_a
31	part_scope_acc_s02_l01_b
32	part_scope_acc_s01_l02_a
33	part_scope_acc_s01_l02_b
34	part_scope_acc_s02_l02_a
35	part_scope_acc_s02_l02_b
36	part_grip_05c_ted_jav
37	part_grip_05b_ted_homing
38	part_grip_04_hyp
39	part_grip_05a_ted_legs
40	part_grip_01
41	part_grip_02
42	part_grip_03
43	part_underbarrel_04_atlas_ball
44	part_underbarrel_04_atlas
45	part_underbarrel_03_grenade
46	part_underbarrel_02_meathook
47	part_foregrip_02
48	part_foregrip_03
49	part_underbarrel_05_ammoswitcher
50	part_underbarrel_01_knifelauncher
51	part_secondary_ammo_smg
52	part_secondary_ammo_ps
53	part_secondary_ammo_assaultrifle
54	part_secondary_ammo_sr
55	part_barrel_01_a
56	part_barrel_01_b
57	part_barrel_01_c
58	part_barrel_01_d
59	part_barrel_02_a
60	part_barrel_02_b
61	part_barrel_02_c
62	part_barrel_02_d
63	part_barrel_licensed_ted
64	part_barrel_licensed_ted_shooting
65	part_barrel_licensed_ted_mirv
66	part_barrel_licensed_ted_combo
67	part_barrel_licensed_hyp
68	part_foregrip_01
69	part_mag_torgue_normal
70	part_mag_torgue_sticky
71	part_body_ele_rainbowvomit_cor_rad_shock
72	part_body_ele_rainbowvomit_cor_fire_shock
73	part_body_ele_rainbowvomit_cor_fire_rad
74	part_body_ele_rainbowvomit_cor_cryo_shock
75	part_body_ele_rainbowvomit_cor_cryo_rad
76	part_body_ele_rainbowvomit_cor_cryo_fire
77	part_body_ele_rainbowvomit_fire_rad_shock
78	part_mag_01_slugger
79	part_barrel_01_slugger
80	comp_05_legendary_slugger
81	comp_05_legendary
82	part_barrel_01_hellwalker
83	comp_05_legendary_hellwalker
84	part_body_ele_rainbowvomit_cryo_rad_shock
85	comp_05_legendary_rainbowvomit
86	part_barrel_rainbowvomit
87	part_mag_rainbowvomit
88	part_mag_torgue_sticky_tkswave
89	part_mag_torgue_normal_tkswave
90	part_barrel_tkswave
91	comp_05_legendary_tkswave
92	part_mag_02_b02
93	part_mag_01_b01
94	part_mag_01_b02
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
